Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2005-09-27,21.049999237060547,21.399999618530273,19.100000381469727,19.299999237060547,18.194908142089844,961200,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-09-28,19.299999237060547,20.530000686645508,19.200000762939453,20.5,19.326202392578125,5747900,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-09-29,20.399999618530273,20.579999923706055,20.100000381469727,20.209999084472656,19.052806854248047,1078200,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-09-30,20.260000228881836,21.049999237060547,20.18000030517578,21.010000228881836,19.806997299194336,3123300,0.3,0.15,0.15,100,0.0,0.0,0.0,8.701411380845932e-05,0.0,0,0
2005-10-03,20.899999618530273,21.75,20.899999618530273,21.5,20.268939971923828,1057900,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-04,21.440000534057617,22.5,21.440000534057617,22.15999984741211,20.89115524291992,1768800,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-05,22.100000381469727,22.309999465942383,21.75,22.200000762939453,20.928857803344727,904300,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-06,22.600000381469727,23.0,22.399999618530273,22.579999923706055,21.287099838256836,1614200,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-07,22.25,22.600000381469727,21.799999237060547,22.149999618530273,20.88171768188477,753400,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-10,22.280000686645508,22.290000915527344,22.100000381469727,22.209999084472656,20.93828582763672,538700,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-11,22.260000228881836,22.299999237060547,21.799999237060547,21.979999542236328,20.721452713012695,764600,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-12,21.899999618530273,22.049999237060547,21.63999938964844,21.760000228881836,20.514049530029297,912900,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-13,21.700000762939453,21.799999237060547,21.399999618530273,21.709999084472656,20.466920852661133,531300,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-14,21.850000381469727,22.399999618530273,21.850000381469727,22.270000457763672,20.99485206604004,887800,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-17,22.149999618530273,22.219999313354492,21.850000381469727,22.079999923706055,20.81573486328125,464000,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-18,22.059999465942383,22.299999237060547,21.350000381469727,21.489999771118164,20.2595157623291,1815500,0.3,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-19,21.3700008392334,21.600000381469727,20.850000381469727,21.3799991607666,20.15580940246582,1466000,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-20,21.350000381469727,21.479999542236328,20.850000381469727,21.020000457763672,19.81641960144043,640900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-21,21.020000457763672,22.420000076293945,21.010000228881836,21.959999084472656,20.702598571777344,917000,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-24,22.010000228881836,22.36000061035156,21.950000762939453,22.309999465942383,21.032564163208008,508800,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-25,22.25,22.540000915527344,21.700000762939453,22.0,20.740310668945312,437300,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-26,22.0,22.450000762939453,21.989999771118164,22.31999969482422,21.041994094848633,543200,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-27,22.260000228881836,22.559999465942383,22.200000762939453,22.559999465942383,21.268245697021484,351200,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-28,22.549999237060547,23.899999618530273,22.3700008392334,23.899999618530273,22.531522750854492,1614900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-10-31,24.0,25.350000381469727,24.0,24.68000030517578,23.266860961914062,706400,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,4.355206301067949e-05,0.0,0,0
2005-11-01,24.700000762939453,25.079999923706055,24.690000534057617,25.020000457763672,23.587392807006836,866800,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-02,25.229999542236328,28.100000381469727,25.200000762939453,27.549999237060547,25.972522735595703,2870200,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-03,27.600000381469727,28.100000381469727,27.600000381469727,27.8700008392334,26.27420425415039,906100,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-04,27.799999237060547,29.0,27.770000457763672,28.799999237060547,27.150951385498047,912600,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-07,29.0,29.43000030517578,28.3799991607666,28.93000030517578,27.273508071899418,486900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-08,29.100000381469727,29.700000762939453,29.0,29.43000030517578,27.74488639831543,1395000,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-09,29.43000030517578,31.299999237060547,29.43000030517578,31.299999237060547,29.5078067779541,1312300,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-10,31.149999618530273,33.959999084472656,31.149999618530273,32.79999923706055,30.921920776367188,1948900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-11,33.04999923706055,33.95000076293945,33.0,33.349998474121094,31.4404296875,1183900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-14,33.5,34.5,33.45000076293945,33.75,31.817514419555664,1059200,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-15,33.75,33.880001068115234,32.84000015258789,33.880001068115234,31.940086364746097,759200,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-16,33.5099983215332,33.849998474121094,33.400001525878906,33.599998474121094,31.67610740661621,542600,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-17,33.400001525878906,34.54999923706055,33.22999954223633,34.31999969482422,32.35488510131836,1011900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-18,34.349998474121094,34.349998474121094,32.86000061035156,33.04999923706055,31.15760040283203,529800,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-21,32.75,32.75,31.260000228881836,31.989999771118164,30.158300399780273,636300,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-22,31.989999771118164,32.7400016784668,31.600000381469727,32.5,30.639102935791016,421900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-23,32.20000076293945,33.68000030517578,32.15999984741211,33.040000915527344,31.14817237854004,671300,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-25,33.0099983215332,33.20000076293945,32.720001220703125,32.849998474121094,30.969051361083984,138500,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-28,33.04999923706055,33.849998474121094,33.0,33.40999984741211,31.49698829650879,630400,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-29,33.29999923706055,33.5,32.630001068115234,32.900001525878906,31.01620101928711,428600,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-11-30,32.900001525878906,33.79999923706055,32.900001525878906,33.59000015258789,31.66668701171875,690100,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,6.495313239837808e-05,0.0,0,0
2005-12-01,34.0,34.939998626708984,34.0,34.279998779296875,32.31718063354492,371800,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-02,34.400001525878906,34.650001525878906,34.25,34.279998779296875,32.31718063354492,428600,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-05,32.08000183105469,32.63999938964844,31.3799991607666,32.349998474121094,30.4976806640625,1124400,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-06,32.040000915527344,33.75,32.040000915527344,33.619998931884766,31.69495964050293,790600,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-07,33.400001525878906,34.18000030517578,33.29999923706055,33.95000076293945,32.006080627441406,783900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-08,33.95000076293945,33.97999954223633,33.529998779296875,33.65999984741211,31.732675552368164,383700,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-09,33.40999984741211,34.06999969482422,33.349998474121094,33.880001068115234,31.940086364746097,409700,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-12,33.79999923706055,33.90999984741211,33.709999084472656,33.7599983215332,31.826953887939453,421500,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-13,33.7599983215332,33.79999923706055,33.04999923706055,33.25,31.346162796020508,226700,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-14,33.400001525878906,33.689998626708984,33.25,33.540000915527344,31.619544982910156,158400,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-15,33.63999938964844,33.880001068115234,33.349998474121094,33.630001068115234,31.704391479492188,313900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-16,33.68000030517578,35.5,33.68000030517578,35.150001525878906,33.13737487792969,1646900,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-19,35.18000030517578,35.45000076293945,34.88999938964844,35.25,33.23163604736328,377400,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-20,35.25,35.459999084472656,34.02000045776367,35.31999969482422,33.297630310058594,564500,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
2005-12-21,35.380001068115234,37.0,35.33000183105469,36.5099983215332,34.41948699951172,701200,-0.58,-0.55,-0.03,-5.4545,0.0,0.0,0.0,0.0,0.0,0,0
