Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1996-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.35,0.01,2.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.82,-0.05,-6.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-10-22,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.73,0.06,3.4682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.01,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.38,-0.09,-23.6842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.68,0.02,2.9412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-10-16,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-02,43.0,43.0625,42.375,42.8125,12.195051193237305,444000.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-05,43.0625,43.125,42.0625,42.5,12.106035232543944,564300.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-06,42.125,42.1875,41.75,41.875,11.928011894226074,253600.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-07,41.875,41.875,40.875,41.5,11.82119083404541,358100.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-08,41.5625,41.5625,40.75,41.0,11.6787691116333,325100.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-09,40.9375,41.8125,40.9375,41.375,11.785592079162598,306600.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-12,41.125,41.8125,41.0,41.75,11.8923978805542,268300.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-13,41.75,41.75,41.1875,41.4375,11.803384780883787,193300.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-14,41.4375,41.4375,41.125,41.25,11.749979972839355,139500.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-15,41.1875,41.1875,40.25,40.3125,11.482933044433594,155400.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-16,40.625,40.8125,40.4375,40.5,11.536348342895508,251100.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-20,37.5,37.625,36.5,37.0625,10.557180404663086,1051500.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-21,36.875,36.875,35.75,36.8125,10.485966682434082,1026300.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-22,36.375,36.625,36.125,36.375,10.361347198486328,492700.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-23,36.125,36.375,35.625,36.0,10.254526138305664,323500.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-26,36.0625,36.25,35.5625,36.1875,10.307938575744627,273000.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-27,36.1875,36.4375,35.8125,36.25,10.32573413848877,563700.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-28,36.0625,36.5,36.0625,36.5,10.396954536437988,284000.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-29,36.5,37.0,36.375,36.75,10.46816349029541,383800.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-30,36.75,36.875,36.5625,36.625,10.43255615234375,486500.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-02,36.75,36.875,36.5,36.6875,10.450358390808104,233000.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-03,36.625,36.8125,36.375,36.625,10.43255615234375,189200.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-04,36.625,36.625,36.25,36.5,10.396954536437988,557800.0,1.78,1.82,-0.04,-2.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-05,36.9375,37.125,36.625,36.9375,10.521570205688477,210000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-06,37.0,37.5625,36.75,37.5625,10.699600219726562,251100.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-09,37.4375,37.9375,37.4375,37.875,10.788620948791504,271700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-10,37.8125,38.3125,37.8125,37.9375,10.806413650512695,357200.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-11,37.8125,37.875,37.625,37.75,10.753007888793944,280600.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-12,37.5,37.9375,37.375,37.8125,10.770819664001465,496100.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-13,37.625,37.875,37.4375,37.5,10.681795120239258,181800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-17,37.4375,38.0,37.125,38.0,10.82422161102295,360600.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-18,38.0,38.25,37.9375,38.0,10.82422161102295,267600.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-19,38.0,38.1875,38.0,38.1875,10.877625465393066,386300.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-20,38.125,38.3125,37.8125,38.3125,10.91323471069336,798600.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-23,38.3125,38.625,38.0625,38.625,11.00225067138672,347100.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-24,38.4375,38.5,38.125,38.5,10.966645240783691,228500.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-25,38.5625,38.75,38.375,38.375,10.93104076385498,342500.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-26,38.25,38.4375,38.0625,38.1875,10.877625465393066,152800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-27,38.125,38.484375,38.0625,38.4375,10.94884204864502,218800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-02,38.1875,38.5,38.1875,38.4375,10.94884204864502,219700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-03,38.4375,38.5,38.375,38.4375,10.94884204864502,416300.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-04,38.375,38.5,38.25,38.375,10.93104076385498,146700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-05,38.1875,38.4375,38.125,38.3125,10.91323471069336,293600.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-06,37.375,38.125,37.375,38.125,11.042853355407717,3544900.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-09,38.0,38.0625,37.75,37.8125,10.95233917236328,309000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-10,37.8125,38.25,37.75,38.125,11.042853355407717,290000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-11,38.0625,38.875,38.0625,38.75,11.223884582519531,543800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-12,38.75,38.75,38.4375,38.5625,11.16957664489746,241700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-13,38.4375,38.75,38.375,38.6875,11.20578384399414,425000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-16,38.6875,39.6875,38.625,39.5,11.441122055053713,395400.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-17,39.5,40.3125,39.5,40.3125,11.676465034484863,351500.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-18,40.125,41.0,40.125,40.875,11.839390754699709,668800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-19,40.75,41.5,40.625,41.5,12.02042007446289,431500.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-20,41.75,42.4375,41.625,42.3125,12.25576114654541,521300.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-23,42.25,42.3125,41.8125,42.0625,12.183351516723633,293400.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-24,42.0,42.25,41.75,42.0625,12.183351516723633,291300.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-25,42.0,42.4375,41.875,42.4375,12.291966438293455,222000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-26,42.375,42.375,41.875,41.9375,12.147137641906738,452000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-27,41.6875,41.8125,41.0625,41.375,11.984211921691896,412800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-30,41.375,41.8125,41.25,41.5,12.02042007446289,366000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-31,41.25,42.25,41.125,42.125,12.201451301574709,414900.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-01,42.1875,42.1875,41.625,42.0,12.165241241455078,200100.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-02,41.875,42.1875,41.8125,42.1875,12.21955108642578,386000.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-03,42.1875,42.5625,42.0,42.5,12.310066223144531,254700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-06,42.3125,42.375,42.0625,42.1875,12.21955108642578,179800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-07,42.0625,42.0625,41.625,41.8125,12.110934257507324,235300.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-08,41.6875,41.875,41.5,41.875,12.129036903381348,453200.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-09,41.8125,41.875,41.3125,41.875,12.129036903381348,731700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-13,42.0,42.0,41.625,41.8125,12.110934257507324,796600.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-14,41.6875,42.3125,41.5625,42.25,12.23766040802002,526400.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-15,42.125,42.5,42.0,42.3125,12.25576114654541,357100.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-16,42.0625,42.0625,41.75,41.9375,12.147137641906738,325300.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-17,41.9375,42.125,41.5625,42.125,12.201451301574709,287900.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-20,41.9375,41.9375,41.5625,41.6875,12.074728965759276,149800.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-21,41.5,41.5,41.0625,41.3125,11.96610164642334,373900.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-22,41.1875,41.25,41.0,41.0,11.875591278076172,285400.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-23,41.0625,41.3125,39.75,39.75,11.51353645324707,387700.0,0.34,0.21,0.13,61.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-24,39.75,40.5625,39.4375,39.875,11.549741744995115,398800.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-27,39.75,39.875,38.1875,39.5625,11.459223747253418,128000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-28,39.625,39.6875,39.0625,39.25,11.368711471557615,592600.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-29,39.375,39.375,38.875,39.0625,11.314400672912598,242900.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-30,39.1875,39.875,39.1875,39.625,11.477324485778809,442400.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-01,39.6875,39.6875,39.25,39.3125,11.386810302734377,258000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-04,39.4375,39.5,39.0,39.25,11.368711471557615,175300.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-05,39.0625,39.1875,38.5625,38.9375,11.278193473815918,165800.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-06,39.125,39.125,38.75,39.0,11.296298027038574,135300.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-07,38.875,39.0,38.875,39.0,11.296298027038574,118300.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-08,38.875,39.0625,38.625,38.8125,11.241987228393556,163500.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-11,38.8125,39.25,38.75,38.875,11.260095596313477,288200.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-12,38.875,38.9375,38.6875,38.9375,11.278193473815918,100100.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-13,38.8125,38.875,38.5,38.6875,11.20578384399414,124900.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-14,38.625,38.8125,38.5625,38.6875,11.20578384399414,175900.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-15,38.6875,38.875,38.5,38.5625,11.16957664489746,225400.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-18,38.375,38.5625,38.125,38.375,11.115266799926758,134400.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-19,38.3125,38.375,37.875,38.3125,11.097167015075684,149200.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-20,38.3125,38.9375,38.25,38.9375,11.278193473815918,144600.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-21,38.9375,39.1875,38.75,39.0,11.296298027038574,96100.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-22,38.875,39.125,38.5625,38.5625,11.16957664489746,201900.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-26,38.625,38.6875,38.1875,38.1875,11.060956001281738,121600.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-27,38.125,38.6875,37.625,38.25,11.079061508178713,158600.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-28,38.25,38.875,38.25,38.6875,11.20578384399414,217500.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-29,38.5625,39.125,38.5625,39.125,11.33249855041504,163000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-01,39.0,40.6875,38.9375,40.5625,11.74886989593506,190200.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-02,40.3125,40.75,40.125,40.375,11.69456672668457,175700.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-03,40.25,40.875,40.1875,40.5,11.730777740478516,105000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-04,40.3125,40.625,40.1875,40.3125,11.676465034484863,133800.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-05,40.25,40.875,40.25,40.875,11.839390754699709,167700.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-08,40.0625,40.125,39.75,39.8125,11.71360683441162,1874800.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-09,39.875,39.875,39.25,39.375,11.584891319274902,261000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-10,39.4375,40.1875,39.375,40.125,11.805560111999512,174600.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-11,40.0,40.5,39.75,40.3125,11.860723495483398,260500.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-12,40.125,40.375,39.75,40.125,11.805560111999512,275100.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-15,40.0,40.125,39.6875,39.8125,11.71360683441162,227000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-16,40.0,40.0625,39.75,39.8125,11.71360683441162,283000.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-17,39.8125,39.9375,39.4375,39.5625,11.640053749084473,364200.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-18,39.75,40.3125,39.625,40.1875,11.823946952819824,308200.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-19,40.1875,40.1875,39.5625,39.6875,11.676831245422363,212700.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-22,39.75,40.125,39.6875,39.6875,11.676831245422363,121200.0,0.29,0.27,0.02,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
