,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2004-10-20,-0.020216525789346722,-0.03346483471636503,-0.03783112755404902,0.38090228018938094,-0.020503871663205737,0.23551799785221397,-0.002355651095826346,-0.4610454126026285,0.06471978609995976,0.1787687710879069,0.3235990810403375,0.516574588546364,AIZ,25.34000015258789,507500.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.850000381469728,110.5199966430664,54.91999816894531,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-21,5.5677922098692245e-05,-0.6669900973145744,-0.0252584261814197,-0.5425063807598365,-0.008508330897363994,-0.5898085062172596,0.009639341812530433,-0.7888333475255865,0.042105260809666145,0.16842104323866458,0.28304094880520037,0.47056537160543055,AIZ,25.649999618530273,166700.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.539999961853027,111.23999786376952,54.470001220703125,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-22,0.004363130670419906,0.2809970948329529,-0.02441808873090009,0.8428866230724356,-0.00855942882233668,0.7119954271293102,0.00942963838390105,0.10199363743810554,0.042105260809666145,0.15789478380667687,0.2822612038515504,0.4697856266517806,AIZ,25.649999618530273,705500.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,2.6448396884837414e-06,0.0,0.0,0.0,15.279999732971191,109.98999786376952,55.16999816894531,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-25,0.005758397140437899,-0.5526636844245628,-0.021772202126943984,-0.4282397581280917,-0.006592620492991028,-0.46524208598799227,0.011209461068297061,-0.6405626827820449,0.033073869606526696,0.15992212377400894,0.25097278488180597,0.458754885818099,AIZ,25.700000762939453,220000.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.579999923706055,109.86000061035156,54.540000915527344,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-26,0.027980179446737183,0.35140537921008,0.004999603045137841,0.6209755353237374,0.020005138639922943,0.5562325532186175,0.03831403748445743,0.06671179015347249,0.026515180797507254,0.1382575633057328,0.2500000180620139,0.41590915182733745,AIZ,26.399999618530273,637400.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,6.458704977982275e-07,0.0,0.0,0.0,16.389999389648438,111.54000091552734,55.16999816894531,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-27,0.018153579376399415,-0.4013473894329736,-0.0017272653235723095,-0.2838424906192595,0.011886912142891684,-0.3317374609381346,0.030031701471577923,-0.535163633589598,0.08206105175277334,0.13893127036840802,0.24923658737192556,0.42824416333135473,AIZ,26.200000762939453,274200.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.720000267028809,112.87999725341795,52.459999084472656,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-28,0.02237654020057331,-0.25368196371398083,0.01015234602112021,-0.21206225680933852,0.022946601737557682,-0.2702130134929288,0.04131419700804381,-0.48361616099735044,0.0981132219422538,0.14339619762492628,0.26037741607090203,0.38867921649285075,AIZ,26.5,299700.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.390000343322754,113.22000122070312,50.91999816894531,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-10-29,0.03157088089554784,-0.03891240028463357,0.02829263929561161,-0.041977717575937025,0.040716596081469394,-0.11171537415698576,0.0596436710259375,-0.36056838365896976,0.08154191253767151,0.1452928147814574,0.22053376070762787,0.3476649824782667,AIZ,26.979999542236328,366600.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.270000457763672,113.1999969482422,51.7599983215332,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-11-01,0.01601866285125133,-0.07684571904150914,0.018583187217624773,-0.026003961207485268,0.030507848944550366,-0.07536328197813423,0.04936008263543414,-0.33517989398462805,0.09240558410037569,0.15974562405123138,0.2323232020509456,0.35989521498809274,AIZ,26.729999542236328,380300.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.270000457763672,113.51000213623048,50.130001068115234,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-11-02,0.010094995826207551,-0.21404409667033458,0.01845382147195017,-0.29962968926098854,0.030181294883766207,-0.2920427258425105,0.04887282870538774,-0.5168992707215045,0.08305279680963995,0.14777406773606638,0.24392070966785306,0.36475870433869373,AIZ,26.729999542236328,275500.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,6.458704977982275e-07,0.0,0.0,0.0,16.18000030517578,113.5500030517578,49.619998931884766,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-11-03,-0.001289717814383176,0.2945083014048531,0.011441386358324573,0.25607217210270644,0.02309069627621679,0.3059723928224775,0.04154858684906267,-0.10870977669869711,0.09227875078503023,0.1487759275497731,0.2602636552157258,0.3826742048726688,AIZ,26.549999237060547,506800.0,0.67,0.63,0.04,6.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.039999961853027,114.9800033569336,50.880001068115234,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
2004-11-04,0.015579012139627214,1.6199756032251347,0.03201402769233031,1.8615839557189973,0.044003098839824416,2.1716862154068535,0.06279605560561115,1.2175237651289392,0.07158673456640008,0.12878227756426663,0.23099631515733332,0.35682656605813334,AIZ,27.100000381469727,1258000.0,0.53,0.42,0.11,26.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.970000267028809,116.5500030517578,48.81999969482422,75.73999786376953,19100.0,4.19,3.53,4.19,2.85
