,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2000-07-17,0.05547577658529213,-0.39814263934852934,0.17488283071184937,-0.5798589081812965,0.05020267069083501,-0.4451239956991627,-0.3042922321350731,-0.25294445748255895,-0.3208020050125313,-0.46265664160401,-0.844110275689223,-0.9347167892264842,AKAM,124.6875,924900.0,-0.44,-0.6,0.16,26.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.450000762939453,151.0,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-18,0.022524882137244632,-0.23292508618032007,0.13991503194818217,-0.4529130553072409,0.04358363579121194,-0.2995858022320104,-0.31879781463142265,-0.006629059652127252,-0.3596311475409836,-0.4564549180327869,-0.8473360655737705,-0.9247540958592149,AKAM,122.0,1173000.0,-0.44,-0.6,0.16,26.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,149.765625,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-19,0.006760270410816433,-0.13642867625476962,0.1189188408170343,-0.36395291832903265,0.05253619905402228,-0.20046763231418546,-0.3232622766491695,0.15953718134280254,-0.35588842975206614,-0.40082644628099173,-0.8300619834710744,-0.9280991751300403,AKAM,121.0,1345000.0,-0.44,-0.6,0.16,26.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.649999618530273,148.5625,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-20,0.021374045801526718,-0.28336296861763033,0.1458477055926921,-0.4739418563118685,0.10820030185160187,-0.34906483109872316,-0.29697351828499374,-0.03867942625558194,-0.37132536123567517,-0.39760837070254107,-0.8236173393124065,-0.934389639922381,AKAM,125.4375,1099700.0,-0.44,-0.6,0.16,26.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.940000534057617,150.625,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-21,-0.05119107957425241,-0.2650375220154683,0.06023777946638853,-0.47348294543627617,0.04939271255060727,-0.3539235396673316,-0.34275047690381166,-0.0390353850803773,-0.3910256410256411,-0.3830128205128205,-0.7905982905982906,-0.9319658116397694,AKAM,117.0,1096900.0,-0.44,-0.6,0.16,26.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.940000534057617,147.6875,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-24,-0.10530213270142179,0.4615717802169941,-0.02535892597489987,-0.0568180733585943,-0.019516259341547194,0.15595096131038455,-0.3927714234338475,0.7282787072402205,-0.3638470451911935,-0.3707995365005794,-0.7456546929316339,-0.9271378898399592,AKAM,107.875,1976400.0,-0.5,-0.6,0.1,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.920000076293945,146.84375,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-25,-0.2590286425902864,2.341374198772939,-0.23119320510465097,2.0639079528134827,-0.2160178317512778,2.9122755813931684,-0.52019568489714,4.904869528224512,-0.11764705882352944,-0.18676470588235294,-0.6272058823529412,-0.902470588684082,AKAM,85.0,6955500.0,-0.5,-0.6,0.1,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.38999938964844,147.3125,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-26,-0.22305045871559634,1.0648374414267339,-0.2309329549485633,1.4189222967390982,-0.20800374079413939,2.111184034069822,-0.5204124570848785,3.7390416394414747,-0.08634686346863474,-0.17343173431734316,-0.6177121771217713,-0.9099040576892585,AKAM,84.6875,5709600.0,-0.5,-0.6,0.1,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.670000076293945,145.875,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-27,-0.23952720319833135,-0.5541892594709551,-0.28711629034327724,-0.46167885859204305,-0.2589713864151341,-0.3260500497688352,-0.5560168595197879,0.02327163416237283,-0.018399999999999972,-0.136,-0.6,-0.9014400024414062,AKAM,78.125,1236800.0,-0.5,-0.6,0.1,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.600000381469727,145.375,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
2000-07-28,-0.19302949061662195,-0.5196867029088192,-0.2859358372979705,-0.41817397978726967,-0.2513158509169263,-0.27433594024370456,-0.5555097894384564,0.09720626404764414,-0.049719326383319995,-0.1956696070569367,-0.6150761828388132,-0.894787492423222,AKAM,77.9375,1331600.0,-0.5,-0.6,0.1,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84000015258789,142.09375,32.04999923706055,75.73999786376953,19100.0,5.83,6.06,5.83,6.23
