,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2001-10-18,0.013259682160900226,-0.47761194029850745,-0.06242543494516357,-0.7525041249312512,-0.402604412281085,-0.6860288106447157,-0.5038911833270413,-0.7104265926537404,0.07124681084822715,0.017811687545480792,0.10687018593918873,-0.2595419754707933,ALGN,3.930000066757202,99000.0,-0.35,-0.53,0.18,33.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.95000076293945,107.41999816894533,21.309999465942383,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-19,0.11754389714739691,-0.261150834184542,0.10347619143217757,-0.6914015512879008,-0.3024681610135259,-0.6040081753150902,-0.4274516252421916,-0.6380313576418846,-0.08131875755734463,-0.14065935781879801,-0.03296705254493748,-0.3692308208243057,ALGN,4.550000190734863,124000.0,-0.35,-0.53,0.18,33.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.11000061035156,107.3499984741211,21.829999923706055,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-22,0.2948378694124028,1.8597818084465565,0.3698742294290943,0.46240955773131664,-0.13758225931409057,0.911196306746033,-0.29098995399959543,0.7876731385319773,-0.22003577558116127,-0.289803234303613,-0.20751346915656976,-0.5527728207945353,ALGN,5.590000152587891,610400.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25,109.47000122070312,21.760000228881836,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-23,0.09445516094018738,1.9734961286480048,0.2097779663117781,1.2470350839028126,-0.24604889679380942,2.1069354169547783,-0.38107576594912135,1.9345254519835353,-0.053608197351990516,-0.10309278553230805,-0.11546390799815198,-0.4989690485486109,ALGN,4.849999904632568,998500.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,108.91000366210938,21.850000381469727,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-24,0.02616646890151367,-0.15576485612802807,0.17930511270045538,-0.3275328779011549,-0.27181930611667665,-0.06663738254895368,-0.4025586541057525,-0.10650166393450705,0.07311820833927674,-0.10107532416978804,-0.049462368678792945,-0.48387095781816547,ALGN,4.650000095367432,302200.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.950000762939453,108.62000274658205,22.329999923706055,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-25,-0.10063293492482667,-0.3610969836860842,0.05272253656199374,-0.4757931633661883,-0.35869985833899304,-0.27351802451708,-0.4745883506260099,-0.3040218369487936,0.3128078814841193,-0.0024629931491653156,0.10837439985755948,-0.5049261037459083,ALGN,4.059999942779541,233300.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.459999084472656,110.56999969482422,22.010000228881836,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-26,-0.06681305926235491,-0.6711485044885471,0.1238430951306811,-0.7384639519508751,-0.32305677526718174,-0.6369713392968243,-0.4460673731586596,-0.6496979925090135,0.2941176470588236,-0.07294116300695086,0.061176524442784874,-0.5129411921781653,ALGN,4.25,116700.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.420000076293945,110.31999969482422,22.049999237060547,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-29,-0.08364427954287502,-0.840257292690921,0.126572120745733,-0.8709821876664839,-0.32381546738136213,-0.8265943941527063,-0.4473632710803912,-0.8308795746518407,0.1662707370362022,-0.061757716890115666,0.05225648175729791,-0.46555819961694456,ALGN,4.210000038146973,55700.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.63999938964844,107.4499969482422,22.149999618530273,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-30,-0.07958481178101874,-0.7601500625260526,0.12729229207695578,-0.8015722941493599,-0.3227844964168534,-0.7438303559989335,-0.4477238521671687,-0.7449159029315018,0.20813406653703836,-0.06698558480144223,0.06698569887732231,-0.5167463962003607,ALGN,4.179999828338623,82200.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.459999084472656,106.16000366210938,21.8700008392334,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
2001-10-31,-0.001308868071125875,-0.781238151979635,0.17710586374058127,-0.8506831826651025,-0.28827944359502,-0.8185116064501248,-0.42023817986511114,-0.8189017979044501,0.13532102240445565,-0.10779816839853695,-0.04357799344086444,-0.5160550847517871,ALGN,4.360000133514404,57700.0,-0.38,-0.43,0.05,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.560001373291016,105.8000030517578,21.18000030517578,75.73999786376953,19100.0,4.65,3.97,4.65,2.78
