,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2014-08-06,-0.021476009295119423,0.1484890904111256,-0.08211854507792707,1.00775819265144,-0.05596646811631863,0.6939960341288349,-0.00865898092300807,0.09009788718907237,0.042697514669878256,0.00997605767469234,0.08439743879454342,0.21348764946067167,ALLE,50.119998931884766,1078300.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,16.3700008392334,192.07000732421875,96.91999816894533,104.58999633789062,19100.0,2.53,1.77,2.53,0.57
2014-08-07,-0.01929993982174654,-0.3412325141776938,-0.08287870492475269,0.15024891561514186,-0.060222972326704115,-0.027259385339504814,-0.013754458123231712,-0.3710156434688419,0.05554442584903785,-0.0002004877029746499,0.0986565488072817,0.2245839382959891,ALLE,49.869998931884766,622300.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,16.65999984741211,191.02999877929688,97.33999633789062,105.44000244140624,19100.0,2.53,1.77,2.53,0.57
2014-08-08,0.003853686281592627,-0.10666906777117476,-0.06600064089467211,0.5236229642326045,-0.04561653881032659,0.32338981175205284,0.00035140572658251806,-0.13643300207891995,0.03951788136495149,-0.027860103347315812,0.06718035309579151,0.20687613306532215,ALLE,50.61000061035156,850400.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,15.770000457763672,193.2400054931641,97.6500015258789,105.0199966430664,19100.0,2.53,1.77,2.53,0.57
2014-08-11,0.001932708388978299,-0.5582398937739746,-0.06762034639839307,-0.35763226230328815,-0.04947254820273752,-0.46600780234070227,-0.005213813808797246,-0.6509959725946055,0.042891179929178236,-0.028594170451822,0.0820095515897652,0.21981730660560728,ALLE,50.36000061035156,342200.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,14.229999542236328,193.8000030517578,98.08000183105467,104.68000030517578,19100.0,2.53,1.77,2.53,0.57
2014-08-12,0.012143896780378888,-0.046896208920412207,-0.05316943318904849,0.32841741379524747,-0.03734225677836203,0.10591397756701681,0.005846807000236834,-0.2735651046506884,0.023155422417095783,-0.038461521186915815,0.08025903112376831,0.20094195177462026,ALLE,50.959999084472656,712200.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,14.130000114440918,193.52999877929688,97.37000274658205,103.0199966430664,19100.0,2.53,1.77,2.53,0.57
2014-08-13,0.031362845027375415,-0.004817245739748369,-0.026481024527361483,0.2982355385028961,-0.012853699314285153,0.09576867277690312,0.030179497698269494,-0.27656206112912696,-0.005168461889138221,-0.07714399817209994,0.06489278868162418,0.19429550890243252,ALLE,52.2400016784668,708300.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,12.899999618530272,194.83999633789065,97.58999633789062,104.27999877929688,19100.0,2.53,1.77,2.53,0.57
2014-08-14,0.02234825900485644,-0.11215918061656173,-0.02734841557504314,0.13861026311963948,-0.01709347195806372,-0.02344669945279498,0.024960685170182975,-0.35964226992360304,0.008650533621290979,-0.06958859861648659,0.09573240096911784,0.22549018529440823,ALLE,52.02000045776367,626600.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,12.420000076293944,195.7599945068359,95.58000183105467,102.01000213623048,19100.0,2.53,1.77,2.53,0.57
2014-08-15,0.020930979466108095,0.14531672983216024,-0.019867745539311518,0.3233954596412556,-0.012734942663092105,0.1868604882544536,0.028669252296196032,-0.22739363666423126,0.00229626388129045,-0.08151546992641046,0.1012246667705623,0.2093379791958112,ALLE,52.2599983215332,755500.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,13.149999618530272,195.72000122070312,97.3499984741211,101.9499969482422,19100.0,2.53,1.77,2.53,0.57
2014-08-18,0.0204657995841157,-0.47280470305050226,-0.01063790727759983,-0.43168520879543115,-0.00579409125864482,-0.4807667758818774,0.03508508266821527,-0.6656595506394036,-0.011968105536093954,-0.09498480353294303,0.08111703091325184,0.20098787906018156,ALLE,52.63999938964844,325400.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,12.31999969482422,197.36000061035156,96.41000366210938,101.5999984741211,19100.0,2.53,1.77,2.53,0.57
2014-08-19,0.014266446659770764,-0.09754505748280531,-0.009401976099760867,-0.1076310058842607,-0.0067629547359491565,-0.16604573542014345,0.03343738351628586,-0.4709711680202162,-0.020148286656405223,-0.09199772089786995,0.08116328470301348,0.19159851548023132,ALLE,52.61000061035156,513600.0,0.61,0.64,-0.03,-4.6875,0.1491244949009043,0.1718299018664614,0.0831248797383105,0.0,0.0,0.0,0.0,12.210000038146973,198.38999938964844,94.4800033569336,101.55999755859376,19100.0,2.53,1.77,2.53,0.57
