,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2024-08-01,0.0605137435474558,1.5903057491482333,0.03850792005399996,1.6245200518933656,-0.026816302038729683,2.4336092155111717,-0.06891835497685268,2.58477511403152,-0.08040472411125588,-0.05715849120971239,0.0,0.0,APTV,73.12999725341797,10013900.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.35,0.175,18.59000015258789,543.010009765625,76.30999755859375,79.5199966430664,63790.0,3.87,3.71,3.87,3.97
2024-08-02,0.004451289927420745,0.47879470925351836,-0.008576340038850673,0.6811557863839681,-0.07215674404288061,1.1617009795595663,-0.11288253873911189,1.27234429825341,-0.023840242685538193,-0.01206371350028157,0.0,0.0,APTV,69.62999725341797,6391900.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.35,0.175,23.38999938964844,532.9000244140625,73.5199966430664,76.80999755859375,62945.0,3.87,3.71,3.87,3.97
2024-08-05,-0.0055493363285979746,0.3426323764451917,-0.012571396509287515,0.6577083283501508,-0.07751437880912462,1.156663712853828,-0.11862774986617358,1.2839118575644604,-0.030960638087565218,0.015914329143678962,0.0,0.0,APTV,69.12000274658203,6468400.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.2,0.175,38.56999969482422,517.3800048828125,72.94000244140625,76.30000305175781,53770.0,3.87,3.71,3.87,3.97
2024-08-06,-0.007189025619361119,-0.0147442397687774,-0.011542702376378632,0.31988721259679687,-0.07699775695175733,0.7147110291613327,-0.11874559921580084,0.8215265901485249,-0.005213621932524948,0.008978929613120634,0.0,0.0,APTV,69.05000305175781,5191200.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.5,0.55,27.709999084472656,522.1500244140625,73.19999694824219,76.4800033569336,57145.0,3.87,3.71,3.87,3.97
2024-08-07,-0.021590530116511155,-0.2989583877199395,-0.028033505725170688,0.022960594031596553,-0.09076704171893911,0.2574583365655979,-0.1325002146363479,0.3420928192726313,0.015019829009897734,0.0384331150082573,0.0,0.0,APTV,67.91000366210938,3836300.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.5,0.5,27.850000381469727,518.6599731445312,75.2300033569336,78.33000183105469,55000.0,3.87,3.71,3.87,3.97
2024-08-08,-0.009421739133907302,-0.3185077400466331,-0.013272748365869107,0.06670776694677662,-0.07584650677153557,0.26363477441762356,-0.11854892499667828,0.35544122148051444,0.02973593486750481,0.013054741291158134,0.0,0.0,APTV,68.94000244140625,3887300.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.5,0.5,23.790000915527344,530.6500244140625,76.19000244140625,79.16000366210938,59695.0,3.87,3.71,3.87,3.97
2024-08-09,-0.02459727643726543,-0.4055668342273882,-0.030593739097103053,-0.07305605147331762,-0.09193021786357534,0.07405344611371227,-0.1342190888875185,0.1532467231828603,0.03267296133079012,0.0579538469000227,0.0,0.0,APTV,67.63999938964844,3321200.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,20.3700008392334,532.989990234375,76.83999633789062,79.66000366210938,60990.0,3.87,3.71,3.87,3.97
2024-08-12,-0.018330083805923974,-0.3583976174049319,-0.034721335552826374,-0.16326338678833927,-0.09608460383420409,-0.05342808127536455,-0.13831886325134368,0.017482101456334775,0.053977654325917834,0.0722676670684248,0.0,0.0,APTV,67.25,2936000.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,20.709999084472656,533.27001953125,80.05999755859375,82.30000305175781,59200.0,3.87,3.71,3.87,3.97
2024-08-13,-0.004373491070066039,-0.1742014048944265,-0.024167297198000544,-0.021721766647902707,-0.08548370480516936,0.10125190754716114,-0.128225867284368,0.18440184149723535,0.03133731374377535,0.03810499178131144,0.0,0.0,APTV,67.97000122070312,3429400.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,18.1200008392334,542.0399780273438,78.3499984741211,80.69000244140625,61105.0,3.87,3.71,3.87,3.97
2024-08-14,-0.014461658540903507,-0.29848678474602586,-0.03724710404670486,-0.2777800623726272,-0.09757750957353666,-0.18822349517840073,-0.13998647495619657,-0.13207176362893508,0.07927735581464512,0.07957590227723399,0.0,0.0,APTV,66.9800033569336,2517300.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,16.190000534057617,543.75,76.9800033569336,79.76000213623047,59080.0,3.87,3.71,3.87,3.97
2024-08-15,0.01146452192812118,0.5999070901805934,-0.012147394236146207,0.6236552042769454,-0.07311782402967397,0.8779422367360789,-0.11713921501983547,1.0235440353891712,0.04949765287000285,0.08079771764599264,0.0,0.0,APTV,68.69000244140625,5904000.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,15.229999542236328,553.0700073242188,78.16000366210938,81.04000091552734,57220.0,3.87,3.71,3.87,3.97
2024-08-16,0.012825341863009068,-0.3441330745680722,-0.008101542340279185,-0.37096983897336877,-0.06903910042242381,-0.27720711226138944,-0.11309956578551128,-0.22007676099251944,0.027564217575322347,0.04468303811719876,0.0,0.0,APTV,68.93000030517578,2273900.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,14.800000190734863,554.3099975585938,76.6500015258789,79.68000030517578,59990.0,3.87,3.71,3.87,3.97
2024-08-19,0.03862468448519227,-0.1825123067323025,0.02090020330008379,-0.2571111962577149,-0.04052876227923459,-0.14710541537953023,-0.08582052252972525,-0.07714539440191939,-0.013663913930023863,-0.006620668190539525,0.0,0.0,APTV,70.98999786376953,2695000.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.1,0.2,14.649999618530272,559.6099853515625,74.37000274658203,77.66000366210938,59200.0,3.87,3.71,3.87,3.97
2024-08-20,0.0172470885731652,-0.5353137715438817,0.004135349180257238,-0.6076622288427521,-0.055320822520001936,-0.5549167645096614,-0.09979252723672287,-0.5170151464994458,0.015318535693606972,0.002863344051622585,0.0,0.0,APTV,69.8499984741211,1404700.0,1.58,1.42,0.16,11.2676,0.0443476539299148,0.0873094436745199,0.1857058008315185,0.0010931659046757,4.502711868251328e-06,0.5,0.5,15.880000114440918,558.7000122070312,74.04000091552734,77.19999694824219,59670.0,3.87,3.71,3.87,3.97
