,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2000-08-14,0.022964509394571953,-0.4857545138313732,0.06772422208663816,-0.5368307456659472,0.00896053042496461,-0.6750757057731758,0.04299023645250874,-0.7386744183762656,0.0,-0.19999999999999996,-0.21417140415736602,-0.1423999895368303,ATI,21.875,88700.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8799991607666,149.28125,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-15,0.012048192771084409,-0.47227036395147315,0.05807236242018858,-0.5787227174088488,0.0023602832339881153,-0.7098184872842271,0.03799261772491708,-0.7694942087341644,0.011494252873563315,-0.19252873563218387,-0.22344830392420978,-0.1319540615739494,ATI,21.75,78300.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.979999542236328,149.15625,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-16,0.009504132231404935,-0.38007750825319364,0.05725537715843677,-0.6605600484128294,0.004276407817433283,-0.7703274477932327,0.04190767623241415,-0.8178947213080885,0.011461318051575908,-0.18911174785100282,-0.2197134460624105,-0.12618913623186778,ATI,21.8125,61700.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.020000457763672,148.625,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-17,0.004536082474226757,0.17030212708305106,0.050513181726705624,-0.32625985040129574,0.000503126572270571,-0.5383061247396581,0.03940496388880815,-0.6315910813594574,0.011494252873563315,-0.16666666666666663,-0.21333330527119254,-0.11954024742389546,ATI,21.75,123400.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.479999542236328,150.1875,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-18,0.0008216926869350629,0.09463358338141943,0.04672147583717674,-0.39477406387255265,-0.0003909709644216676,-0.5919988959379718,0.04007803906104068,-0.6751194658585724,-0.008620689655172376,-0.1637931034482759,-0.2091953672211746,-0.10252871458557833,ATI,21.75,108400.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.049999237060547,149.6875,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-21,-0.004100041000410051,-0.1703781198625019,0.040791841631673736,-0.55195208768857,-0.003645006659913704,-0.6982521710453996,0.03791652299626523,-0.7609553746522935,-0.0057636887608069065,-0.16714697406340062,-0.19170025652355005,-0.10685875092871933,ATI,21.6875,79300.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.350000381469727,150.5,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-22,0.018806214227309846,0.7838210933186084,0.06438110424556516,0.026334809762968123,0.02170810845284878,-0.2957633045800394,0.06552708921378309,-0.442276414576546,-0.0217696629213483,-0.1910112359550562,-0.2103370923674508,-0.1397753083304072,ATI,22.25,184600.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.469999313354492,150.25,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-23,0.0016353229762877703,0.49474205121860704,0.04342641359435555,-0.05641810627596763,0.0034004125090585343,-0.3397457421803607,0.04807416372415688,-0.4763578996335786,-0.008571428571428563,-0.18571428571428572,-0.1986285400390625,-0.11954284667968751,ATI,21.875,172600.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3799991607666,150.84375,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-24,0.005714285714285714,-0.20070379808275698,0.04668450787986913,-0.4885498949199217,0.008266961593240054,-0.6374711590734946,0.05432625706690625,-0.7122402381178901,0.02556818181818188,-0.19318181818181823,-0.1786363775079901,-0.1300000277432527,ATI,22.0,94100.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.040000915527344,151.3125,31.6299991607666,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
2000-08-25,0.006927465362673233,-0.5426014466102734,0.046132569396423975,-0.7051393166018183,0.010359604697202261,-0.7903509883703144,0.05749747234138154,-0.8360106522995088,0.016997167138810276,-0.17280453257790374,-0.1972804947547805,-0.14107645267129953,ATI,22.0625,53300.0,0.53,0.46,0.07,15.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.530000686645508,151.25,32.04999923706055,75.73999786376953,19100.0,5.8,5.93,5.8,6.08
