Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1994-03-11,20.625,20.875,20.625,20.875,7.005733013153076,2359000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-14,20.75,20.75,20.625,20.625,6.921834468841553,536500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-15,20.625,20.75,20.625,20.625,6.921834468841553,215700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-16,20.625,21.375,20.625,21.375,7.173536777496338,338600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-17,21.375,21.375,20.875,21.125,7.089640140533447,195900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-18,21.125,21.125,20.75,21.0,7.0476861000061035,285700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-21,21.0,21.0,20.875,20.875,7.005733013153076,38900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-22,20.875,20.875,20.75,20.75,6.963784217834473,78400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-23,20.75,21.5,20.75,21.25,7.131585121154785,209200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-24,21.125,21.125,21.0,21.0,7.0476861000061035,155000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-25,21.0,21.125,21.0,21.0,7.0476861000061035,91500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-28,21.0,21.125,20.875,21.125,7.089640140533447,111200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-29,21.125,21.125,20.625,20.625,6.921834468841553,101200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-30,20.625,20.75,20.375,20.5,6.879881858825684,105000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-31,20.5,20.625,20.5,20.625,6.921834468841553,108300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-04,20.375,20.375,20.0,20.125,6.754034042358398,42300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-05,20.25,20.875,20.25,20.75,6.963784217834473,55600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-06,20.75,20.875,20.75,20.875,7.005733013153076,31800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-07,20.875,21.0,20.75,20.75,6.963784217834473,52000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-08,20.75,20.75,20.5,20.5,6.879881858825684,24000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-11,20.5,20.625,20.375,20.375,6.837934494018555,44400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-12,20.375,20.5,20.25,20.5,6.879881858825684,15100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-13,20.5,20.5,20.375,20.375,6.837934494018555,30500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-14,20.375,20.5,20.375,20.375,6.837934494018555,38800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-15,20.375,20.5,20.125,20.125,6.754034042358398,12200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04-18,20.125,20.375,20.125,20.125,6.754034042358398,39800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
