Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1981-10-27,0.0,3.885014057159424,3.8079309463500977,3.854181051254273,1.4183858633041382,3155664,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-10-28,0.0,3.885014057159424,3.838763952255249,3.854181051254273,1.4183858633041382,1704318,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-10-29,0.0,3.854181051254273,3.8233470916748047,3.8233470916748047,1.407037615776062,1115672,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-10-30,0.0,3.8773059844970703,3.8079309463500977,3.8773059844970703,1.4268958568572998,903240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-02,0.0,4.039181232452393,3.9929308891296382,4.0237650871276855,1.4807939529418943,2832963,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-03,0.0,4.062306880950928,4.008347988128662,4.046889781951904,1.489304542541504,2124317,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-04,0.0,4.062306880950928,3.9929308891296382,4.000639915466309,1.4722836017608645,762159,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-05,0.0,4.008347988128662,3.946681022644043,3.946681022644043,1.452426195144653,1289184,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-06,0.0,3.915848016738891,3.854181051254273,3.869597911834717,1.424059271812439,5863762,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-09,0.0,3.9620978832244873,3.869597911834717,3.931263923645019,1.4467530250549316,1382427,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-10,0.0,3.9929308891296382,3.931263923645019,3.9620978832244873,1.4580998420715332,1997831,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-11,0.0,3.9775149822235103,3.931263923645019,3.9775149822235103,1.463773488998413,476755,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-12,0.0,3.9929308891296382,3.946681022644043,3.9620978832244873,1.4580998420715332,844862,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-13,0.0,3.9620978832244873,3.915848016738891,3.915848016738891,1.4410797357559204,869997,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-16,0.0,3.915848016738891,3.8233470916748047,3.915848016738891,1.4410797357559204,1513778,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-17,0.0,4.054597854614258,3.946681022644043,4.039181232452393,1.486467361450195,895132,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-18,0.0,4.162515163421631,4.070014953613281,4.070014953613281,1.4978148937225342,1568913,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-19,0.0,4.116264820098877,4.070014953613281,4.100848197937012,1.509161353111267,848105,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-20,0.0,4.1316819190979,4.070014953613281,4.085432052612305,1.5034877061843872,717565,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-23,0.0,4.100848197937012,3.885014057159424,3.946681022644043,1.452426195144653,3297555,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-24,0.0,3.931263923645019,3.869597911834717,3.900430917739868,1.4354056119918823,5314845,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-25,0.0,4.054597854614258,3.946681022644043,4.008347988128662,1.475119948387146,1529994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-27,0.0,4.085432052612305,4.008347988128662,4.085432052612305,1.5034877061843872,346215,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-11-30,0.0,4.085432052612305,4.054597854614258,4.070014953613281,1.4978148937225342,1332968,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-01,0.0,4.070014953613281,4.039181232452393,4.070014953613281,1.4978148937225342,317026,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-02,0.0,4.085432052612305,4.0237650871276855,4.054597854614258,1.492141842842102,531890,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-03,0.0,4.070014953613281,4.0237650871276855,4.070014953613281,1.4978148937225342,778376,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-04,0.0,4.1316819190979,4.070014953613281,4.100848197937012,1.509161353111267,449998,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-07,0.0,4.085432052612305,4.008347988128662,4.0237650871276855,1.4807939529418943,1395400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-08,0.0,4.008347988128662,3.915848016738891,3.9775149822235103,1.463773488998413,846483,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-09,0.0,4.070014953613281,3.946681022644043,4.070014953613281,1.4978148937225342,442701,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-10,0.0,4.070014953613281,4.0237650871276855,4.039181232452393,1.486467361450195,587025,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-11,0.0,4.054597854614258,3.9929308891296382,4.0237650871276855,1.4807939529418943,388377,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-14,0.0,3.9620978832244873,3.915848016738891,3.915848016738891,1.4410797357559204,421620,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-15,0.0,3.946681022644043,3.885014057159424,3.915848016738891,1.4410797357559204,968105,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-16,0.0,3.9620978832244873,3.915848016738891,3.915848016738891,1.4410797357559204,247296,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-17,0.0,3.946681022644043,3.900430917739868,3.946681022644043,1.452426195144653,814051,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-18,0.0,4.116264820098877,3.946681022644043,4.054597854614258,1.492141842842102,834321,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-21,0.0,4.070014953613281,3.931263923645019,3.946681022644043,1.452426195144653,530268,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-22,0.0,4.039181232452393,3.9620978832244873,3.9929308891296382,1.4694474935531616,912159,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-23,0.0,4.039181232452393,4.008347988128662,4.0237650871276855,1.4807939529418943,1238914,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1981-12-24,0.0,4.039181232452393,3.946681022644043,3.9775149822235103,1.463773488998413,121621,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
