Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2001-08-02,16.0,16.079999923706055,15.15999984741211,16.0,10.157917022705078,9812900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-03,16.0,16.079999923706055,16.0,16.0,10.157917022705078,2776400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-06,16.0,16.0,15.800000190734863,16.0,10.157917022705078,416700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-07,16.0,16.0,15.880000114440918,16.0,10.157917022705078,1651800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-08,15.960000038146973,16.0,15.880000114440918,16.0,10.157917022705078,265800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-09,16.0,16.0,15.880000114440918,16.0,10.157917022705078,311200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-10,16.0,16.040000915527344,16.0,16.0,10.157917022705078,123100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-13,16.0,16.049999237060547,15.949999809265137,16.0,10.157917022705078,311100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-14,15.949999809265137,16.0,15.880000114440918,16.0,10.157917022705078,605000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-15,16.0,16.0,15.5,15.949999809265137,10.126174926757812,318400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-16,15.899999618530272,16.0,15.649999618530272,16.0,10.157917022705078,333200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-17,15.850000381469728,16.0,15.199999809265137,15.850000381469728,10.062686920166016,316300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-20,15.949999809265137,16.0,15.600000381469728,15.890000343322754,10.088082313537598,139400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-21,15.800000190734863,15.970000267028809,15.800000190734863,15.899999618530272,10.094428062438965,130500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-22,15.899999618530272,15.989999771118164,15.75,15.90999984741211,10.100775718688965,111300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-23,15.899999618530272,15.989999771118164,15.850000381469728,15.899999618530272,10.094428062438965,81500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-24,15.899999618530272,15.989999771118164,15.800000190734863,15.850000381469728,10.062686920166016,73700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-27,16.0,16.040000915527344,15.8100004196167,15.989999771118164,10.151571273803713,245900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-28,16.0,16.31999969482422,15.949999809265137,16.25,10.316631317138672,332400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-29,16.450000762939453,16.600000381469727,16.059999465942383,16.469999313354492,10.456306457519531,420400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-30,16.530000686645508,16.799999237060547,16.489999771118164,16.760000228881836,10.64041805267334,314600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-31,16.850000381469727,18.25,16.850000381469727,18.25,11.586373329162598,616700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-04,18.25,18.299999237060547,17.399999618530273,18.06999969482422,11.47209930419922,503900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-05,18.299999237060547,18.350000381469727,17.90999984741211,18.200000762939453,11.554636001586914,322700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-06,18.0,18.600000381469727,18.0,18.0,11.427656173706056,205200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-07,18.0,18.149999618530273,17.549999237060547,18.0,11.427656173706056,83400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-10,16.5,17.850000381469727,16.25,17.5,11.110221862792969,245100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-17,16.0,17.200000762939453,15.600000381469728,17.0,10.792781829833984,97100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-18,16.75,17.149999618530273,16.75,17.030000686645508,10.811833381652832,59600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-19,17.25,17.700000762939453,16.5,17.399999618530273,11.04673671722412,98800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-20,17.25,17.25,16.350000381469727,16.799999237060547,10.665815353393556,223900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-21,16.600000381469727,16.600000381469727,15.050000190734863,16.5,10.475354194641112,52700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-24,17.5,17.5,16.700000762939453,17.100000381469727,10.856273651123049,104600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-25,17.0,17.450000762939453,16.350000381469727,17.450000762939453,11.07847785949707,75700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-26,17.450000762939453,17.649999618530273,17.049999237060547,17.649999618530273,11.20545482635498,58800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-27,17.649999618530273,17.649999618530273,16.899999618530273,17.0,10.792781829833984,45500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-28,17.100000381469727,17.299999237060547,16.399999618530273,17.0,10.792781829833984,48100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01,16.899999618530273,17.049999237060547,16.75,17.0,10.792781829833984,13600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,17.049999237060547,17.200000762939453,16.15999984741211,16.5,10.475354194641112,72300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-03,16.25,18.5,15.3100004196167,18.5,11.745086669921877,286900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-04,18.25,18.25,17.15999984741211,17.25,10.95150089263916,90400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-05,17.25,17.25,15.979999542236328,16.0,10.157917022705078,103100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-08,16.0,16.399999618530273,15.800000190734863,15.949999809265137,10.126174926757812,121600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,16.0,17.690000534057617,15.949999809265137,17.299999237060547,10.983246803283691,75600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-10,17.229999542236328,17.299999237060547,16.0,16.450000762939453,10.443608283996582,166500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
