,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1992-06-02,0.1306415019170622,-0.2055084745762712,0.13270428828222136,-0.35437589670014347,-0.211644793311119,-0.367598560935392,-0.3697217897654554,-0.6433044277810365,-0.04411763715909234,-0.08823527431818468,0.14705856613640123,-0.26470582295455414,BIIB,1.4166669845581057,225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56999969482422,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-03,0.03703678978813994,-0.18752178459393515,0.06607413087303014,-0.41297449759078625,-0.25126754959619285,-0.4378059989870378,-0.4041586141808232,-0.6278775236534306,0.03125024586921854,-0.06249977648252869,0.2500005364419313,-0.1562497988342758,BIIB,1.3333330154418943,199800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.350000381469728,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-04,0.05777801513671899,-0.8309549945115258,0.1301941212089182,-0.8823669201520913,-0.19842809648065932,-0.8882828662779763,-0.3642217513196501,-0.9249535697590681,-0.05882396499993636,-0.11764725681815291,0.20588185795461778,-0.23529451363630582,BIIB,1.4166669845581057,39600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65999984741211,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-05,-0.004376200377469508,2.795734208367514,0.08093147189309628,3.7545405502607445,-0.22741660335589012,3.2740907049842836,-0.38954383694560113,2.0105703965638297,-0.07692329361588868,-0.07692329361588868,0.2769230119152335,-0.2307691765960278,BIIB,1.3541669845581057,1586400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.649999618530272,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-08,0.0021691642258397587,-0.8198588020951947,0.09756092919220986,-0.7978774147388504,-0.20947563261917002,-0.8148485289833964,-0.3774889925334653,-0.8685265144659616,-0.09090909090909094,-0.09090909090909094,0.24242401123046853,-0.3030305342240768,BIIB,1.375,67800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1899995803833,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-09,-0.028199830021729516,-0.7200686947988224,0.064301253346223,-0.708355698693863,-0.22705331013727081,-0.7334036018681738,-0.3938757593307892,-0.8064809745866119,-0.10937478765840225,-0.10937478765840225,0.3125003129244599,-0.3124995976685516,BIIB,1.3333330154418943,97800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.970000267028809,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-10,-0.050328057265129504,-0.5913841447871526,0.032186652338647814,-0.5928165007112376,-0.2449253783570112,-0.6250409343958083,-0.41027252163532046,-0.7229801475826287,-0.032258302686555385,-0.09677416973134445,0.3548383762388223,-0.29032250919403346,BIIB,1.2916669845581057,137400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6200008392334,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-11,0.0022028110720725288,-0.2828231722742221,0.07794378647353263,-0.2828473615865895,-0.20212746231063428,-0.338259322464689,-0.3790796155904584,-0.5088064468311615,-0.07692329361588868,-0.13846150595761675,0.2923073889377559,-0.35384630553112206,BIIB,1.3541669845581057,243000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.290000915527344,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-12,0.01315779302920366,-0.12077294685990334,0.09331851638477848,-0.10509407985314365,-0.1838417044900352,-0.15366113894062974,-0.3666364521165152,-0.3672939649578196,-0.1515149203213777,-0.03030326149680418,0.36363636363636354,-0.3030305342240768,BIIB,1.375,312000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.949999809265137,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-15,-0.0088498272904313,-0.25943810359964886,0.061359533709660956,-0.19014281713805656,-0.2019951926061921,-0.21699577632576444,-0.3826698826774591,-0.41027331615902773,-0.1562497988342758,-0.03124953061331015,0.3750000894069885,-0.3124995976685516,BIIB,1.3333330154418943,289200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.760000228881836,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-16,-0.060402684563758344,-0.5866141732283465,-0.0038738913101412677,-0.7981723383977126,-0.24517751501420385,-0.8044788819088654,-0.4184481146886843,-0.8523056725562059,-0.050000000000000044,0.06666641235351545,0.5,-0.2666664123535155,BIIB,1.25,72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.220000267028809,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-17,-0.047619047619047616,-0.5177098495875789,0.0005558049633742722,-0.7618115739446464,-0.23879333830343114,-0.7685872596240901,-0.41567926995097326,-0.8251733902408995,-0.09999999999999998,0.1333335876464845,0.43333358764648455,-0.25,BIIB,1.25,85200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.079999923706055,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-18,-0.08064519361345869,0.5969906466043107,-0.04841407185325201,-0.06411610965912251,-0.27120328960332135,-0.08529294539657238,-0.44202740593876966,-0.3087349397590361,-0.017543591951068915,0.19298272383840476,0.5263157894736843,-0.26315789473684215,BIIB,1.1875,336600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.200000762939453,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-19,-0.02777777777777785,0.7245691111862116,0.0016693980492084137,0.19247546346782987,-0.2273572672845954,0.18252437683614794,-0.4100294955744886,-0.10367627973059737,-0.11666641235351549,0.1333335876464845,0.43333358764648455,-0.30000000000000004,BIIB,1.25,437400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.309999465942383,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-22,-0.016393407473898065,-0.7591682419659735,-0.0005552894234204202,-0.8515981735159818,-0.22223821871369556,-0.8343212024356199,-0.4075049344829634,-0.8877959228408593,-0.06666641235351545,0.10000000000000009,0.43333358764648455,-0.2666664123535155,BIIB,1.25,54600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.65999984741211,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-23,-0.05995178222656235,-0.5269855199648968,-0.06718468262325858,-0.7494169333405651,-0.2675481186391987,-0.7109187610804046,-0.44481147844177904,-0.8089975125577934,-0.017857682948063003,0.142856558975067,0.5714278707700804,-0.178571924871193,BIIB,1.1666669845581057,92400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.529999732971191,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-24,-0.07125310607261173,0.25354042941982646,-0.09849754175571243,-0.3611820305285458,-0.2879120831360003,-0.2640033378533431,-0.46262715295236545,-0.48688860770539727,0.1851849026150172,0.29629601372612835,0.5925928751627607,-0.1851849026150173,BIIB,1.125,235200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.399999618530272,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-25,-0.012376274925599165,-0.5712341197822142,-0.047884243706533665,-0.754887127035042,-0.24336282674983759,-0.7444042409962975,-0.43075898512452443,-0.8224553763872957,0.08771956594366803,0.21052631578947367,0.5087721975226154,-0.19298272383840465,BIIB,1.1875,81000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.399999618530272,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-26,-0.05025129269350547,0.9478473923696185,-0.09799559930092663,0.384776171398711,-0.2782892750185828,0.5089206630393521,-0.4586466137809868,0.05815019669318816,0.14814843071831607,0.22222222222222232,0.5185182359483504,-0.2222222222222222,BIIB,1.125,477000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.670000076293944,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-29,-0.012594265293975105,-0.3676703645007924,-0.06666648356121177,-0.5767850513550303,-0.24573460269377534,-0.5673533070484302,-0.43630450790803116,-0.6958738439649039,0.2857139353850402,0.2142856558975068,0.499999591282547,-0.2500002043587265,BIIB,1.1666669845581057,136800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.210000038146973,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-06-30,-0.04871778649928303,0.1963048498845265,-0.1166664797465148,-0.31599704214937147,-0.2801084572432322,-0.3011102482842572,-0.46383393631620484,-0.505560587388083,0.30188641763754265,0.2830187864429441,0.6037728352750851,-0.13207600947656928,BIIB,1.1041669845581057,222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.350000381469728,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-07-01,0.015544157584526389,2.256317689530686,-0.06666648356121177,2.0540037243947857,-0.2331099571531949,2.3128609030994305,-0.4301863898263785,1.401721855284276,0.142856558975067,0.142856558975067,0.5714278707700804,-0.2500002043587265,BIIB,1.1666669845581057,1082400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34000015258789,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-07-02,-3.566989370723002e-07,-0.39078205442510416,-0.08282409990473998,-0.29707610058741996,-0.24091418262133826,-0.3509000040632238,-0.4367000120740217,-0.521463020100051,0.16363640903442644,0.2363642568038271,0.45454613551639556,-0.23636342450601033,BIIB,1.1458330154418943,213000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.880000114440918,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-07-06,0.13417690096787444,0.538933559035125,0.06253428952484491,1.0541716093317517,-0.10987503836980624,0.8735724303746745,-0.34122506354831517,0.40637689878177163,-0.03124953061331015,0.0,0.2500005364419313,-0.37500008940698837,BIIB,1.3333330154418943,623400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.869999885559082,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-07-07,0.08500018424986415,-0.19210019267822734,0.024229283932367483,0.1976007997334222,-0.1317875607911506,0.06989759466539652,-0.3581409791480997,-0.18506481236536793,-0.032258302686555385,0.03225756435823368,0.29032250919403335,-0.29032250919403346,BIIB,1.2916669845581057,359400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.829999923706056,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-07-08,0.06372563264222639,-0.4959881756756757,0.017505678410366224,-0.3244849445324881,-0.12498019133071264,-0.3938136999288931,-0.3545773641880821,-0.5361175350292477,-0.032258302686555385,0.06451586704478895,0.3064512913731501,-0.32258081188058885,BIIB,1.2916669845581057,204600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.529999732971191,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
1992-07-09,0.1886791597273369,-0.21793103448275863,0.1726383781985613,0.11834319526627218,0.022243248652061447,-0.0003330264266263853,-0.2468181520623459,-0.23115169047188575,-0.16666666666666663,-0.19444465637207042,0.055555343627929465,-0.41666666666666663,BIIB,1.5,340200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.600000381469728,43.9375,32.04999923706055,75.73999786376953,19100.0,6.84,5.84,6.84,4.36
