Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1999-10-01,14.0,14.25,14.0,14.125,8.669032096862793,3162400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-04,14.125,14.125,14.0,14.0,8.592316627502441,533400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-05,14.0,14.125,14.0,14.125,8.669032096862793,270600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-06,14.125,14.875,14.125,14.875,9.129334449768066,205400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-07,14.875,14.875,14.0625,14.125,8.669032096862793,214200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-08,14.1875,14.1875,14.0625,14.0625,8.630671501159668,65600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-11,14.0625,14.125,14.0,14.0625,8.630671501159668,77500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-12,14.0625,14.125,14.0,14.125,8.669032096862793,49200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-13,14.125,14.375,14.0,14.0625,8.630671501159668,49900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-14,14.0,14.0625,13.25,13.625,8.362161636352539,430900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-15,13.125,13.1875,12.6875,13.0625,8.016937255859375,158200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-18,13.0,13.0,12.5,12.8125,7.863502025604248,83800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-19,12.75,13.25,12.75,13.25,8.132013320922852,58200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-20,13.375,13.5,13.125,13.125,8.055293083190918,62600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-21,13.125,13.4375,13.0,13.4375,8.247084617614746,98200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-22,13.375,13.5625,13.3125,13.5,8.285447120666504,191200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-25,13.4375,13.9375,13.4375,13.9375,8.553958892822266,153100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-26,13.8125,14.125,13.8125,14.0,8.592316627502441,65600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-27,14.0,14.1875,14.0,14.0625,8.630671501159668,100900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-28,14.1875,14.5,14.125,14.125,8.669032096862793,255300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-29,14.125,15.25,14.125,15.25,9.359485626220703,123200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-01,15.0,15.0,14.625,14.75,9.052619934082031,41800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,14.75,14.875,14.3125,14.75,9.052619934082031,66600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-03,14.6875,14.875,14.6875,14.75,9.052619934082031,18500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-04,14.875,15.125,14.5,14.9375,9.16769313812256,72100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-05,15.0,15.875,14.875,15.75,9.666354179382324,122900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-08,15.875,17.375,15.8125,16.625,10.20337200164795,240000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-09,16.75,16.75,16.125,16.125,9.896506309509276,42400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-10,16.0,16.125,15.8125,16.0625,9.858147621154783,59900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-11,16.0625,16.25,16.0625,16.125,9.896506309509276,20000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-12,16.25,18.5,16.25,18.0,11.047264099121094,248500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-15,18.1875,18.1875,17.5,17.6875,10.85546875,99200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-16,17.6875,17.6875,17.375,17.4375,10.70204257965088,95300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-17,17.6875,18.25,17.25,17.5,10.740394592285156,107900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-18,17.5,17.5,17.25,17.25,10.586959838867188,67500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-19,17.25,17.75,17.1875,17.625,10.817112922668455,31200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-22,17.5625,17.875,17.5625,17.8125,10.93218231201172,36500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-23,17.8125,19.375,17.8125,19.125,11.737713813781738,65500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-24,19.0,19.0,18.375,18.5625,11.392491340637209,53800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-26,18.5,18.5,18.375,18.4375,11.315771102905272,2600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-29,18.375,18.375,17.875,18.125,11.123983383178713,20200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-30,18.1875,18.5,18.1875,18.375,11.277419090270996,38100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-01,18.375,18.625,18.25,18.5625,11.392491340637209,43800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-02,18.5625,19.0,18.5625,19.0,11.660999298095703,33200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-03,19.125,19.375,19.0625,19.1875,11.77607250213623,62000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-06,19.1875,19.1875,18.25,18.375,11.277419090270996,38200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-07,18.5,19.0,18.4375,18.625,11.430849075317385,112500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-08,18.5,18.5,18.0,18.1875,11.162339210510254,27700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
