,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2000-06-16,0.09470845972362663,0.9174661746617466,0.14417228341278968,2.7975331097595633,0.26292868807838876,4.3082790402034,0.47011194817996205,1.9301346432174031,0.11637931034482762,0.1637931034482758,0.5517241379310345,0.25517246640961755,BLK,29.0,222700.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,146.59375,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-19,0.06818934127772265,0.4131656955943983,0.12916394513389945,2.0375269147954476,0.24845785815304072,3.48388073255638,0.4545900748505617,2.317562081805202,0.2147505422993492,0.16702819956616044,0.5770065075921909,0.23106294909164848,BLK,28.8125,197500.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6299991607666,148.46875,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-20,0.03779732811990873,-0.5279197797876524,0.1080444841302054,0.029617770662397364,0.2259744925453566,0.534637468618727,0.4298683613254653,0.20457715907871502,0.14725274725274717,0.18021978021978025,0.6703296703296704,0.2624176360748627,BLK,28.4375,68600.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8799991607666,147.9375,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-21,0.04564315352697099,-0.7443216697360343,0.1325320642090828,-0.4683808200138985,0.25420599708185687,-0.2035398230088496,0.4645340751043116,-0.358426517571885,-0.008547008547008517,0.14957264957264949,0.6111111111111112,0.2529915051582532,BLK,29.25,35700.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.61000061035156,147.875,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-22,0.0769230769230769,-0.5607908133064994,0.18654923939151327,-0.22218960962723805,0.31581283849773595,0.16911764705882346,0.5390473553032402,-0.03280749422117691,-0.052631578947368474,0.09311740890688269,0.4574898785425101,0.17894741784223167,BLK,30.875,53000.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,145.625,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-23,0.035528330781010684,-0.4871550903901047,0.15283634338451754,-0.21804729435659365,0.27905608191608317,0.17486074109953975,0.49811314252235794,-0.00013397503941951894,-0.026915113871635588,0.07246376811594213,0.4824016563146998,0.18095243149909424,BLK,30.1875,53900.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.34000015258789,144.375,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-26,0.04546823246010234,-0.16515553075742778,0.17600569035011465,0.2092782047051059,0.3057976949628503,0.8562296466047522,0.5312843029637762,0.5828122428830014,-0.06854838709677424,0.06048387096774199,0.42741935483870974,0.14387093820879526,BLK,31.0,85500.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.450000762939453,146.234375,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-27,0.07437037037037032,-0.26475914523723293,0.21796379026569476,-0.17355371900826447,0.35483870967741943,0.2501796235091248,0.5912077410106319,0.07587827323598213,-0.08108108108108103,0.04633204633204624,0.3339768339768341,0.07335907335907343,BLK,32.375,58000.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.799999237060547,145.15625,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-28,0.12838226827864135,0.8647362978283353,0.30242654469338714,0.74992074634301,0.45353867451116114,1.696315593598809,0.7104749622439802,1.3697525374873512,-0.08571428571428574,-0.03928571428571426,0.2928571428571429,-0.007714298793247809,BLK,35.0,128800.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.290000915527344,145.5625,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
2000-06-29,0.03191188929680886,1.8914980902532181,0.2047080544657281,2.5113035113035114,0.3461703773747099,4.737364916493832,0.5864118322415075,4.242683583697409,0.02298850574712641,0.021072796934865856,0.3314176245210727,0.055938720703125,BLK,32.625,292000.0,0.3,0.29,0.01,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.700000762939453,144.1875,32.04999923706055,75.73999786376953,19100.0,6.05,6.18,6.05,6.34
