Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2007-06-22,36.45000076293945,38.0,34.25,35.060001373291016,13.815845489501951,113095700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-25,35.7400016784668,35.77000045776367,31.899999618530273,32.439998626708984,12.783400535583496,35668600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-26,32.279998779296875,32.4900016784668,30.31999969482422,30.75,12.117431640625,29614000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-27,30.399999618530273,30.75,29.1299991607666,29.920000076293945,11.790350914001465,18087600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-28,29.61000061035156,30.979999542236328,29.540000915527344,29.690000534057617,11.699722290039062,8660300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,30.0,30.200000762939453,28.75,29.270000457763672,11.53421688079834,7559700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-02,29.270000457763672,29.739999771118164,29.079999923706055,29.270000457763672,11.53421688079834,3175900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-03,29.5,29.8799991607666,29.420000076293945,29.719999313354492,11.711541175842283,2763700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-05,30.950000762939453,30.969999313354492,30.200000762939453,30.6299991607666,12.070138931274414,6950900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-06,30.899999618530273,31.700000762939453,30.799999237060547,31.5,12.41298007965088,7652900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-09,31.899999618530273,31.989999771118164,31.38999938964844,31.479999542236328,12.405094146728516,4301400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
