,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2020-11-27,-0.025587191897752718,-0.02018029939624514,0.03312601424909466,0.002197779887014826,0.1791142441683342,0.17619143118679473,0.4966025860446016,-0.24426966693515528,-0.013488551116285663,0.0994445433738933,0.1489023287207547,0.3961914572375076,CARR,37.810001373291016,5923500.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,20.84000015258789,363.6700134277344,45.529998779296875,48.18000030517578,16627.529296875,0.93,0.39,0.93,0.14
2020-11-30,-0.01409546853485882,1.5775458554021968,0.035223517146044984,2.260788194792092,0.1828287279124128,3.0694426555991075,0.49438345905761016,1.660877959505865,-0.006041490519570369,0.09640141878281994,0.152876273745163,0.4011032461300412,CARR,38.06999969482422,21169200.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,20.56999969482422,362.05999755859375,45.34000015258789,47.59000015258789,19730.0,0.93,0.39,0.93,0.14
2020-12-01,-0.0207240805500216,-0.16908473404858448,0.017572941976290567,0.010359122370005424,0.16379839458735843,0.27243685866936135,0.4639305369664863,-0.17481194540786452,-0.0015956798145895235,0.10053198796260054,0.16702135236299198,0.45771286163788094,CARR,37.599998474121094,6595200.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,20.770000457763672,366.0199890136719,44.54999923706055,47.41999816894531,19275.0,0.93,0.39,0.93,0.14
2020-12-02,-0.03463636826309597,-0.3125728430533695,-0.006492054820683446,-0.1525397978128295,0.1358325627344421,0.07654671297491622,0.422618099098771,-0.30477907950323874,0.008960032580806798,0.10779248462209945,0.20499589632641468,0.4833016115153099,CARR,36.83000183105469,5578000.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.170000076293945,366.7900085449219,45.279998779296875,48.25,19295.0,0.93,0.39,0.93,0.14
2020-12-03,-0.03075707287098229,-0.3232756464762667,-0.01323224525784656,-0.1880635738565242,0.1274121111599258,0.05462873385917062,0.40974104302387265,-0.32799931788766473,-0.0019078685593970635,0.10057243334754618,0.21886080388535611,0.4854184257266769,CARR,36.689998626708984,5411900.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.280000686645508,366.69000244140625,45.63999938964844,48.709999084472656,19565.0,0.93,0.39,0.93,0.14
2020-12-04,0.002240719927872155,-0.28902717423219215,0.010480065065285881,-0.17601485189050453,0.15430152425339463,0.09545380173751485,0.4408744937140985,-0.3153640147696418,-0.0007958247582752209,0.07082223116478081,0.1862069049257049,0.48859410599940567,CARR,37.70000076293945,5534700.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,20.790000915527344,369.8500061035156,46.2599983215332,49.25,19100.0,0.93,0.39,0.93,0.14
2020-12-07,-0.01399403469679654,-0.5044987194101884,-0.014252836942497647,-0.4269867933271547,0.124168475008487,-0.23802890036002614,0.40048237994017305,-0.5280740289580188,0.03148750929987787,0.08686212675584537,0.22991317007657863,0.511943554078045,CARR,36.84000015258789,3825100.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.299999237060547,369.0899963378906,45.7599983215332,48.790000915527344,19170.0,0.93,0.39,0.93,0.14
2020-12-08,0.00026815262787526634,-0.45989117112831795,-0.0051299584302558375,-0.3938170179678977,0.13433620382802078,-0.18924601975850613,0.41034417863830347,-0.505014799230641,0.0375335537403414,0.06541561638912619,0.2313673255934181,0.5083109778091999,CARR,37.29999923706055,4022800.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,20.68000030517578,370.1700134277344,45.599998474121094,48.84000015258789,18825.0,0.93,0.39,0.93,0.14
2020-12-09,0.01564417884582145,-0.17545473969090522,0.005482681667738948,-0.3772607081950029,0.14679795609011972,-0.16670883893403435,0.4234691083478068,-0.4926610895996491,0.02510572830625324,0.044133143821647236,0.23810777709304554,0.48308664655348044,CARR,37.84000015258789,4134800.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,22.270000457763672,366.8500061035156,45.52000045776367,48.86000061035156,18420.0,0.93,0.39,0.93,0.14
2020-12-10,0.00782390395448516,-0.12063613777873194,-0.006221024774008886,-0.37565770853457325,0.1339753195668876,-0.17405883334883135,0.4056942089312332,-0.4988317590235314,0.026105474649335436,0.03596159939257504,0.22669147879571017,0.5189131344474471,CARR,37.540000915527344,4095700.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,22.520000457763672,366.7300109863281,46.779998779296875,50.25,18440.0,0.93,0.39,0.93,0.14
2020-12-11,-0.0036388737275441694,-0.27912611691605044,-0.01895560172986924,-0.504782294788557,0.11909733076627242,-0.37281765096700553,0.38495081077904786,-0.6210259134731888,0.023412242611872802,0.004305700970643311,0.23062431996810262,0.5379440732118017,CARR,37.15999984741211,3102600.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,23.309999465942383,366.2999877929687,46.56999969482422,49.970001220703125,18020.0,0.93,0.39,0.93,0.14
2020-12-14,-0.01785443477703691,0.42207635192427345,-0.03595218848057029,0.008117802529733811,0.0997620519837371,0.2662270026523185,0.35899467464847395,-0.23349401438364478,0.042053548892555526,-0.010649901721020205,0.25314038034262065,0.540415114493527,CARR,36.619998931884766,6301200.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,24.719999313354492,364.6600036621094,46.9900016784668,50.290000915527344,19270.0,0.93,0.39,0.93,0.14
2020-12-15,0.010422614873922377,0.11580013393019144,-0.010541665734679751,-0.22076686435571347,0.12802062965155647,-0.03191597111924616,0.3921001578198571,-0.41393291484650324,0.0058402238225880865,0.014069620912035674,0.22272374866379252,0.4565968037959429,CARR,37.66999816894531,4832100.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,22.88999938964844,369.5899963378906,47.619998931884766,50.7599983215332,19560.0,0.93,0.39,0.93,0.14
2020-12-16,0.014763677515475816,-0.08351760838325709,-0.0027904394147898275,-0.34683976902227287,0.1346783607676524,-0.20134792023663767,0.3977097209530356,-0.5163184642814288,-0.006315833643863122,0.013157894736842035,0.22000001606188313,0.4655262796502364,CARR,38.0,3990600.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,22.5,370.1700134277344,47.81999969482422,51.08000183105469,20930.0,0.93,0.39,0.93,0.14
2020-12-17,0.027966480459219373,-0.061723869312193556,0.013876412223918158,-0.3111375515710455,0.1520600389198601,-0.17855334384115593,0.4161012192575154,-0.4996407513235522,-0.03953494996980278,-0.0010336153679265658,0.19353999266434707,0.43100775132669145,CARR,38.70000076293945,4095200.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.93000030517578,372.239990234375,48.36000061035156,51.5,22870.0,0.93,0.39,0.93,0.14
2020-12-18,0.026656105863041752,0.8775834129721196,0.0157109390034604,0.5939154310095077,0.15131191321209703,0.9160084328388234,0.4131119301414027,0.23093531515634283,-0.027326665333145317,-0.007991785665746765,0.18226345779729414,0.44315540657355235,CARR,38.790000915527344,9683100.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.56999969482422,369.1799926757813,49.099998474121094,52.2599983215332,22860.0,0.93,0.39,0.93,0.14
2020-12-21,0.01574626736340379,-0.43022671760326286,0.009019715370098613,-0.531628057283446,0.13992228466507647,-0.4378580411555988,0.39675148802152016,-0.6305444710645932,-0.02076841193025758,-0.009605371949319208,0.19678083920764022,0.40498437925062203,CARR,38.52000045776367,2835900.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,25.15999984741211,367.8599853515625,47.7400016784668,50.90999984741211,22880.0,0.93,0.39,0.93,0.14
2020-12-22,-0.00045059348242081104,-0.340030078277719,-0.0031455136948814123,-0.44243269774388716,0.12228131897989233,-0.34264146521830924,0.37268462853883694,-0.5632070441094164,-1.0,0.007888589571060756,0.2150933622861142,0.40941362594259045,CARR,38.029998779296875,3303800.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,24.229999542236328,367.239990234375,47.02000045776367,50.08000183105469,23445.0,0.93,0.39,0.93,0.14
2020-12-23,-0.002799865617615104,-0.467241861496771,-4.367984133739539e-05,-0.5930576650603555,0.12305393061157363,-0.5265935123555929,0.3708072783797728,-0.6757879146842815,-0.02961218743798988,0.025943440315132404,0.2193395955281272,0.45492664255156856,CARR,38.15999984741211,2367600.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,23.309999465942383,367.5700073242187,48.119998931884766,51.20000076293945,23510.0,0.93,0.39,0.93,0.14
2020-12-24,-0.010668075733600716,-0.647081994702092,-0.006971396908826195,-0.7556782492755518,0.11204229975461322,-0.7197907295876432,0.3548594531841658,-0.803948143589923,0.0013195892812341015,0.047769897135060635,0.23805755088578695,0.48112958131154704,CARR,37.88999938964844,1395100.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.530000686645508,369.0,48.22999954223633,51.290000915527344,23196.73046875,0.93,0.39,0.93,0.14
2020-12-28,-0.013179056350562983,-0.1644638978966471,-0.010205551779770757,-0.42104978354978356,0.10515990371435763,-0.35438112015176254,0.3438651772597821,-0.542411192505677,0.06064621338241527,-0.013506312081649874,0.22166321818422619,0.47907841516697847,CARR,37.7599983215332,3209700.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,21.700000762939453,372.1700134277344,47.619998931884766,50.86000061035156,27110.0,0.93,0.39,0.93,0.14
2020-12-29,-0.023017455663633023,-0.011415052045856059,-0.024716669995885492,-0.3166364667150352,0.08501255097564597,-0.2469426989156901,0.3168009305823725,-0.4575776712671457,0.10546145215895253,0.000538080676592001,0.21199896304269372,0.5238095824543212,CARR,37.16999816894531,3748700.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,23.079999923706055,371.4599914550781,48.0,51.09000015258789,27210.0,0.93,0.39,0.93,0.14
2020-12-30,-0.004335360533048713,0.07258007814461771,-0.007618872775232065,-0.4331988318434135,0.09843435718149467,-0.3870158258811522,0.3302594030872465,-0.5542539093688575,0.07845213677140728,-0.014047145129264416,0.232441043312132,0.49589184499003247,CARR,37.72999954223633,3051000.0,0.67,0.46,0.21,45.6522,0.8587133550488599,0.2200732899022801,0.1508550488599348,0.0,0.0,0.0,0.0,22.770000457763672,371.989990234375,48.400001525878906,51.34000015258789,29155.0,0.93,0.39,0.93,0.14
2020-12-31,-0.0015880917052316697,-0.2344531547460712,-0.005580175178327576,-0.5985687236637305,0.09554209793720493,-0.5777646712412258,0.32347012010165377,-0.6886963632331058,0.1020678247488489,-0.011664963604633982,0.2224283965569831,0.48435842700174514,CARR,37.720001220703125,2096800.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,22.75,373.8800048828125,48.52000045776367,51.79999923706055,29385.0,0.93,0.39,0.93,0.14
2021-01-01,-0.0015880917052316697,-0.2344531547460712,-0.005580175178327576,-0.5985687236637305,0.09554209793720493,-0.5777646712412258,0.32347012010165377,-0.6886963632331058,0.1020678247488489,-0.011664963604633982,0.2224283965569831,0.48435842700174514,CARR,37.720001220703125,2096800.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,22.75,373.8800048828125,48.52000045776367,51.79999923706055,29385.0,1.08,0.45,1.08,0.13
2021-01-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,CARR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000209319534237,0.0,0.0,22.75,373.8800048828125,48.52000045776367,51.79999923706055,29385.0,1.08,0.45,1.08,0.13
2021-01-04,0.15051041598622655,0.7743164413480411,0.013169626043290413,-0.06292862910231907,0.08406220079777706,-0.07279508532717746,0.2970252516326085,-0.29810623182545154,0.11747238542309657,0.005671155984140475,0.24817722777091467,0.4833919015921391,CARR,37.029998779296875,4584200.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,26.969999313354492,368.7900085449219,47.619998931884766,51.09000015258789,31550.0,1.08,0.45,1.08,0.13
2021-01-05,0.17852228391813132,0.2706270627062707,0.03863629121557716,-0.2400647941512808,0.10794206580237511,-0.25058444222885295,0.32291403964845605,-0.42715002948208003,0.07538220120910011,-0.03400097911236999,0.24037962774626287,0.41143914537103976,CARR,37.939998626708984,3701500.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,25.34000015258789,371.3299865722656,49.93000030517578,53.599998474121094,34515.0,1.08,0.45,1.08,0.13
2021-01-06,0.23154981597738486,0.8586414291027072,0.09512002673799824,0.2754262200718528,0.16587096547692848,0.2505033016588823,0.3896867246025706,-0.03343968289124185,0.008239746250714441,-0.0601747788594712,0.19550566742106557,0.33707865810663185,CARR,40.04999923706055,6211500.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,25.06999969482422,373.5499877929687,50.630001068115234,54.29999923706055,36565.0,1.08,0.45,1.08,0.13
2021-01-07,0.24214028373071458,0.9842980059744172,0.12179896661229996,0.5876821625876639,0.1918128825604271,0.5500838564760069,0.4188345478168246,0.21404606259165923,-0.017522541202954378,-0.09223657584456457,0.18544655399337717,0.311024549326802,CARR,41.09000015258789,7771900.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,22.3700008392334,379.1000061035156,50.83000183105469,54.380001068115234,39625.0,1.08,0.45,1.08,0.13
2021-01-08,0.2145232579909468,0.5559751037344399,0.10877974166009488,0.397127810749812,0.17627216458911363,0.37620522720366223,0.3984659636773567,0.09779262358265563,-0.015974385183561535,-0.08822807259156329,0.19439666046633808,0.28434505001997357,CARR,40.689998626708984,6964100.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,21.559999465942383,381.260009765625,52.2400016784668,55.9900016784668,39520.0,1.08,0.45,1.08,0.13
2021-01-11,0.2207492714035295,-0.20199669036751464,0.12890377740809242,-0.23432268886123458,0.19756089444981764,-0.2572092345607932,0.42198521653618554,-0.4026609279465898,-0.04402208394976892,-0.09910991008252845,0.17272072066119715,0.22468126584448322,CARR,41.56999969482422,3761400.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,24.079999923706055,378.69000244140625,52.25,55.65999984741211,33780.0,1.08,0.45,1.08,0.13
2021-01-12,0.04309026843629076,-0.1703948897562696,0.129767189819433,0.018682310400230318,0.19770068221651096,-0.12279090512605585,0.42111899457272706,-0.29016027216665674,-0.05342604856875288,-0.1341639210260822,0.16243408017864547,0.24892187282801492,CARR,41.7400016784668,4436100.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,23.329999923706055,378.7699890136719,53.209999084472656,56.58000183105469,34500.0,1.08,0.45,1.08,0.13
2021-01-13,0.018280279860332063,-0.2488075857926735,0.11621637266223178,-0.07451578451463597,0.18307822395055742,-0.218626286727966,0.40256398767709095,-0.3633141047530628,-0.06017403610908634,-0.11720643218048288,0.16408885755351066,0.26921215809808685,CARR,41.380001068115234,3948600.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,22.209999084472656,379.7900085449219,52.90999984741211,56.060001373291016,36375.0,1.08,0.45,1.08,0.13
2021-01-14,-0.00598637420725078,-0.2877166316075185,0.09665626155789239,-0.1085834127257134,0.1623489914529998,-0.2565349917798222,0.37691822303054395,-0.38708923837979864,-0.08529410802231785,-0.08823525836860913,0.19681379274880273,0.2946078598659714,CARR,40.79999923706055,3748900.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,23.25,378.4599914550781,53.56999969482422,56.41999816894531,39605.0,1.08,0.45,1.08,0.13
2021-01-15,-0.017347450104648558,-0.10316491186123225,0.0817906955744739,0.07805786239040424,0.14666325114788503,-0.10680921300679498,0.3567383716248109,-0.25992627926790074,-0.10277368539140086,-0.0802377809005349,0.18994546721301786,0.3256562001818546,CARR,40.380001068115234,4501100.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,24.34000015258789,375.7000122070313,52.36000061035156,55.099998474121094,35625.0,1.08,0.45,1.08,0.13
2021-01-19,-0.015125667505546371,-0.2297158396003019,0.07895016096695134,-0.1755757931701706,0.1423316092896974,-0.3201276990742777,0.3503603869559294,-0.44053659389005767,-0.053752742788195085,-0.08050532786695486,0.1956899116893307,0.32474612229917876,CARR,40.369998931884766,3383000.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,23.239999771118164,378.6499938964844,52.97999954223633,55.900001525878906,36595.0,1.08,0.45,1.08,0.13
2021-01-20,-0.02095848865074942,0.14592140340017865,0.06708836905817718,0.1267395389631714,0.12915964579705036,-0.06478189674321316,0.3333580339798466,-0.2219057989352638,-0.038461560447420884,-0.11288712173857207,0.2290209280537061,0.34215785338872573,CARR,40.040000915527344,4654700.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,21.579999923706055,383.8900146484375,53.2400016784668,56.08000183105469,35035.0,1.08,0.45,1.08,0.13
2021-01-21,-0.022042512664673948,0.10951036166932696,0.056802517032028876,0.11928489596421273,0.1169929199777798,-0.0670131988428008,0.31765145147655494,-0.2188066315369224,-0.027176693141406916,-0.07045805066674171,0.23880215055229126,0.34750873113517566,CARR,39.7400016784668,4647200.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,21.31999969482422,384.239990234375,53.130001068115234,56.099998474121094,31920.0,1.08,0.45,1.08,0.13
2021-01-22,-0.0200198885462844,-0.34124542657953655,0.049132986386616694,-0.36955473736325106,0.10713269467611745,-0.4793230954057341,0.30447457556517027,-0.5614197971314423,-0.026069319743188157,-0.062009543212430907,0.24019240905142447,0.37281710915451116,CARR,39.5099983215332,2585000.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,21.90999984741211,382.8800048828125,52.27000045776367,55.40999984741211,33580.0,1.08,0.45,1.08,0.13
2021-01-25,-0.026811581978946272,0.9646508669070579,0.0314373023571217,1.1493113403607167,0.08683567721188554,0.8308248434378218,0.2791874665665123,0.569567816402572,-0.019027973139194798,-0.04551299782830032,0.2743636449241671,0.3504757336597748,CARR,38.88999938964844,9176800.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,23.190000534057617,384.3900146484375,52.77000045776367,55.880001068115234,33440.0,1.08,0.45,1.08,0.13
2021-01-26,-0.054334849361920276,0.021326000430768658,-0.010342085078877057,0.14177503753889545,0.04080740470886232,-0.01388290957707391,0.22330573779997073,-0.1504703193636359,0.027063294332516863,0.03912109047190415,0.3151126000105895,0.4421221901105301,CARR,37.31999969482422,4945100.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,23.020000457763672,383.7900085449219,52.61000061035156,55.90999984741211,31950.0,1.08,0.45,1.08,0.13
2021-01-27,-0.06795296502078206,0.5179309407648793,-0.038915569102552894,0.852856134599185,0.008708286372864396,0.6226046849593045,0.1836044152126206,0.39756957943468263,0.08059624677164257,0.08280430687012985,0.33176926882792146,0.4454871541147192,CARR,36.22999954223633,8138300.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,37.209999084472656,374.4100036621094,52.849998474121094,55.810001373291016,31475.0,1.08,0.45,1.08,0.13
2021-01-28,-0.009372781690583797,0.3432420791563722,0.012868581756817809,0.8012831240456915,0.06070518722653511,0.6039016812544178,0.24305349959659397,0.39587169032426883,0.03926701492255624,0.03638741785044619,0.3062827363681746,0.4005235322378362,CARR,38.20000076293945,8108500.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,30.209999084472656,377.6300048828125,52.34000015258789,55.529998779296875,32650.0,1.08,0.45,1.08,0.13
2021-01-29,0.004135774853294925,1.1210477632800901,0.02037210920515097,2.326919997937602,0.0663244619727586,2.1528332565042714,0.24786395887025897,1.7911977558495016,-0.03246753246753242,0.028571388938210207,0.31038963020621946,0.3464935104568283,CARR,38.5,16346400.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,33.09000015258789,370.0700073242187,52.20000076293945,55.880001068115234,37242.30078125,1.08,0.45,1.08,0.13
2021-02-01,0.012382632163114205,-0.386992474801876,0.02464882204816981,-0.04111587791488249,0.06761827899352159,-0.09006391409289516,0.24811673850526053,-0.19003305463515222,-0.038023828931844306,-0.002327991540173713,0.3142783645585612,0.3533367796515008,CARR,38.65999984741211,4731700.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,30.239999771118164,376.2300109863281,53.54999923706055,56.349998474121094,34000.0,1.26,0.54,1.26,0.12
2021-02-02,0.011566764422701667,-0.6262290979745643,0.02015747213620667,-0.3836748159024074,0.05985070886843373,-0.4402916706580012,0.2376593994121886,-0.5017069560701586,-0.03326400193669243,0.022609120120436588,0.34875265445137416,0.3653846554197202,CARR,38.47999954223633,2902000.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,25.559999465942383,381.5499877929687,54.7599983215332,57.459999084472656,36170.0,1.26,0.54,1.26,0.12
2021-02-03,0.005686562327403714,-0.5657113075400905,0.01173958404226766,-0.36611351784827795,0.04830416493386534,-0.423899707377017,0.2225931879912177,-0.4843254979200317,-0.022804789299729622,0.07470506841756763,0.3501964943983449,0.38925289332027035,CARR,38.150001525878906,2987900.0,0.67,0.46,0.21,45.6522,1.0,0.2710056595559425,0.2710056595559425,0.0,0.0,0.0,0.0,22.90999984741211,381.8500061035156,55.689998626708984,58.459999084472656,37390.0,1.26,0.54,1.26,0.12
