Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1962-01-02,1.6041669845581057,1.6197919845581057,1.5885419845581057,1.6041669845581057,0.4713078141212463,163200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-03,1.6041669845581057,1.6197919845581057,1.5885419845581057,1.6197919845581057,0.4758986234664917,156000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-04,1.65625,1.7083330154418943,1.65625,1.6614580154418943,0.4881402254104614,355200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-05,1.6614580154418943,1.6979169845581057,1.65625,1.6770830154418943,0.4927312731742859,163200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-08,1.6770830154418943,1.703125,1.6666669845581057,1.6875,0.4957916140556335,204000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-09,1.6875,1.71875,1.671875,1.703125,0.5003819465637207,290400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-10,1.703125,1.7135419845581057,1.6770830154418943,1.6822919845581057,0.4942612051963806,182400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-11,1.6822919845581057,1.7083330154418943,1.6666669845581057,1.7083330154418943,0.5019120573997498,384000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-12,1.7083330154418943,1.7395830154418943,1.6875,1.71875,0.5049727559089661,352800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-15,1.71875,1.7291669845581057,1.6875,1.7135419845581057,0.5034424662590027,280800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-16,1.6979169845581057,1.6979169845581057,1.6770830154418943,1.6875,0.4988239109516144,163200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-17,1.6875,1.7083330154418943,1.6770830154418943,1.6822919845581057,0.4972844123840332,160800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-18,1.6822919845581057,1.71875,1.6822919845581057,1.71875,0.5080615282058716,261600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-19,1.71875,1.75,1.6875,1.75,0.517299234867096,357600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-22,1.75,1.7708330154418943,1.7447919845581057,1.7447919845581057,0.5157595872879028,261600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-23,1.7447919845581057,1.7604169845581057,1.7083330154418943,1.7083330154418943,0.5049822926521301,223200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-24,1.7083330154418943,1.7083330154418943,1.6666669845581057,1.6979169845581057,0.5019032955169678,120000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-25,1.6979169845581057,1.7239580154418943,1.6927080154418943,1.7083330154418943,0.5049822926521301,151200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-26,1.7083330154418943,1.7239580154418943,1.6875,1.7083330154418943,0.5049822926521301,108000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-29,1.7083330154418943,1.7239580154418943,1.703125,1.7239580154418943,0.5096008777618408,122400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-30,1.71875,1.71875,1.6927080154418943,1.6979169845581057,0.5019032955169678,120000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-31,1.6979169845581057,1.7239580154418943,1.6979169845581057,1.7083330154418943,0.5049822926521301,189600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-01,1.7083330154418943,1.75,1.7083330154418943,1.7395830154418943,0.5142198204994202,112800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-02,1.7395830154418943,1.7447919845581057,1.7239580154418943,1.7291669845581057,0.5111405253410339,199200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-05,1.7291669845581057,1.734375,1.7239580154418943,1.7239580154418943,0.5096008777618408,96000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-06,1.7291669845581057,1.7447919845581057,1.7291669845581057,1.734375,0.5126803517341614,105600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-07,1.734375,1.7447919845581057,1.7135419845581057,1.7135419845581057,0.5065218210220337,122400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-08,1.7135419845581057,1.71875,1.7135419845581057,1.7135419845581057,0.5065218210220337,141600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-09,1.7135419845581057,1.71875,1.6927080154418943,1.6927080154418943,0.5003635287284851,115200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-12,1.6927080154418943,1.6979169845581057,1.671875,1.6979169845581057,0.5019032955169678,98400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-13,1.6979169845581057,1.703125,1.6822919845581057,1.6927080154418943,0.5003635287284851,86400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
