,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1999-05-05,0.04871323529411773,0.4892612924973515,0.10689830796219801,1.300562382836909,0.04373810497856668,2.0162944532103406,0.31512007082105353,1.132874166217423,-0.042944785276073594,-0.027607361963190136,-0.10122699386503065,0.6134969325153374,CCI,20.375,441800.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.190000534057617,134.8125,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-06,0.04777070063694268,1.0006282941812978,0.1126768502339214,2.734776725304466,0.051808962222261765,4.273470205594636,0.3236329500117343,3.560049751397711,-0.00911854103343468,-0.03951367781155013,-0.0942249240121581,0.56838905775076,CCI,20.5625,818800.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.440000534057617,133.984375,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-07,0.034342521464075834,-0.12186289066743927,0.10131911310693228,0.5450031221194732,0.04515510414262129,1.1983725161126544,0.3120966573412544,0.9316942599385348,0.0183486238532109,-0.05504587155963303,-0.061162079510703404,0.761467889908257,CCI,20.4375,346400.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36000061035156,135.0,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-10,-0.04287003610108298,-0.1348599586941556,0.01877276548052669,0.45299388018799613,-0.03048617900631053,1.1290805817364709,0.21322670700374818,0.9025750673979733,0.10891089108910901,-0.02640264026402639,0.05775577557755773,0.8778877887788779,CCI,18.9375,341100.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6200008392334,134.328125,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-11,-0.07451158564288965,0.7625006921756464,-0.02124558551488311,2.669253426223555,-0.06745713827912198,4.349551622264634,0.16303080766028305,4.055904918397352,0.13745704467353947,0.05154639175257736,0.05841924398625431,0.865979381443299,CCI,18.1875,909400.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6200008392334,135.6875,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-12,-0.06624029237094566,4.227808621238375,-0.01832240712724824,16.732363856190492,-0.06144533133336907,35.88898549487062,0.16485489179216112,43.39325960786146,0.09589041095890405,-0.013698630136986356,0.07876712328767121,0.8527397260273972,CCI,18.25,10559800.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1299991607666,136.75,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-13,0.018298261665141837,0.3239801776757117,0.06550510973362376,3.539371582453817,0.02281864803530901,8.816510883884323,0.2654897582437019,11.339979979015203,0.0,-0.1352201257861635,-0.08805031446540879,0.7012578616352201,CCI,19.875,3129700.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.020000457763672,137.34375,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-14,0.005524861878453065,-0.5099696838458206,0.044468002008592404,0.6645689256667384,0.0037712917120949273,2.6626361231587286,0.2384365179998898,3.69473285628843,-0.0032051282051281937,-0.04487179487179482,-0.08012820512820518,0.9358974358974359,CCI,19.5,1212300.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.86000061035156,133.78125,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-17,0.05209774089442148,-0.7215432249653712,0.08696860238955259,-0.08891772045036474,0.04903730983070237,1.0293675195629512,0.2897978920992187,1.6328516888942153,-0.06748466257668717,-0.030674846625766916,-0.1165644171779141,0.8711656441717792,CCI,20.375,683500.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.280000686645508,134.1875,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
1999-05-18,0.07172413793103445,-0.6001299297707188,0.10466080610383152,0.3048539714893672,0.07259810675876385,1.9497577214246236,0.31250205283729476,2.860679109436374,-0.10510510510510507,0.0,-0.03003003003003002,0.8438438438438438,CCI,20.8125,1020000.0,-0.12,-0.1,-0.02,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.260000228881836,133.9375,32.04999923706055,75.73999786376953,19100.0,5.9,5.81,5.9,5.62
