Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.4950973987579346,7436400
1997-10-17,5.65625,5.75,5.40625,5.59375,3.437485456466675,3390400
1997-10-20,5.5,5.625,5.46875,5.53125,3.3990767002105713,3068000
1997-10-21,5.5625,5.6875,5.5,5.59375,3.437485456466675,2382400
1997-10-22,5.6875,5.75,5.59375,5.71875,3.5143017768859863,1525200
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.437485456466675,1622400
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.5143017768859863,813600
1997-10-27,5.65625,5.75,5.375,5.421875,3.331865072250366,1507200
1997-10-28,5.25,5.6875,4.9375,5.59375,3.437485456466675,2955600
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.47589373588562,1859200
1997-10-30,5.53125,5.5625,5.375,5.5,3.3798742294311523,856000
1997-10-31,5.4375,5.640625,5.4375,5.5,3.3798742294311523,561600
1997-11-03,5.625,5.84375,5.53125,5.734375,3.5239017009735107,1004000
1997-11-04,5.75,5.875,5.6875,5.78125,3.552708148956299,364000
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.629523515701294,324400
1997-11-06,5.875,6.25,5.875,6.25,3.840766429901123,361600
1997-11-07,6.1875,6.625,6.03125,6.4375,3.9559876918792725,662400
1997-11-10,6.3125,6.5,6.15625,6.15625,3.7831523418426514,266800
1997-11-11,5.9375,6.0,5.75,6.0,3.6871354579925537,618000
1997-11-12,6.0,6.0,5.5625,5.6875,3.4950973987579346,314800
1997-11-13,5.5625,5.625,5.46875,5.5,3.3798742294311523,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,3.3414647579193115,438000
1997-11-17,5.5,5.84375,5.5,5.8125,3.5719125270843506,284000
1997-11-18,5.875,5.875,5.6875,5.71875,3.5143017768859863,1429600
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.418281078338623,148400
1997-11-20,5.625,5.625,5.3125,5.5625,3.418281078338623,1268000
1997-11-21,5.5625,5.625,5.5,5.53125,3.3990767002105713,640800
1997-11-24,5.5,5.59375,5.5,5.53125,3.3990767002105713,64400
1997-11-25,5.5625,5.625,5.5,5.515625,3.389477014541626,326800
1997-11-26,5.5,5.53125,5.234375,5.253905773162842,3.228644371032715,463200
1997-11-28,5.28125,5.3125,5.25,5.25,3.2262446880340576,212800
1997-12-01,5.25,5.375,5.25,5.265625,3.2358450889587402,475200
1997-12-02,5.375,5.5,5.28125,5.34375,3.283853769302368,1280800
1997-12-03,5.4375,5.5,5.34375,5.5,3.3798742294311523,934400
1997-12-04,5.5,5.625,5.40625,5.546875,3.408679246902466,681600
1997-12-05,5.5,5.75,5.4375,5.6875,3.4950973987579346,282800
1997-12-08,5.6875,5.75,5.65625,5.71875,3.5143017768859863,227600
1997-12-09,5.75,5.8125,5.59375,5.59375,3.437485456466675,124000
1997-12-10,5.625,5.625,5.3125,5.375,3.311939001083374,269600
1997-12-11,5.25,5.375,5.15625,5.3125,3.273427724838257,400800
1997-12-12,5.375,5.375,5.15625,5.15625,3.1771504878997803,412400
1997-12-15,5.25,5.375,5.171875,5.21875,3.215662956237793,289200
1997-12-16,5.125,5.3125,5.125,5.21875,3.215662956237793,190800
1997-12-17,5.15625,5.1875,5.03125,5.03125,3.1001288890838623,584800
1997-12-18,5.09375,5.09375,4.96875,5.0,3.080873966217041,272400
1997-12-19,5.03125,5.03125,4.9375,4.9375,3.042361259460449,921600
1997-12-22,4.9375,5.3125,4.9375,5.0625,3.119384765625,924000
1997-12-23,5.1875,5.1875,4.9375,5.0,3.080873966217041,2331200
1997-12-24,5.03125,5.03125,4.9375,4.9375,3.042361259460449,50400
1997-12-26,5.0,5.0625,4.96875,5.0625,3.119384765625,1248400
1997-12-29,5.0625,5.28125,5.0,5.28125,3.2541725635528564,430800
1997-12-30,5.0625,5.34375,5.0625,5.28125,3.2541725635528564,662800
1997-12-31,5.40625,5.6875,5.25,5.59375,3.4467287063598633,911600
1998-01-02,5.53125,5.78125,5.53125,5.78125,3.562260150909424,112400
1998-01-05,6.03125,6.09375,5.625,5.625,3.4659829139709473,629600
1998-01-06,5.59375,5.59375,5.25,5.421875,3.340823173522949,915200
1998-01-07,5.421875,5.75,5.421875,5.5625,3.4274725914001465,164800
1998-01-08,5.5,5.78125,5.5,5.75,3.543003797531128,236000
1998-01-09,5.65625,5.75,5.5,5.5,3.3889617919921875,140400
1998-01-12,5.375,5.53125,5.34375,5.34375,3.2926831245422363,927200
