,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2000-01-13,0.06672152188820778,-0.23097653772986682,0.09618794526625708,-0.5524797657998967,-0.022026502559541215,-0.5209677419354839,-0.048761738007548155,-0.6760639458184878,0.016216217286226353,-0.016216217286226353,0.3729729975832057,0.8918919507424485,CNX,4.8177080154418945,166320.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.709999084472656,145.0,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-14,0.04207126654467539,0.7051131601005868,0.08875745295226034,-0.055123230659181066,-0.02599688391154293,-0.0010007562967432849,-0.05271280438198232,-0.15187127277679952,-0.05978273741463458,0.010869498153719848,0.36956512653084617,1.195651961905308,CNX,4.7916669845581055,348720.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.65999984741211,146.96875,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-18,0.04385971726412984,-0.5531660692951016,0.1032448938853232,-0.7431612681698524,-0.009125642297272004,-0.7424005877491046,-0.03608241130396257,-0.7704277369126418,-0.016042779701418652,-0.026738096725506533,0.31016027700428506,1.2139035987957731,CNX,4.8697919845581055,89760.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,145.8125,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-19,0.018987399533550383,-0.7182972634591308,0.08086944857088063,-0.8423817863397548,-0.023584850018624978,-0.8450081131555582,-0.050513095990046185,-0.8561457722840855,0.05434768979626936,-0.005434848590694985,0.391304321865956,1.4293476649178105,CNX,4.7916669845581055,54000.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.719999313354492,147.0,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-20,0.03521126760563383,-0.463903038819603,0.10268376492357621,-0.6571158937793273,0.004310080201037743,-0.7002818450539631,-0.0237323162348168,-0.7155552978188223,0.02645496186755958,-0.02645496186755958,0.35978829520089284,1.3280422634548614,CNX,4.921875,104640.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,144.75,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-21,0.027027073648892425,0.3250377073906486,0.10166220692437923,0.032072368421052634,0.010518905917545786,-0.14350061422266708,-0.017636520558334593,-0.17860220566579035,0.00526302906153453,-0.02105269447389657,0.3526314277966034,1.2157893955727408,CNX,4.9479169845581055,301200.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81999969482422,144.4375,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-24,0.01604280812662603,-0.260483870967742,0.09552185901984282,-0.5659496921335284,0.011834372840763932,-0.6432569820569458,-0.017071846833657495,-0.6539033116227869,0.021052501731310347,-0.02105269447389657,0.3631578714048449,1.2526313699738276,CNX,4.9479169845581055,125760.0,0.07,0.09,-0.02,-22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06999969482422,140.34375,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-25,0.0030486780288071264,0.020220220220220145,0.07880633673237981,-0.29035612165323627,0.0027854386007618937,-0.5053787793001925,-0.026663279342775625,-0.5175026786996432,0.042553324114426916,-0.026595681476718425,0.3882979624840246,1.2659575939394423,CNX,4.8958330154418945,174720.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.020000457763672,141.9375,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-26,-0.06917763887346197,0.7559221658206431,-0.009163886747220622,0.12884292014340556,-0.07486638550385241,-0.1988290925467237,-0.1032139793560596,-0.21227417640807653,0.11560708569527067,0.06936416674410717,0.543352710056386,1.369942293196118,CNX,4.5052080154418945,284640.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.030000686645508,140.8125,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-27,-0.007704113079164086,-0.4096740273396425,0.04962926209047237,-0.6071066984552076,-0.01446164862373675,-0.7289278793432379,-0.045340496623197946,-0.7327547586166042,0.032608693488829665,-0.010869697181390081,0.4347825135085055,1.309782389116212,CNX,4.7916669845581055,96240.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.540000915527344,140.25,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
2000-01-28,0.038226234366040654,-0.11100404702254765,0.10143822483116943,-0.35029084097407076,0.04015243275967692,-0.5553039618510632,0.007152680940153313,-0.5585986194578302,-0.005154513653911397,-0.06701018764913891,0.3711340439713653,1.3453609093961996,CNX,5.0520830154418945,158160.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13999938964844,135.875,32.04999923706055,75.73999786376953,19100.0,6.52,6.68,6.52,6.61
