,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1995-08-03,-0.006042342136749926,0.4672837308650764,0.06777731989855014,-0.2206898377319533,0.11528570232252873,-0.14037381540228472,0.24836295553607135,0.05278424002336337,0.005319189733918872,0.23404264385315265,0.06382978982437582,0.10106387447048237,COF,7.8333330154418945,883200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.779999732971191,55.921875,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-04,-0.0037650716877550227,-0.11626801837478214,0.07061934305907981,-0.5709671631078413,0.11863738559419036,-0.5332357247437775,0.25218544201979937,-0.3986569754281834,0.005291045658172067,0.1693121289450028,0.12698412698412698,0.14814818851531486,COF,7.875,478200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.210000038146973,55.984375,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-07,0.02323836910541345,-0.5808200017484046,0.10065851996038237,-0.8152808988764045,0.1508951458473145,-0.7976113876012764,0.2888538086057056,-0.7328723051625189,0.0256409865159255,0.11282055194561269,0.07692307692307687,0.17435901348407423,COF,8.125,205500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.100000381469728,56.109375,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-08,-0.001501478564606441,-0.19913374181280366,0.06881685008429352,-0.7061058344640434,0.11867072843933989,-0.6786996350882283,0.25313748071538533,-0.5741473772511599,0.06842096957473887,0.16315780787587197,0.09473683830113311,0.20526314965245485,COF,7.9166669845581055,324900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0600004196167,56.109375,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-09,-0.0060105298024610175,-0.051766893986360835,0.05783582691839318,-0.6350222717149221,0.11016838975063963,-0.6096549123137847,0.24380747601778557,-0.4846619335987404,0.09523809523809534,0.20105816069103444,0.10052914089626741,0.21164025200737835,COF,7.875,393300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,56.09375,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-10,-0.037037077404203866,0.31924838739833594,0.014492719724629394,-0.41395916706233465,0.06703142379139637,-0.4006857233456429,0.1951623943042372,-0.2069288819244563,0.1373626850405969,0.2472527576175214,0.18131868891951552,0.2582418529066923,COF,7.5833330154418945,604800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.96875,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-11,-0.01745071199791301,0.19048849831997927,0.026826979825465485,-0.40002431512400716,0.08222290569894394,-0.413574338018313,0.21207704921678217,-0.22166851034467655,0.1135135181948077,0.18918927947129016,0.1567568457013453,0.23243248325791166,COF,7.7083330154418945,592200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.899999618530272,55.65625,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-14,0.0030326062566576645,-0.47873931623931626,0.04285452706470281,-0.7721800333395074,0.10275527287737764,-0.7908637497166175,0.235361410313788,-0.7253322240952778,0.10052914089626741,0.16402120438833068,0.15343911307198677,0.2328041924370663,COF,7.875,209100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.239999771118164,56.15625,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-15,0.0075757980346680175,0.009036808463742626,0.042238119691298356,-0.572096877964734,0.10572264872741392,-0.6068608984891596,0.23883873554674503,-0.4849751609452622,0.0894736404630303,0.1263157844015108,0.1157893887253052,0.23684209575283255,COF,7.9166669845581055,392400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.350000381469728,56.046875,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
1995-08-16,0.056603739362630245,1.939215821865708,0.0893245862352009,0.9746127413252973,0.1598685091176199,0.8159222165362966,0.3004135613320694,1.3626969886940916,0.03500003948211816,0.09500004177093668,0.040000077819827284,0.1500000057220463,COF,8.333333015441895,1821600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.449999809265137,56.203125,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81
