,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1995-12-18,-0.011583011583011582,-0.9541179823311485,0.06202032325101453,-0.9533152909336942,0.2019719833747412,-0.9649057371490574,0.30094154178781335,-0.9828179407260458,0.00390625,-0.0234375,0.0625,0.23046875,COR,4.0,18400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.550000190734863,60.625,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-19,-0.007146783947223657,0.1467647058823529,0.06648294418925578,0.0955940204563336,0.20526329258094952,-0.15290897108771684,0.30855604841426665,-0.4751389892263718,0.023255813953488413,-0.03875968992248058,0.04651162790697683,0.22093023255813948,COR,4.03125,445600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15999984741211,61.265625,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-20,-0.018221976808393183,-0.48414376321353064,0.04677518621539342,-0.3811818412376363,0.18105964526656093,-0.6292732337300583,0.2856600503998511,-0.7504120020458033,0.03937007874015741,-0.055118110236220486,0.03149606299212593,0.26771653543307083,COR,3.96875,195200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.199999809265137,60.671875,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-21,-0.017270194986072487,0.2529474812433013,0.0356873715176834,0.3198103266596417,0.16645665463535717,-0.23563315816240032,0.2731380743910277,-0.4749375549487339,0.023809523809523725,-0.06349206349206349,0.03571428571428581,0.33333333333333326,COR,3.9375,400800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.770000457763672,60.984375,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-22,-0.011764705882352941,-0.8790322580645161,0.03328093603044743,-0.8781258463482893,0.1617959667312861,-0.9295051435136029,0.27064162033892986,-0.9521827680864252,0.023809523809523725,-0.0714285714285714,0.01984126984126977,0.3293650793650793,COR,3.9375,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.510000228881836,61.203125,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-26,-0.00392156862745098,-0.7639620653319283,0.03949252687773084,-0.8028949799815214,0.1667729980550167,-0.894513222474544,0.27821965928052594,-0.9309766327142002,0.023622047244094446,-0.047244094488189003,0.011811023622047223,0.3464566929133859,COR,3.96875,51200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.489999771118164,61.5,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-27,0.012331838565022405,0.3764705882352941,0.05270315782033988,0.049222797927461065,0.18080805329220664,-0.4203137902559868,0.29563239866032365,-0.6103127120212175,-0.007751937984496138,-0.06589147286821706,0.007751937984496138,0.33333333333333326,COR,4.03125,280800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.979999542236328,61.46875,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-28,0.00784313725490196,-0.19487694625816168,0.046487949516623286,-0.32295259682664834,0.17188093549015998,-0.6138424642134452,0.2879515523654073,-0.7412218197341905,0.011673151750972721,-0.08949416342412453,0.011673151750972721,0.3463035019455254,COR,4.015625,183200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,61.40625,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1995-12-29,0.0318257956448911,3.0142772159428914,0.07121119460461599,3.932628347262494,0.19881934273896595,2.169488739108992,0.3200916696754496,1.1916977700308824,-0.030303030303030276,-0.11363636363636365,-0.022727272727272707,0.36742424242424243,COR,4.125,1542400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.520000457763672,61.484375,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
1996-01-01,0.0318257956448911,3.0142772159428914,0.07121119460461599,3.932628347262494,0.19881934273896595,2.169488739108992,0.3200916696754496,1.1916977700308824,-0.030303030303030276,-0.11363636363636365,-0.022727272727272707,0.36742424242424243,COR,4.125,1542400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.520000457763672,61.484375,32.04999923706055,75.73999786376953,19100.0,5.65,5.36,5.65,5.11
