,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1994-04-06,-0.030920590302178457,1.0214438884917798,-0.05801721389862923,1.4000000000000001,-0.012641309795622824,0.5936185133239833,-0.009054325955734462,-0.3291451028146016,-0.015228426395939132,0.010152284263959421,-0.07106598984771573,-0.12182741116751272,CPT,24.625,40400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3799991607666,44.8125,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-07,-0.02059659090909089,-0.4255459960291198,-0.05515587529976019,-0.2207792207792208,-0.012916156330030088,-0.5125147424977068,-0.009414196720395623,-0.7098736546560599,-0.02030456852791873,0.015228426395939021,-0.060913705583756306,-0.11675126903553301,CPT,24.625,12400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.979999542236328,45.03125,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-08,-0.008583690987124503,-0.21487082545683683,-0.04777172170567491,0.17105263157894737,-0.008236865538735537,-0.2890427373185994,-0.004719483928621338,-0.5488022982354847,-0.02020202020202022,0.030303030303030276,-0.07070707070707072,-0.11111111111111116,CPT,24.75,17800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.920000076293945,44.6875,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-11,-0.024548736462093882,-0.348438456827924,-0.0691318327974277,0.02610261026102606,-0.03322758390382364,-0.3947973809945142,-0.03015075376884422,-0.6033575436002261,0.005181347150259086,0.04663212435233155,-0.025906735751295318,-0.10880829015544047,CPT,24.125,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.610000610351562,44.875,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-12,-0.004354136429608148,0.4882751433038041,-0.0522243713733076,1.7542754275427541,-0.01825467497773821,0.6183340678713091,-0.01546017748507007,0.08721076551836454,-0.010204081632653073,0.03571428571428581,-0.04081632653061229,-0.12244897959183676,CPT,24.5,40800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.420000076293945,44.8125,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-13,-0.015306122448979591,1.7012310606060606,-0.0637128072445019,3.9755799755799757,-0.03328138913624221,2.2371243214616707,-0.030773093770052672,1.2081734025739443,0.010362694300518172,0.05699481865284972,-0.03626943005181349,-0.10880829015544047,CPT,24.125,81500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.020000457763672,44.578125,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-14,-0.01610541727672033,0.1848303393213574,-0.06584495621148231,1.430263660680168,-0.03818323499944345,0.6571130797290254,-0.03603704116925136,0.16132566420158861,0.02083333333333326,0.0625,-0.04166666666666663,-0.11458333333333337,CPT,24.0,42400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.270000457763672,44.59375,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-15,-0.0036683785766691538,4.904506517690875,-0.05319668130795513,19.642887525065323,-0.028380634390651038,29.521082894106375,-0.026294509661768353,25.655158885837583,0.015463917525773141,0.07731958762886593,-0.07216494845360821,-0.12371134020618557,CPT,24.25,1132400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.979999542236328,44.59375,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-18,-0.005886681383370104,-0.49644152944459946,-0.055156657963446536,0.7692483697517446,-0.0336040948036052,1.7125233863423759,-0.031610637230306125,1.4194620810137804,0.005181347150259086,0.09326424870466332,-0.07772020725388606,-0.11917098445595853,CPT,24.125,103100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.219999313354492,44.296875,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
1994-04-19,0.0022140221402213393,-0.6876814039824501,-0.04746317512274955,0.11749788672865596,-0.029029029029029083,0.7570441254651781,-0.026864340653215912,0.5693878358592852,0.005154639175257714,0.09278350515463907,-0.08247422680412375,-0.11855670103092786,CPT,24.25,66100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.93000030517578,44.359375,32.04999923706055,75.73999786376953,19100.0,7.18,6.78,7.18,5.97
