,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1990-11-01,-0.002411137456478837,-0.48510011778563017,0.16218547891847176,-0.5570241290032747,0.1576234546467666,-0.2957208194975252,0.18782445665903238,-0.18921550595592293,0.1864377043561649,0.525417120791478,1.1186359729695599,1.9830422570289215,CSCO,0.1024309992790222,35971200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-02,0.027915016561775825,-0.5702775290957923,0.18318499023887982,-0.6548004314994607,0.18511479960133256,-0.46147421433824903,0.21584547938782142,-0.296376829298087,0.17355167657039106,0.4710715521743878,1.0165278258455963,1.9751987560399664,CSCO,0.1050349995493888,27648000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.030000686645508,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-05,0.0618934173173858,-0.3542600896860987,0.21124137918989236,-0.5222589484290331,0.2216306628341812,-0.2542151804039668,0.25372643429623487,-0.034473053570024295,0.14799970309463428,0.39200235546754647,0.8400011041254136,1.879998527832786,CSCO,0.1085069999098777,37324800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.850000381469727,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-06,0.06466922684490188,-0.2760827999002411,0.21919966081242398,-0.5252452009311911,0.23835161291863244,-0.28215584065860083,0.2711640332492923,-0.06856791068368247,0.1496058713627113,0.4094500987222369,0.8740146784067793,1.826773646451052,CSCO,0.1102430000901222,35827200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11000061035156,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-07,-0.003557121479503075,0.9362807964900438,0.14286079406738264,0.5278312848745449,0.168454589282923,1.3234073112806395,0.19917051698389113,2.036405249205539,0.2166617147285994,0.466664110827665,0.9999904156037416,1.949993913193123,CSCO,0.1041669994592666,118022400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8700008392334,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-08,0.09716754012028134,3.733174211096001,0.2723053770555163,6.147509241330751,0.3153253300609053,10.98147591595858,0.35069009564617387,15.502184441358756,0.09962413278099524,0.29888962775475814,0.8154936498849235,1.671574853116097,CSCO,0.1176220029592514,701654400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.790000915527344,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-09,0.11211174053692398,-0.10045398483218299,0.3031437893654489,0.4435208112250914,0.36349052989566805,1.348355676804706,0.40139818488987633,2.2682375187705084,0.0425503537832681,0.23404359450399448,0.7446811981679982,1.5815549614240285,CSCO,0.1223959997296333,141033600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.959999084472656,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-12,0.07751507418116935,-0.33298969072164947,0.2769856430244662,0.13571867411719962,0.34882107863534656,0.8247054399598897,0.38762881521190873,1.562385633977389,0.04285432621438523,0.19999507087517454,0.7999967139167834,1.5214271017996701,CSCO,0.1215279996395111,111801600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.600000381469727,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-13,0.06824211276975661,-0.6164520268022621,0.2773617069363001,-0.32943673849195965,0.36269132374887036,0.07383453200186268,0.4036634448198262,0.5224192631443819,0.03520892560988376,0.21127011534062645,0.7746462902377842,1.450699199127865,CSCO,0.1232639998197555,66412800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.579999923706055,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
1990-11-14,0.05848123186038125,-0.06877935769091796,0.2715989566331493,0.7500838832345376,0.371892098637622,1.8437504732768935,0.4144894957986468,3.053800235322057,0.020904522444749496,0.22996637471480064,0.7421607293178305,1.5226464363884715,CSCO,0.1245660036802291,180259200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88999938964844,43.9375,32.04999923706055,75.73999786376953,19100.0,8.39,8.02,8.39,7.6
