,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2020-02-10,-0.0033964524948662243,-0.42139299029130906,0.05541505202265996,-0.3788790517570491,0.12447636197333341,-0.4249776625175736,0.10002807770543266,-0.4181120005813317,0.031699323570658855,-0.27026144949892517,-0.0666666957547718,0.3745098316652655,CTVA,30.600000381469727,3416600.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0017979057317556,0.0,0.0,15.039999961853027,334.67999267578125,49.56999969482422,53.27000045776367,9935.0,0.87,0.59,0.87,0.45
2020-02-11,-0.013624610801384253,-0.32190885514702805,0.050656022115426885,-0.3303017925370599,0.11953717470050676,-0.3746455863689142,0.09646203648668217,-0.3711045978992692,0.02327102848726126,-0.2330383663393416,-0.06522450856078199,0.3536545043341075,CTVA,30.510000228881836,3705400.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,15.18000030517578,335.260009765625,49.939998626708984,54.0099983215332,10405.0,0.87,0.59,0.87,0.45
2020-02-12,-0.0034968174948466642,-0.3353871083224992,0.06292587005064813,-0.45431246089425803,0.1334394549380701,-0.48917184586058093,0.1114326599174534,-0.4882855036886919,-0.009049795792255844,-0.21978025297459136,-0.07207502944708277,0.2760180627268636,CTVA,30.940000534057617,3023400.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,13.739999771118164,337.4200134277344,51.16999816894531,55.790000915527344,10525.0,0.87,0.59,0.87,0.45
2020-02-13,-0.01285773070923751,0.04151519319826819,0.04999486495647077,-0.18557227754721548,0.11883908658385986,-0.2319783427923327,0.09875862762709191,-0.23421276718481743,-0.0725490585956815,-0.24150330734872127,-0.0669935006161172,0.2643790243263615,CTVA,30.600000381469727,4543000.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,14.149999618530272,337.05999755859375,51.41999816894531,56.34000015258789,10305.0,0.87,0.59,0.87,0.45
2020-02-14,-0.004722478259325291,-0.04933481152993345,0.05140023770745356,-0.2888996792701159,0.12071653811815347,-0.33948354638715333,0.10228837888325783,-0.34533800628491945,-0.07196350212820612,-0.21556493419864398,-0.17225656678229595,0.3119505736455215,CTVA,30.709999084472656,3895500.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.1059395480874349,0.0,0.0,13.68000030517578,337.6000061035156,52.04999923706055,57.31999969482422,10495.0,0.87,0.59,0.87,0.45
2020-02-18,0.018535663410983966,-0.044600711721723814,0.07135544470429049,-0.34831243236047454,0.14349529487252385,-0.3993122889484694,0.12606015419574634,-0.4091265998828211,-0.13089168002974982,-0.25159234759570503,-0.19363057317102728,0.26942678645221174,CTVA,31.399999618530273,3524700.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,14.829999923706056,336.7300109863281,52.04999923706055,57.75,10250.0,0.87,0.59,0.87,0.45
2020-02-19,0.020159064656269963,-0.15319348579789432,0.0715985739796851,-0.4234843077933644,0.14538584982767716,-0.480613232741354,0.1288544920869486,-0.48212322405025243,-0.13705582589102283,-0.28585025691719457,-0.19352792807359365,0.29156086590237984,CTVA,31.520000457763672,3042600.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,14.380000114440918,338.3399963378906,53.290000915527344,59.119998931884766,10225.0,0.87,0.59,0.87,0.45
2020-02-20,0.017215180040366113,-0.2881929662862835,0.06954104972798984,-0.5231129561130046,0.14450404950752885,-0.5795817063255935,0.129786465300706,-0.5741177893869207,-0.10547988457066715,-0.29553373499828295,-0.15172629250813752,0.3142224288734765,CTVA,31.56999969482422,2460300.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,15.5600004196167,336.95001220703125,53.779998779296875,59.310001373291016,9615.0,0.87,0.59,0.87,0.45
2020-02-21,0.002661020882019774,0.1326136135849489,0.054682199503052774,-0.2346907184578234,0.12974039829545703,-0.3233604938543825,0.11654852569636794,-0.3108513212951855,-0.10570145130172881,-0.2754644030514891,-0.15566940454492728,0.34080722392731655,CTVA,31.219999313354492,3955200.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,1.092003648158103,0.0,0.0,0.0,17.079999923706055,333.4800109863281,53.380001068115234,58.5,9740.0,0.87,0.59,0.87,0.45
2020-02-24,-0.014057329513343706,-0.031110985978940256,0.0335179794060741,-0.3330008211586284,0.10754780851896596,-0.4116973300464652,0.09570220415893155,-0.3942090779349199,-0.05740379118202743,-0.20874101925576072,-0.12198303293317991,0.39138943443317964,CTVA,30.65999984741211,3441300.0,0.07,-0.12,0.19,158.3333,0.3218236674488769,0.3033858531679517,-0.0070398927254441,0.0,0.0,0.0,0.0,25.030000686645508,322.4200134277344,51.43000030517578,56.29999923706055,9600.0,0.87,0.59,0.87,0.45
