Date,Dividend
1987-04-06 00:00:00-04:00,0.332
1987-07-06 00:00:00-04:00,0.332
1987-10-05 00:00:00-04:00,0.332
1988-01-04 00:00:00-05:00,0.332
1988-04-04 00:00:00-04:00,0.332
1988-07-01 00:00:00-04:00,0.332
1988-10-03 00:00:00-04:00,0.332
1989-01-31 00:00:00-05:00,0.0581
1989-05-02 00:00:00-04:00,0.0581
1989-08-01 00:00:00-04:00,0.0581
1989-10-31 00:00:00-05:00,0.0664
1990-01-30 00:00:00-05:00,0.0664
1990-05-01 00:00:00-04:00,0.0664
1990-07-31 00:00:00-04:00,0.083
1990-10-30 00:00:00-05:00,0.083
1991-01-29 00:00:00-05:00,0.083
1991-04-30 00:00:00-04:00,0.083
1991-07-30 00:00:00-04:00,0.10375
1991-10-29 00:00:00-05:00,0.10375
1992-01-28 00:00:00-05:00,0.10375
1992-04-28 00:00:00-04:00,0.166
1992-07-28 00:00:00-04:00,0.166
1992-11-03 00:00:00-05:00,0.166
1993-02-02 00:00:00-05:00,0.1992
1993-05-04 00:00:00-04:00,0.1992
1993-08-03 00:00:00-04:00,0.207915
1993-11-02 00:00:00-05:00,0.2075
1994-02-01 00:00:00-05:00,0.2075
1994-05-03 00:00:00-04:00,0.249
1994-08-02 00:00:00-04:00,0.249
1994-11-01 00:00:00-05:00,0.249
1995-01-31 00:00:00-05:00,0.332
1995-05-02 00:00:00-04:00,0.332
1995-08-03 00:00:00-04:00,0.332
1995-11-02 00:00:00-05:00,0.333333
1996-02-01 00:00:00-05:00,0.375
1996-05-02 00:00:00-04:00,0.375
1996-08-01 00:00:00-04:00,0.375
1996-10-31 00:00:00-05:00,0.375
1997-01-30 00:00:00-05:00,0.5
1997-05-01 00:00:00-04:00,0.5
1997-07-31 00:00:00-04:00,0.5
1997-10-30 00:00:00-05:00,0.5
1998-02-05 00:00:00-05:00,0.625
1998-04-30 00:00:00-04:00,0.625
1998-07-30 00:00:00-04:00,0.625
1998-10-29 00:00:00-05:00,0.9
1999-01-28 00:00:00-05:00,0.9
1999-04-29 00:00:00-04:00,1.05
1999-07-29 00:00:00-04:00,1.05
1999-10-28 00:00:00-04:00,1.05
2000-02-03 00:00:00-05:00,1.2
2000-04-27 00:00:00-04:00,1.2
2000-08-03 00:00:00-04:00,1.395
2000-11-02 00:00:00-05:00,1.4
2001-02-01 00:00:00-05:00,1.4
2001-05-03 00:00:00-04:00,1.4
2001-08-02 00:00:00-04:00,1.6
2001-11-01 00:00:00-05:00,1.6
2002-01-31 00:00:00-05:00,1.6
2002-05-02 00:00:00-04:00,1.8
2002-08-01 00:00:00-04:00,1.8
2002-08-21 00:00:00-04:00,24.15
2002-10-31 00:00:00-05:00,1.8
2003-01-30 00:00:00-05:00,2.0
2003-05-01 00:00:00-04:00,2.0
2003-07-31 00:00:00-04:00,3.5
2003-10-30 00:00:00-05:00,3.5
2004-01-29 00:00:00-05:00,4.0
2004-04-29 00:00:00-04:00,4.0
2004-07-29 00:00:00-04:00,4.0
2004-10-28 00:00:00-04:00,4.0
2005-02-03 00:00:00-05:00,4.4
2005-04-28 00:00:00-04:00,4.4
2005-07-28 00:00:00-04:00,4.4
2005-11-03 00:00:00-05:00,4.4
2006-02-02 00:00:00-05:00,4.9
2006-04-27 00:00:00-04:00,4.9
2006-08-03 00:00:00-04:00,4.9
2006-11-02 00:00:00-05:00,4.9
2007-02-01 00:00:00-05:00,5.4
2007-05-03 00:00:00-04:00,5.4
2007-08-02 00:00:00-04:00,5.4
2007-11-01 00:00:00-04:00,5.4
2008-01-31 00:00:00-05:00,3.2
2008-05-01 00:00:00-04:00,3.2
2008-07-31 00:00:00-04:00,3.2
2008-10-30 00:00:00-04:00,1.6
2009-01-29 00:00:00-05:00,0.1
2011-05-25 00:00:00-04:00,0.01
2011-07-28 00:00:00-04:00,0.01
2011-11-03 00:00:00-04:00,0.01
2012-02-02 00:00:00-05:00,0.01
2012-05-03 00:00:00-04:00,0.01
2012-08-02 00:00:00-04:00,0.01
2012-11-01 00:00:00-04:00,0.01
2013-01-31 00:00:00-05:00,0.01
2013-05-02 00:00:00-04:00,0.01
2013-08-01 00:00:00-04:00,0.01
2013-10-31 00:00:00-04:00,0.01
2014-01-30 00:00:00-05:00,0.01
2014-05-01 00:00:00-04:00,0.01
2014-07-31 00:00:00-04:00,0.01
2014-10-30 00:00:00-04:00,0.01
2015-01-29 00:00:00-05:00,0.01
2015-05-07 00:00:00-04:00,0.05
2015-07-30 00:00:00-04:00,0.05
2015-10-29 00:00:00-04:00,0.05
2016-01-28 00:00:00-05:00,0.05
2016-04-28 00:00:00-04:00,0.05
2016-07-28 00:00:00-04:00,0.16
2016-11-03 00:00:00-04:00,0.16
2017-02-02 00:00:00-05:00,0.16
2017-04-27 00:00:00-04:00,0.16
2017-08-03 00:00:00-04:00,0.32
2017-11-03 00:00:00-04:00,0.32
2018-02-02 00:00:00-05:00,0.32
2018-05-04 00:00:00-04:00,0.32
2018-08-03 00:00:00-04:00,0.45
2018-11-02 00:00:00-04:00,0.45
2019-02-01 00:00:00-05:00,0.45
2019-05-03 00:00:00-04:00,0.45
2019-08-02 00:00:00-04:00,0.51
2019-11-01 00:00:00-04:00,0.51
2020-01-31 00:00:00-05:00,0.51
2020-05-01 00:00:00-04:00,0.51
2020-07-31 00:00:00-04:00,0.51
2020-10-30 00:00:00-04:00,0.51
2021-01-29 00:00:00-05:00,0.51
2021-04-30 00:00:00-04:00,0.51
2021-07-30 00:00:00-04:00,0.51
2021-10-29 00:00:00-04:00,0.51
2022-02-04 00:00:00-05:00,0.51
2022-04-29 00:00:00-04:00,0.51
2022-07-29 00:00:00-04:00,0.51
2022-11-04 00:00:00-04:00,0.51
2023-02-03 00:00:00-05:00,0.51
2023-04-28 00:00:00-04:00,0.51
2023-08-04 00:00:00-04:00,0.53
2023-11-03 00:00:00-04:00,0.53
2024-02-02 00:00:00-05:00,0.53
2024-05-03 00:00:00-04:00,0.53
2024-08-05 00:00:00-04:00,0.56
2024-11-04 00:00:00-05:00,0.56
