,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2021-03-18,0.015401585719825932,0.3073668477479808,0.013374456449997395,0.48258851768528366,-0.05837160364335253,0.9949335411040869,-0.07087648132110913,0.9818509434940578,0.030456905215420438,0.005076177763606138,-0.22504229408541188,-0.23265652038926687,DNB,23.63999938964844,3248900.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,21.579999923706055,391.4800109863281,60.0,63.279998779296875,57365.0,1.64,0.86,1.64,0.16
2021-03-19,0.0260337559486136,1.2783594570071344,0.039591164527987215,2.0893447432969277,-0.03484723933384994,3.3153431540212535,-0.04823685594351843,3.9658659066232356,-0.012391542685061707,-0.0028913547076138135,-0.24783148396928956,-0.2556794242375253,DNB,24.209999084472656,7317700.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,20.950000762939453,389.4800109863281,61.41999816894531,64.52999877929688,58975.0,1.64,0.86,1.64,0.16
2021-03-22,0.027012470547119423,-0.0743242049469964,0.056125927020775866,0.25005393142706045,-0.020715911623058875,0.74164987182487,-0.03433268305061935,1.0609100094306647,-0.030142557805096115,-0.027698509937247873,-0.27494909204763784,-0.2627290857856296,DNB,24.549999237060547,2993900.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,18.8799991607666,392.5899963378906,61.54999923706055,64.62000274658203,55605.0,1.64,0.86,1.64,0.16
2021-03-23,-0.00421014643662563,0.010146750524109014,0.033205555003595115,0.5007391985647919,-0.0421411836907678,1.0653367327823515,-0.05565846916444985,1.51436470046628,-0.02292618767436161,-0.0512713444756735,-0.256773651779197,-0.2888703781280936,DNB,23.989999771118164,3613800.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,20.299999237060547,389.5,57.7599983215332,60.790000915527344,54985.0,1.64,0.86,1.64,0.16
2021-03-24,0.0009458271040366473,-0.6452792498307827,0.042058580693462196,-0.48460200567813716,-0.03312191440608004,-0.3018098278123602,-0.047283526535588837,-0.13986044196362024,-0.030177818663425726,-0.06572964520398816,-0.2732534296989867,-0.31583303548259745,DNB,24.190000534057617,1227800.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,21.200000762939453,387.5199890136719,61.18000030517578,64.41000366210938,54645.0,1.64,0.86,1.64,0.16
2021-03-25,0.006079592211514768,-0.624018116198429,0.047011624831998375,-0.4753025521968249,-0.025571236184256076,-0.31137247291855813,-0.040532715438821615,-0.12343778947461287,-0.03244356891790978,-0.07268995605891804,-0.2887063891791688,-0.3256673585603098,DNB,24.350000381469727,1214400.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,19.809999465942383,389.7000122070313,58.560001373291016,61.95000076293945,52195.0,1.64,0.86,1.64,0.16
2021-03-26,0.022448780996649,-0.3677825645401384,0.06289931951414382,-0.15001083798736398,-0.006810861430744984,0.09979702406535385,-0.022962169379254053,0.41025120129693815,-0.06494556477983549,-0.08229128036254241,-0.29205330419862896,-0.3081888267382724,DNB,24.790000915527344,1947600.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,18.86000061035156,395.9800109863281,60.970001220703125,64.56999969482422,53346.328125,1.64,0.86,1.64,0.16
2021-03-29,0.00046939531889592795,-0.5661679974187336,0.04316548887789296,-0.44098317236621665,-0.02243265865960981,-0.3166562719997791,-0.03951210914571535,-0.12380448214607526,-0.04926111382893483,-0.04720860004372163,-0.2791461811999947,-0.3193760464578751,DNB,24.36000061035156,1210100.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,20.739999771118164,395.7799987792969,61.560001373291016,64.9800033569336,58210.0,1.64,0.86,1.64,0.16
2021-03-30,-0.01628072378039415,-0.2073293865543166,0.023675975017557416,-0.2718018027837423,-0.03876821537580798,-0.1240543694266562,-0.05693081311536792,0.12849691797060217,-0.02593052847517563,-0.0702635012922267,-0.291928046289461,-0.3442074276352244,DNB,23.90999984741211,1558900.0,0.28,0.26,0.02,7.6923,1.0,0.0408248281607998,0.0145802957717142,0.0,0.0,0.0,0.0,19.61000061035156,394.7300109863281,60.54999923706055,64.13999938964844,59705.0,1.64,0.86,1.64,0.16
2021-03-31,-0.016115733410221798,0.09327536913014528,0.019467333927083372,-0.07738935289082202,-0.04142252287789168,0.11301522797302728,-0.06054982031583314,0.43681722537687717,-0.03737922761911372,-0.08357832069524584,-0.29273412304457713,-0.32171356653614824,DNB,23.809999465942383,1993900.0,0.28,0.26,0.02,7.6923,0.2574061882817643,0.0182137371077463,-0.0548606539389949,0.0024584196650352,0.01459314725727,0.0,0.0,19.399999618530273,396.3299865722656,59.15999984741211,63.540000915527344,59285.0,1.64,0.86,1.64,0.16
2021-04-01,-0.028249917001812935,0.19723578266658212,0.00396906717428511,-0.13289967092676214,-0.054554885949624723,0.04520256965003714,-0.07473073397393137,0.3553828811495984,-0.024744023485124722,-0.055460798412539036,-0.2841296798494236,-0.3046075569248756,DNB,23.440000534057617,1888400.0,0.28,0.26,0.02,7.6923,0.2574061882817643,0.0182137371077463,-0.0548606539389949,0.0,0.0,0.0,0.0,17.329999923706055,400.6099853515625,61.45000076293945,64.86000061035156,59615.0,1.64,0.86,1.64,0.16
2021-04-05,-0.02319775891301725,0.09944338504354999,0.004940418055284533,-0.156371544091525,-0.05207869437185691,0.0030909819033402516,-0.07350854021560507,0.3088928197606905,-0.0421994803816258,-0.0682011311407118,-0.28431365853547486,-0.2838874726052367,DNB,23.459999084472656,1828500.0,0.28,0.26,0.02,7.6923,0.2574061882817643,0.0182137371077463,-0.0548606539389949,0.0,0.0,0.0,0.0,17.90999984741211,406.3599853515625,58.650001525878906,62.150001525878906,59840.0,1.64,0.86,1.64,0.16
