Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1962-01-02,0.0,26.117021560668945,25.851064682006836,25.851064682006836,0.4027600288391113,1880.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-03,0.0,25.851064682006836,25.63829803466797,25.63829803466797,0.3994452357292175,5170.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-04,0.0,25.79787254333496,25.4255313873291,25.4255313873291,0.3961300253868103,7755.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-05,0.0,25.372339248657227,24.893617630004883,24.893617630004883,0.3878428041934967,10575.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-08,0.0,24.94680976867676,24.680850982666016,24.94680976867676,0.3886715769767761,6815.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-09,0.0,25.0,24.787233352661133,25.0,0.389500230550766,5170.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-10,0.0,25.106382369995117,24.893617630004883,25.106382369995117,0.3911580443382263,4700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-11,0.0,25.212766647338867,24.893617630004883,25.212766647338867,0.392815500497818,4230.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-12,0.0,25.478723526000977,25.212766647338867,25.478723526000977,0.3969590365886688,3525.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-15,0.0,25.319149017333984,25.05319023132324,25.106382369995117,0.3911580443382263,3525.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-16,0.0,25.212766647338867,25.0,25.106382369995117,0.3911580443382263,4465.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
