,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1996-07-17,-0.04959918683497516,0.5684130213631741,-0.12221980768423193,1.212826523777629,-0.08692720656390648,0.012436794524745932,0.05588988432306198,-0.049229274960879144,0.03690036848426659,0.17712174057173313,0.02583021570986621,0.14022137208746632,DVA,6.775000095367432,440500.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.219999313354492,63.5625,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-18,-0.022006166670937216,0.21493740717165283,-0.11132814652470806,1.0159369095539308,-0.08146101015003823,-0.06642319105227117,0.06115571428186082,0.07749725576289797,0.04029305539234018,0.1868132758734644,0.0,0.1776557664600349,DVA,6.824999809265137,409000.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93000030517578,64.4375,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-19,0.032727258855646306,-0.6556149732620321,-0.07159203292014335,-0.43475055296141557,-0.04619748521156214,-0.7378020975832194,0.10087000428825262,-0.6834063639909151,0.003521140239892029,0.1584507735138312,-0.08802817019648179,0.1584507735138312,DVA,7.099999904632568,115000.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.260000228881836,63.96875,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-22,0.015127782061269609,0.2966360856269113,-0.08742752933458486,0.9531669865642993,-0.0677745273983022,-0.035669610704673775,0.07504240539798346,0.18102194299155083,0.028777020372816597,0.16546771277194994,-0.07913665165349981,0.19784173204824684,DVA,6.949999809265137,424000.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.40999984741211,63.5,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-23,0.0015723130708094307,-0.6639477977161501,-0.10029662613387719,-0.530288059588052,-0.08573344286864079,-0.765135104321058,0.05315042536795414,-0.7052534518254732,0.018315018826859042,0.17948724039622,-0.040292985526087954,0.2454212802264113,DVA,6.824999809265137,103000.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.549999237060547,62.6875,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-24,-0.013102725550251862,-0.466529351184346,-0.10966461574150026,-0.3255354701503874,-0.10020070587580578,-0.6636321165671284,0.035212612799024774,-0.5751873704353373,0.0446096944221821,0.1821561222311272,-0.04089220806947458,0.26765795381762936,DVA,6.724999904632568,148000.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.440000534057617,62.8125,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-25,0.004158029982450211,1.011301890893284,-0.08315799513695162,1.7759501644851965,-0.07808786789221354,0.4800900643138816,0.05934283452939448,0.8962920461880514,0.061594160583134494,0.1557970716532131,-0.0398550857342832,0.23369560747981954,DVA,6.900000095367432,661000.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.38999938964844,63.375,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-26,0.017063107539611183,-0.7724317295188556,-0.06374942960128911,-0.7394385769872152,-0.06288211067677203,-0.8587428743627734,0.07559810552503926,-0.8173464086244967,0.0569395145818159,0.12455515845145837,-0.03202845574065438,0.2028469316089272,DVA,7.025000095367432,62500.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.450000762939453,63.71875,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-29,0.02210796544590302,-0.7826504481434059,-0.05090788520406875,-0.798266897746967,-0.054523940055036295,-0.8902907985020233,0.08426834269946153,-0.856436905417739,0.0704225361571853,0.09507045067626585,-0.04225348139821283,0.1813380171727197,DVA,7.099999904632568,48500.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.09000015258789,63.015625,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
1996-07-30,0.025179864153650224,-0.6397902327105867,-0.04490616296390186,-0.6720969089390142,-0.052946383542990874,-0.8212862834376778,0.08530084276858271,-0.7661738058398629,0.04561400831791396,0.07017543859649122,-0.04210528992770013,0.19649117453056464,DVA,7.125,78500.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.530000686645508,63.625,32.04999923706055,75.73999786376953,19100.0,6.64,6.39,6.64,6.03
