,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2001-04-30,0.008733668213398504,0.06859352737634848,-0.0655969437866106,-0.369724947967293,-0.6172048229622423,0.04629669098983545,-0.7901648526761539,-0.2877199758141361,0.15909084135836093,-0.007575840359983155,-0.5606060907094154,-0.3787879088912336,EQIX,42.2400016784668,15000.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.479999542236328,126.66000366210938,28.459999084472656,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-01,0.028953268100098607,0.17784643972213524,-0.051780868678126354,-0.34489092030733,-0.6118994477275482,0.07762182873212324,-0.7879541643501293,-0.0697453720371465,0.1363635912086043,0.00757575004991895,-0.6893939544456168,-0.3787879088912336,EQIX,42.2400016784668,15575.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.200000762939453,127.0500030517578,28.940000534057617,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-02,0.2774261718512061,0.722790974099423,0.2517712421605346,0.07060651718252224,-0.4860728834077857,0.7529585798816569,-0.7195207322744485,0.5617723810109564,-0.19653180903471346,-0.31213870283205436,-0.7341040443508166,-0.5953757338951008,EQIX,55.36000061035156,25675.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.229999542236328,126.81999969482422,27.799999237060547,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-03,0.2032356124935867,-0.17826883872295057,0.2390294564636374,-0.47629570192284965,-0.49101583355570183,-0.1402035164463846,-0.7217720135071096,-0.22705026461813813,-0.3176470975974841,-0.3235294447638163,-0.7000000140246219,-0.5705882361190955,EQIX,54.400001525878906,12553.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.780000686645508,125.20999908447266,28.450000762939453,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-04,0.10742186433617477,-0.05219349505430293,0.19263803508689203,-0.4126948582293471,-0.5110971381184758,-0.024037963971971457,-0.7322467711353308,-0.11409765924914851,-0.21604939679731738,-0.24691356480294224,-0.6975308592009519,-0.5493827056019904,EQIX,51.84000015258789,14250.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.90999984741211,127.33999633789062,28.36000061035156,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-07,0.04635762732149658,-0.1217258401700543,0.17621516862580072,-0.4145405758411232,-0.5193692862589776,-0.024182890940543603,-0.7363352476225443,-0.10175762212696379,-0.1772152424011436,-0.22151899641474304,-0.6582278438035427,-0.6012658366330288,EQIX,50.560001373291016,14284.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.86000061035156,126.23999786376952,27.770000457763672,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-08,0.04132229568450453,-0.6069253742921418,0.2174729886906873,-0.7637583272028078,-0.5035222497569033,-0.6040474240557201,-0.7264412019359759,-0.628753097196683,-0.22839506399956733,-0.28395063999567316,-0.6975308592009519,-0.6049382815980962,EQIX,51.84000015258789,5791.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.440000534057617,126.18000030517578,27.38999938964844,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-09,-0.03513516561230886,-0.6556906578053017,0.152578521952662,-0.8134536512045654,-0.5279376502927622,-0.6819400948807789,-0.738285700222734,-0.7011355189557261,-0.21568622867770404,-0.2549019562011038,-0.660130725065195,-0.6732026082681384,EQIX,48.959999084472656,4559.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.350000381469727,125.6500015258789,28.229999542236328,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-10,-0.06914894364665168,-0.4519614639860391,0.13175515800031168,-0.7286979572958159,-0.532586915350608,-0.5393818731335003,-0.7404576117307009,-0.5662993637953772,-0.07333334287007653,-0.25999999046325684,-0.6266666650772095,-0.6200000047683716,EQIX,48.0,6550.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,126.0199966430664,28.520000457763672,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
2001-05-11,-0.11060330448148907,0.8093478260869567,0.0491885615356422,-0.16267374392086145,-0.5635811857355553,0.4140568523657393,-0.7567762673318271,0.33725479674193143,0.035971274849026624,-0.18705035477628318,-0.5611510643288495,-0.6043165341142256,EQIX,44.47999954223633,20213.0,-16.33,-18.25,1.92,10.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.540000915527344,125.1500015258789,28.549999237060547,75.73999786376953,19100.0,5.39,4.93,5.39,4.26
