,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2015-12-21,-0.04897830925696164,-0.46924131258566476,-0.038525217569213836,-0.3634672966779368,-0.26627229436323396,-0.23430735231399516,-0.40026165006760095,-0.5037403538573263,-0.0516647310326388,-0.15958666594694004,0.09873704396219618,0.4236509258578989,ETSY,8.710000038146973,658300.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,18.700000762939453,201.6699981689453,34.7400016784668,36.349998474121094,19100.0,2.09,1.52,2.09,0.9
2015-12-22,-0.040137460766683015,-0.19587664270342042,-0.03072679700641512,-0.030334849324246013,-0.2545845795903969,0.16931845105926796,-0.39746543724681843,-0.246677234788723,-1.0,-0.14806375323860965,0.09111619761566225,0.35877000774561685,ETSY,8.779999732971191,1003500.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,16.600000381469727,203.5,36.13999938964844,36.11000061035156,19100.0,2.09,1.52,2.09,0.9
2015-12-23,-0.03070173997161572,-0.43177739946627397,-0.025358305272579387,-0.23605698449813806,-0.24341697000681248,-0.1731230154132172,-0.39538558577261357,-0.4717889051801497,-0.06787334514853804,-0.2047511212145927,0.10746603991709502,0.33823526238773316,ETSY,8.84000015258789,705700.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,15.56999969482422,206.02000427246097,37.5,37.36000061035156,19100.0,2.09,1.52,2.09,0.9
2015-12-24,-0.01280631566707333,-0.6596108678632528,-0.016393432279199587,-0.62015998429602,-0.23149822452915517,-0.6046505231642103,-0.3919747879233744,-0.7493052867965458,-0.04596410806113527,-0.2466368012651794,0.10986541859352683,0.355381171432793,ETSY,8.920000076293945,335400.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,15.739999771118164,205.67999267578125,38.099998474121094,37.88999938964844,19100.0,2.09,1.52,2.09,0.9
2015-12-28,-0.03775407022978852,0.11453770834890498,-0.059048691614415484,0.20402887890754523,-0.2613926011582382,0.2518609644105248,-0.42110822691067235,-0.2073966063884368,0.032863816658137424,-0.25352115119677165,0.14084504046847335,0.45070410711239517,ETSY,8.520000457763672,1065100.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,16.90999984741211,205.2100067138672,36.810001373291016,36.619998931884766,19100.0,2.09,1.52,2.09,0.9
2015-12-29,-0.02183906334212355,-0.1809796484599832,-0.05952992730539725,-0.10198903538580037,-0.25815791627965073,-0.06744162034501738,-0.42363913146090176,-0.4119583791933878,0.018801391669660772,-0.2103408214508804,0.17508810000513253,0.480611050832521,ETSY,8.510000228881836,792800.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,16.079999923706055,207.3999938964844,37.869998931884766,37.790000915527344,19100.0,2.09,1.52,2.09,0.9
2015-12-30,-0.023041531072313246,0.05969038404286997,-0.06180857974805492,-0.08436121364905015,-0.25719016879834034,-0.03781893009522732,-0.42749769499822804,-0.39854688256575316,-0.01179238598980381,-0.20636787943756607,0.14976421300946785,0.48231136478449455,ETSY,8.479999542236328,813600.0,-0.03,-0.06,0.03,50.0,0.6321693862640039,-0.025374452021432,-0.1048922308816366,0.0,0.0,0.0,0.0,17.290000915527344,205.92999267578125,36.599998474121094,36.459999084472656,19100.0,2.09,1.52,2.09,0.9
2015-12-31,-0.04128666556324443,0.43208918722909045,-0.08429102284634463,0.32665449017313225,-0.27315745040676753,0.4305538629671707,-0.43776587041278553,-0.029341157642037936,-0.09927362577959409,-0.16464892201322723,0.15980625402511772,0.49757863714171124,ETSY,8.260000228881836,1213000.0,-0.03,-0.06,0.03,50.0,0.6564537231924455,0.0957506115251152,-0.0481483588372489,0.0,0.0,0.0,0.0,18.209999084472656,203.8699951171875,37.040000915527344,37.279998779296875,19100.0,2.09,1.52,2.09,0.9
2016-01-01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,ETSY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001367884898853,0.0001594305303097,0.0,0.0,18.209999084472656,203.8699951171875,37.040000915527344,37.279998779296875,19100.0,2.09,1.52,2.09,0.9
2016-01-04,0.13253481351276172,0.40924748277689454,-0.05435907854390307,0.16611182775266492,-0.2621703278597406,0.25704133807088997,-0.42958454836360804,-0.12557430056356808,-0.15169903333994583,-0.024271822186955783,0.12378646675924099,0.4854369066878266,ETSY,8.239999771118164,1063700.0,-0.03,-0.06,0.03,50.0,0.6564537231924455,0.0957506115251152,-0.0481483588372489,0.0,0.0,0.0,0.0,20.700000762939453,201.02000427246097,36.7599983215332,37.220001220703125,19100.0,2.09,1.52,2.09,0.9
