Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1987-08-20,0.0,0.0651040002703666,0.0631510019302368,0.0631510019302368,0.0390051752328872,66969600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-21,0.0,0.063801996409893,0.0625,0.0625,0.0386030673980712,17932800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-24,0.0,0.0644529983401298,0.0631510019302368,0.0631510019302368,0.0390051752328872,8889600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-25,0.0,0.0683590024709701,0.0664059966802597,0.0664059966802597,0.0410156175494194,20774400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-26,0.0,0.0690099969506263,0.0670569986104965,0.0670569986104965,0.0414177104830741,25593600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-27,0.0,0.0690099969506263,0.0677080005407333,0.0677080005407333,0.0418198071420192,2630400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-28,0.0,0.0703129991889,0.0677080005407333,0.0677080005407333,0.0418198071420192,7180800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-31,0.0,0.0696609988808631,0.0677080005407333,0.0677080005407333,0.0418198071420192,4435200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-09-01,0.0,0.0696609988808631,0.0677080005407333,0.0677080005407333,0.0418198071420192,3321600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-09-02,0.0,0.0683590024709701,0.0644529983401298,0.0644529983401298,0.0398093499243259,7372800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-09-03,0.0,0.0670569986104965,0.0644529983401298,0.0644529983401298,0.0398093499243259,2246400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-09-04,0.0,0.0664059966802597,0.0644529983401298,0.0664059966802597,0.0410156175494194,1094400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
