Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1995-07-10,11.8125,12.25,11.8125,12.25,6.666722297668457,5438000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-11,12.5625,12.5625,12.375,12.5,6.802778244018555,4907000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-12,12.5,13.0625,12.4375,13.0625,7.10890531539917,1055800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-13,13.0,13.125,12.9375,13.0625,7.10890531539917,1373600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-14,13.0,13.0625,12.9375,13.0,7.07489013671875,985600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-17,13.0,13.0,12.875,12.9375,7.040877342224121,947600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-18,12.9375,12.9375,12.5625,12.625,6.870806694030762,727400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-19,12.5625,12.5625,11.6875,11.875,6.46264123916626,558200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-20,11.75,11.8125,11.75,11.8125,6.428628444671631,464600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-21,11.875,12.1875,11.875,12.0625,6.564680576324463,721200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-24,12.0625,12.25,12.0625,12.0625,6.564680576324463,509000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-25,12.125,12.375,12.0625,12.125,6.598696708679199,847000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-26,12.25,12.5625,12.25,12.5625,6.836794376373291,1584800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-27,12.5,12.875,12.5,12.875,7.006864547729492,2082600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-28,12.875,13.6875,12.6875,13.6875,7.449045181274414,14640800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-31,13.625,13.625,13.25,13.5,7.347002029418945,2544600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-01,13.4375,13.4375,13.25,13.3125,7.244962692260742,1956000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-02,13.3125,13.3125,12.625,12.6875,6.904819011688232,2307600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-03,12.5625,13.0,12.5625,13.0,7.07489013671875,1762800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-04,12.875,12.9375,12.5,12.6875,6.904819011688232,903800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-07,12.625,12.625,12.4375,12.5625,6.836794376373291,837000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-08,12.5,12.5625,12.4375,12.4375,6.768764019012451,729000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-09,12.4375,12.4375,12.1875,12.25,6.666722297668457,586600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-10,12.25,12.5625,12.25,12.375,6.734748363494873,1319400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-11,12.375,12.625,12.375,12.5,6.802778244018555,1152000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-14,12.5,12.5,12.125,12.25,6.666722297668457,379800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-15,12.25,12.375,12.25,12.3125,6.700736045837402,349600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
