,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1987-06-11,0.05309704499577375,0.4242115176540828,0.15072079456656615,1.5205845200234496,0.1265728781530057,3.7758017241207624,0.28398688933883676,3.5794529176289913,-0.0235296049674113,-0.04705914603509531,-0.44705744630234323,-0.08235134894561302,FI,0.4663920104503631,4556250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-12,0.036364485050374144,-0.7193288398781901,0.15151518195784242,-0.5419087595831602,0.13078639461973862,-0.12436564482497735,0.2877587073612114,0.06680391991534225,-0.0058490272140200306,-0.07602274280771593,-0.4502916223467106,-0.09941465894936152,FI,0.4691359996795654,838350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-15,0.02468086053707235,-0.9142197452504042,0.15204178541174035,-0.8681702830218208,0.13456371429720454,-0.743065220923308,0.29145194173905814,-0.6887340999947087,0.0,-0.09302174005307196,-0.430233189706569,-0.09302174005307196,FI,0.4718790054321289,241481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-16,0.005917058537962931,-0.5653702868059493,0.13157202706730214,-0.35402634668439376,0.11858361432922065,0.26868401592524077,0.2727186982161488,0.5722850009587453,0.0235295410676839,-0.11764566054713876,-0.44705744630234323,-0.07058657841177085,FI,0.4663920104503631,1207406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-17,-0.02270847643110745,-0.8202890368674498,0.09957927307419706,-0.7503029161069147,0.08955544266888855,-0.5082487246111544,0.2394213769640518,-0.3840119996469148,0.024096588168068367,-0.12048051957910366,-0.40963905407998236,-0.060239147318171926,FI,0.4554179906845093,469294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-18,-0.0008397764274944567,-0.7946728383158064,0.11817487768469945,-0.7889543584353196,0.1127263304456629,-0.586392501510416,0.26571706927721334,-0.4788336246775283,0.0,-0.12941049498070833,-0.4235300139256677,-0.08235134894561302,FI,0.4663920104503631,396394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-19,-0.019409584323393705,-0.8900521360936667,0.0870977978626619,-0.9342317645053899,0.08417885387428228,-0.871611744674296,0.23262121013257891,-0.8351645284068667,0.04819311089664402,-0.12048051957910366,-0.4337334173052908,-0.042167835023373845,FI,0.4554179906845093,123019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-22,-0.016088336612240326,0.15447221618931958,0.08190208047448934,-0.6571150200292,0.08182366541354799,-0.3297315973608409,0.22932489861430963,-0.13405782297459487,0.024096588168068367,-0.12048051957910366,-0.42168731544427007,-0.04819088595388399,FI,0.4554179906845093,646988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-23,0.008474651088576106,1.3125619522530756,0.10222529011038688,-0.210774842524535,0.10525084680236876,0.606541847007969,0.2553836528757207,1.0173822770121526,0.0,-0.11764566054713876,-0.40000047285798357,-0.05882391656893737,FI,0.4663920104503631,1521788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
1987-06-24,0.020339123947829666,0.9541005519500573,0.10800878649789067,-0.14588282945413544,0.11567484849090579,0.8186273938464557,0.2664639788995902,1.2177204501435825,0.011627970133447407,-0.08139376991962421,-0.33720936548228475,-0.06976788395738909,FI,0.4718790054321289,1690369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.45,8.01,8.45,7.44
