Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2000-12-01,10.5,14.0625,10.5,13.5,10.259236335754396,23200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-04,13.875,15.0,13.625,15.0,11.399152755737305,31000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-05,15.5,15.5,15.0,15.125,11.494144439697266,12800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-06,15.0,15.1875,15.0,15.0,11.399152755737305,10400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-07,15.0,15.0,14.8125,14.8125,11.256662368774414,2600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-08,14.9375,15.0,14.9375,15.0,11.399152755737305,4200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-11,14.9375,15.1875,14.8125,15.1875,11.541647911071776,32600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-12,14.875,15.125,14.875,15.125,11.494144439697266,3600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-13,15.25,15.375,15.25,15.375,11.68412971496582,2400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-14,15.3125,15.3125,15.25,15.25,11.58913516998291,2800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-15,15.0625,15.125,14.75,14.75,11.209168434143066,83000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-18,14.75,15.125,14.75,15.125,11.494144439697266,23200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-19,15.0,15.25,15.0,15.125,11.494144439697266,3600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-20,15.0,15.0,14.625,14.75,11.209168434143066,42400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-21,14.6875,14.6875,14.375,14.4375,10.971684455871582,243400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
