,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2024-07-30,-0.005964570689689538,-0.2557219953889153,0.0073108464758083105,-0.6672144783538236,0.07094627777805759,-0.5077633527348137,0.19086727883457433,-0.4877215555144142,0.09068145347284418,0.053059732003463145,0.0,0.0,GDDY,143.8000030517578,825500.0,2.76,0.96,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.001060410990349,0.7166666666666667,0.75,17.690000534057617,542.0,74.7300033569336,78.62999725341797,66385.0,3.87,3.71,3.87,3.97
2024-07-31,0.007161854484997326,0.19743298445771199,0.01687210790724309,-0.42855681729482975,0.08104110278041257,-0.1582504486740657,0.20150119368807948,-0.11951785194040121,0.0830526097250679,0.04922656453995833,0.0,0.0,GDDY,145.4499969482422,1415400.0,2.76,0.96,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.001060410990349,0.75,0.75,16.360000610351562,550.8099975585938,77.91000366210938,80.72000122070312,65685.0,3.87,3.71,3.87,3.97
2024-08-01,-0.014711559599373867,0.4953327663193707,-0.012178059927794352,-0.19451760451868688,0.04924060209925983,0.184754387378658,0.16549000641988462,0.24812999982400005,0.12057140662055121,0.07686864320547437,0.0,0.0,GDDY,141.41000366210938,2009300.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.0008732796391109,0.85,0.65,18.59000015258789,543.010009765625,76.30999755859375,79.5199966430664,63790.0,3.87,3.71,3.87,3.97
2024-08-02,0.04548283620886326,0.5820864700471211,0.053226528409528476,0.6330046254221885,0.11955949220939317,0.40500909973268123,0.24323072486342578,0.49171014005906905,0.057785160285382275,-0.006280971558626058,0.0,0.0,GDDY,151.25,2407800.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.0008732796391109,1.0,1.0,23.38999938964844,532.9000244140625,73.5199966430664,76.80999755859375,62945.0,3.87,3.71,3.87,3.97
2024-08-05,0.011689726664561225,-0.06981806728916559,0.02078925436474807,-0.01578944961052381,0.08469684005905005,-0.15999929731555024,0.2042986037435082,-0.11063548523426203,0.09497546626153852,0.04779404126022957,0.0,0.0,GDDY,146.8800048828125,1434500.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.0008732796391109,1.0,1.0,38.56999969482422,517.3800048828125,72.94000244140625,76.30000305175781,53770.0,3.87,3.71,3.87,3.97
2024-08-06,0.038540009172994404,0.29540843751625606,0.05386484392677685,0.47155476706989735,0.11959244414057767,0.24859203950673778,0.24307960950828592,0.3186430753992292,0.06860934339330682,0.014866428386526076,0.0,0.0,GDDY,152.02000427246094,2134500.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.0008732796391109,0.5,0.7,27.709999084472656,522.1500244140625,73.19999694824219,76.4800033569336,57145.0,3.87,3.71,3.87,3.97
2024-08-07,0.03458880769594395,-0.19174883238194082,0.055837618450514076,-0.07007091144660275,0.12213603313788741,-0.22047285474324269,0.24574072092799876,-0.17603527926849213,0.07096106301702321,0.048311109899144666,0.0,0.0,GDDY,152.75999450683594,1335000.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.0008732796391109,0.5,0.7,27.850000381469727,518.6599731445312,75.2300033569336,78.33000183105469,55000.0,3.87,3.71,3.87,3.97
2024-08-08,0.04898670347596888,-0.3695959861345357,0.0799074365594702,-0.25961538461538464,0.14886133090827378,-0.37809702919303617,0.2754474043822596,-0.34341861851800615,0.04526910398684025,0.023654723288021984,0.0,0.0,GDDY,156.83999633789062,1062600.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,0.0008732796391109,0.5,0.7,23.790000915527344,530.6500244140625,76.19000244140625,79.16000366210938,59695.0,3.87,3.71,3.87,3.97
2024-08-09,0.04157967763194043,-0.521137248569019,0.08024027722092555,-0.4340252863893906,0.1507667763735842,-0.5522361765765201,0.27743194968311075,-0.5293300265838515,0.034660107637763504,0.006347997256072047,0.0,0.0,GDDY,157.52999877929688,762500.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,4.990169366348294e-05,0.5,0.7,20.3700008392334,532.989990234375,76.83999633789062,79.66000366210938,60990.0,3.87,3.71,3.87,3.97
2024-08-12,0.031122800428489812,-0.2539895177377088,0.08198047101707681,-0.1419326394684218,0.15432530485959087,-0.3572174200232367,0.2814076273860944,-0.32544631390667406,0.04083040317925124,-0.004354426430463243,0.0,0.0,GDDY,158.4600067138672,1089900.0,1.01,1.07,1.8,187.5,0.3921262732862255,0.1910617601174635,0.134257134991282,0.0002426469854386,4.990169366348294e-05,0.5,0.7,20.709999084472656,533.27001953125,80.05999755859375,82.30000305175781,59200.0,3.87,3.71,3.87,3.97
