Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1989-06-23,0.0,0.734375,0.6875,0.71875,0.2628175616264343,23190400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-06-26,0.0,0.78125,0.71875,0.765625,0.2799579203128814,7321600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-06-27,0.0,0.765625,0.734375,0.734375,0.2685309946537018,3054400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-06-28,0.0,0.765625,0.71875,0.71875,0.2628175616264343,2972800.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-06-29,0.0,0.734375,0.703125,0.703125,0.2571041882038116,977600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-06-30,0.0,0.734375,0.703125,0.703125,0.2571041882038116,1406400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-03,0.0,0.734375,0.703125,0.734375,0.2685309946537018,94400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-05,0.0,0.703125,0.703125,0.703125,0.2571041882038116,137600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-06,0.0,0.734375,0.703125,0.71875,0.2628175616264343,161600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-07,0.0,0.734375,0.703125,0.7265629768371582,0.2656744718551636,1040000.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-10,0.0,0.75,0.71875,0.71875,0.2628175616264343,419200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-11,0.0,0.765625,0.734375,0.734375,0.2685309946537018,2067200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-12,0.0,0.765625,0.734375,0.734375,0.2685309946537018,91200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-13,0.0,0.765625,0.734375,0.734375,0.2685309946537018,59200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-14,0.0,0.75,0.734375,0.734375,0.2685309946537018,219200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-17,0.0,0.75,0.75,0.75,0.2742444276809692,577600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-18,0.0,0.75,0.71875,0.75,0.2742444276809692,316800.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-19,0.0,0.796875,0.734375,0.78125,0.2856712937355041,3595200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-20,0.0,0.828125,0.78125,0.8125,0.297098159790039,1297600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-21,0.0,0.8125,0.78125,0.796875,0.2913846969604492,337600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-24,0.0,0.796875,0.765625,0.78125,0.2856712937355041,233600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-25,0.0,0.796875,0.78125,0.78125,0.2856712937355041,446400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-26,0.0,0.796875,0.78125,0.796875,0.2913846969604492,587200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-27,0.0,0.796875,0.78125,0.796875,0.2913846969604492,683200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-28,0.0,0.8125,0.78125,0.78125,0.2856712937355041,75200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-07-31,0.0,0.8125,0.78125,0.796875,0.2913846969604492,1432000.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-08-01,0.0,0.796875,0.78125,0.78125,0.2856712937355041,576000.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1989-08-02,0.0,0.796875,0.78125,0.78125,0.2856712937355041,48000.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
