,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1990-03-09,0.0036297640653358307,-0.9655072463768116,0.11137158182925808,-0.955536181342633,0.17744467609591127,-0.9664422170069967,0.2724262375311613,-0.971050689674746,0.05063291139240511,-0.05063291139240511,0.11392405063291133,1.1518987341772151,GEN,1.234375,27200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.299999237060547,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-12,0.007194244604316521,0.30979250091008365,0.1175785320990126,0.29743374000841405,0.18919806315583387,0.010198065206472637,0.2846245962750816,0.008700202786681542,0.012499999999999956,-0.050000000000000044,0.10000000000000009,1.1625,GEN,1.25,822400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06999969482422,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-13,0.010695187165775452,0.5419493038200641,0.12317998482542238,0.48246035559827005,0.20069170225153166,0.20465984033321755,0.29697988758526206,0.26545355104087154,-0.024691358024691357,-0.04938271604938271,0.08641975308641969,1.074074074074074,GEN,1.265625,987200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.049999237060547,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-14,0.008896797153024834,0.2763201594154765,0.11493457119738085,0.2709313990277028,0.19694600956390446,0.061165757484644145,0.29306899100527617,0.14371028783722792,-0.024691358024691357,-0.04938271604938271,0.19753086419753085,0.962962962962963,GEN,1.265625,878400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.649999618530273,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-15,0.008896797153024834,-0.6943450250536864,0.10731369269647018,-0.7200550711335475,0.193418952642661,-0.7637134433708493,0.28906762830216776,-0.7406309423978645,-0.024691358024691357,-0.024691358024691357,0.14814814814814814,1.0864197530864197,GEN,1.265625,195200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.809999465942383,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-16,0.017730496453900735,2.022,0.11312214120380827,2.1533913043478266,0.204406310762942,1.8629473684210525,0.30072697991402875,2.178561828742389,-0.03658536585365857,-0.012195121951219523,0.07317073170731714,1.1585365853658538,GEN,1.28125,2417600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6200008392334,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-19,0.0035398230088496334,0.41676646706586823,0.09213480150174465,0.6694106025683241,0.18623377661559878,0.5872518940579802,0.2808011080683254,0.7782610220616604,-0.04938271604938271,-0.012345679012345734,0.09876543209876543,1.1543213644145447,GEN,1.265625,1352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.290000915527344,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-20,0.021089630931458624,0.2738540232146371,0.11309786860165291,0.798444588464031,0.21236706435339456,0.7388670732726209,0.30828840151609943,0.9271056377967337,-0.05421649978821541,-0.03614457831325302,0.0843373493975903,1.0963855421686746,GEN,1.296875,1480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.059999465942383,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-21,-0.005263157894736867,-0.8588891271713489,0.08144189318826218,-0.81640625,0.18047116440351577,-0.8234189104571071,0.27275102940777934,-0.804182531507864,-0.012345679012345734,0.024691358024691468,0.1234567901234569,1.123456790123457,GEN,1.265625,150400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.100000381469727,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-22,-0.026408450704225303,-0.5681818181818182,0.05099775425817647,-0.45806451612903226,0.1490908580836799,-0.49950870737775177,0.23775944931006568,-0.4469343436676986,0.0,0.06329113924050622,0.20253164556962022,1.1139240506329116,GEN,1.234375,425600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.739999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-23,-0.022968197879858706,-0.9814471243042672,0.04728234029118818,-0.9795445247511251,0.14668166842262284,-0.9811813904861474,0.23426781292109167,-0.9790532048596565,0.0,0.06329113924050622,0.20253164556962022,1.2531645569620253,GEN,1.234375,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.459999084472656,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
1990-03-26,-0.019503546099290756,-0.9675572519083969,0.043593102731894345,-0.9652114597544338,0.14428255986374952,-0.9680143830748004,0.23074255445473882,-0.9642886318811489,0.012658227848101333,0.05063291139240511,0.240506329113924,1.240506329113924,GEN,1.234375,27200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59000015258789,43.9375,32.04999923706055,75.73999786376953,19100.0,8.79,8.77,8.79,8.72
