,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2011-08-01,-0.020879023495288408,0.1755881921602314,-0.06112028857301014,-0.020365763926195476,-0.08158926323278663,-0.06717700358056355,-0.12348815619599554,-0.3063123405152663,-0.14784466204662927,-0.21624509301093642,-0.10936942387606408,-0.2946206108897309,GM,28.06999969482422,12825600.0,0.95,0.91,0.04,4.3956,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,23.65999984741211,128.77999877929688,94.88999938964844,116.80999755859376,19100.0,2.3,1.02,2.3,0.23
2011-08-02,-0.04189649616203877,0.46999878992526356,-0.09273857884723043,0.3600165194264973,-0.11356365078757408,0.3226607290304504,-0.1592837332640564,-0.019808565680634896,-0.04584102795164857,-0.180036934167913,-0.07874303958753315,-0.2643253168278923,GM,27.049999237060547,18222000.0,0.95,0.91,0.04,4.3956,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,24.790000915527344,125.48999786376952,93.79000091552734,116.45999908447266,19100.0,2.3,1.02,2.3,0.23
2011-08-03,-0.02616486801313441,0.17749426874270272,-0.08624149030386169,0.16939044382636972,-0.10823495949193672,0.14565435876542038,-0.1594972033699791,-0.15459766075585124,-0.05226352860900085,-0.16451966510131166,-0.08759658277819338,-0.2885535565172249,GM,27.170000076293945,15790400.0,0.95,0.91,0.04,4.3956,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,23.3799991607666,126.16999816894533,91.93000030517578,113.2300033569336,19100.0,2.3,1.02,2.3,0.23
2011-08-04,-0.05343392569674273,1.2024581525133602,-0.12200890287326278,1.7197748524026972,-0.14544997195262455,1.7545857555917486,-0.19957568914823143,1.055680271854807,0.0165448368204153,-0.1300499880928313,-0.04116966926691834,-0.24509422808704817,GM,25.989999771118164,38839500.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,31.65999984741211,120.26000213623048,86.62999725341797,107.25,19100.0,2.3,1.02,2.3,0.23
2011-08-05,-0.03256817095695035,0.6999746202599858,-0.10734886726017691,1.3306959280003918,-0.13341191516982998,1.4288641271331721,-0.1886266046691564,1.1105112335485015,-0.018243996654491612,-0.12390727081168595,-0.060433302351302065,-0.2633979644943166,GM,26.309999465942383,34926100.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,32.0,120.08000183105467,86.87999725341797,109.37000274658205,19100.0,2.3,1.02,2.3,0.23
2011-08-08,-0.07947977157427587,0.3800938600394692,-0.16130941807031218,1.263945935287861,-0.1886507352568416,1.2248105719899212,-0.24102639168412884,1.0215326713305877,0.015059049402891933,-0.08709806333856973,-0.00813996166361175,-0.2022791768451444,GM,24.56999969482422,32608700.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,48.0,112.26000213623048,81.30999755859375,103.73999786376952,19100.0,2.3,1.02,2.3,0.23
2011-08-09,-0.03205193548229529,0.038991890144839024,-0.12349135983506054,0.806557961128487,-0.15491712168506908,0.7978269564606607,-0.20990486384511228,0.6612063540600115,-0.07595929774920918,-0.1667971838752722,-0.05129214276944627,-0.21417388506738755,GM,25.540000915527344,26704600.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,7.500000000000001e-05,0.0,0.0,0.0,35.060001373291016,117.4800033569336,79.30000305175781,102.56999969482422,19100.0,2.3,1.02,2.3,0.23
2011-08-10,-0.07261145809139342,-0.23030974193764892,-0.17286212923309838,0.37187639218077073,-0.2060424560857964,0.3993759581176063,-0.2588320953964231,0.28878563246013617,-0.07357860465168198,-0.15384616611363922,0.004180617941085707,-0.1580267840547248,GM,23.920000076293945,20642400.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,1.4285714285714284e-05,0.0,0.0,0.0,42.9900016784668,112.29000091552734,82.88999938964844,106.68000030517578,19100.0,2.3,1.02,2.3,0.23
2011-08-11,0.007584612122608465,-0.09468373779413876,-0.10286417939621176,0.6284525402236755,-0.14122520399627372,0.6905976598629388,-0.1992126413943847,0.5725835118640445,-0.1588531757577092,-0.18636185840644526,-0.05579227650156038,-0.24990309914968922,GM,25.809999465942383,25179600.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,39.0,117.33000183105467,85.72000122070312,108.0199966430664,19100.0,2.3,1.02,2.3,0.23
2011-08-12,0.013266628919269606,-0.33237814670533933,-0.10014327743790394,0.21927175315524502,-0.14096034782072975,0.25817332564486073,-0.19996409970923668,0.1753134023676382,-0.1433009916138881,-0.1813592262638425,-0.055922350837188994,-0.2504854665219205,GM,25.75,18861500.0,1.54,1.2,0.34,28.3333,0.1333401061641226,0.0622507809920503,0.0759911614558199,0.0,0.0,0.0,0.0,36.36000061035156,118.12000274658205,85.37999725341797,108.02999877929688,19100.0,2.3,1.02,2.3,0.23
