Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2001-01-16,3.75,3.75,3.75,3.75,3.4856858253479004,3200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-17,3.75,3.75,3.75,3.75,3.4856858253479004,122800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-18,3.875,4.125,3.875,4.125,3.834252834320069,167200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-19,4.1875,4.28125,4.1875,4.28125,3.979490280151367,59600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-22,4.25,4.625,4.25,4.5625,4.240917682647705,146800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-23,4.5,4.78125,4.5,4.6875,4.3571085929870605,76000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-24,4.625,4.625,4.5625,4.5625,4.240917682647705,560000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-25,4.65625,4.6875,4.625,4.6875,4.3571085929870605,143200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-26,4.625,4.640625,4.625,4.625,4.299011707305908,82000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-29,4.630000114440918,4.6875,4.599999904632568,4.675000190734863,4.345487117767334,262000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-30,4.675000190734863,4.675000190734863,4.587500095367432,4.650000095367432,4.322249412536621,339200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-31,4.675000190734863,4.762499809265137,4.675000190734863,4.6875,4.3571085929870605,326000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-01,4.75,5.300000190734863,4.690000057220459,5.224999904632568,4.856724262237549,2556800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-02,5.1875,5.25,5.150000095367432,5.207499980926514,4.840455532073975,795600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-05,5.212500095367432,5.362500190734863,4.980000019073486,4.992499828338623,4.640608310699463,644800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-06,4.974999904632568,5.005000114440918,4.9375,4.9375,4.5894856452941895,1338800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-07,4.925000190734863,5.0,4.912499904632568,5.0,4.647581100463867,1350400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-08,5.0,5.039999961853027,4.875,4.875,4.531394004821777,578800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-09,4.875,4.9375,4.875,4.9375,4.5894856452941895,441600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-12,4.9375,4.9375,4.824999809265137,4.824999809265137,4.484917163848877,327200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-13,4.824999809265137,4.885000228881836,4.8125,4.8125,4.47329568862915,648800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-14,4.8125,4.8125,4.767499923706055,4.769999980926514,4.433790683746338,135600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-15,4.775000095367432,4.787499904632568,4.574999809265137,4.574999809265137,4.252536296844482,454400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-16,4.525000095367432,4.525000095367432,4.349999904632568,4.517499923706055,4.199090480804443,427200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-20,4.517499923706055,4.537499904632568,4.452499866485596,4.522500038146973,4.203737735748291,1000400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-21,4.522500038146973,4.522500038146973,4.474999904632568,4.519999980926514,4.201413631439209,443600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-22,4.519999980926514,4.534999847412109,4.474999904632568,4.507500171661377,4.189793109893799,623600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-23,4.525000095367432,4.675000190734863,4.5,4.612500190734863,4.287392616271973,1222800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-26,4.625,4.78000020980835,4.625,4.75,4.4152021408081055,1182400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-27,4.75,4.75,4.724999904632568,4.724999904632568,4.391963005065918,690000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-02-28,4.724999904632568,4.75,4.712500095367432,4.75,4.4152021408081055,326000.0,0.0548,None,None,None,0.0,0.0,0.0,0.0,0.0,0,0
2001-03-01,4.724999904632568,4.724999904632568,4.675000190734863,4.675000190734863,4.345487117767334,155200.0,0.0548,None,None,None,0.0,0.0,0.0,0.0,0.0,0,0
2001-03-02,4.6875,4.702499866485596,4.675000190734863,4.690000057220459,4.359430313110352,836800.0,0.0548,None,None,None,0.0,0.0,0.0,0.0,0.0,0,0
2001-03-05,4.6875,4.762499809265137,4.6875,4.752500057220459,4.417527198791504,402800.0,0.0548,None,None,None,0.0,0.0,0.0,0.0,0.0,0,0
