Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2000-12-08,7.90625,11.4375,7.5625,10.0,5.333287239074707,17149800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-11,11.34375,11.375,9.9375,10.59375,5.649953842163086,2919200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-12,10.609375,10.625,9.6875,9.9375,5.299954414367676,1077400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-13,10.375,10.4375,9.875,9.9375,5.299954414367676,422400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-14,9.992188453674316,10.125,9.9375,10.0625,5.366621017456055,265400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-15,10.125,10.125,9.0,10.0625,5.366621017456055,950200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-18,10.25,10.25,9.71875,10.03125,5.349955081939697,483600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-19,10.023438453674316,10.03125,9.625,9.8125,5.233288764953613,457400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-20,9.6875,9.8125,9.0,9.125,4.866625785827637,1228800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-21,9.03125,9.25,8.875,9.09375,4.849957466125488,1017400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-22,9.3125,9.6875,9.25,9.625,5.133290767669678,416000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-26,9.65625,9.6875,9.4375,9.5,5.066623687744141,754000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-27,9.453125,9.5625,9.125,9.28125,4.949957370758057,361400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-28,9.3125,9.6875,9.15625,9.3125,4.9666242599487305,1048600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2000-12-29,9.5,10.0625,9.375,9.875,5.266622543334961,232800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-02,10.085938453674316,10.125,9.34375,9.625,5.133290767669678,330400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-03,9.390625,9.6875,8.75,8.8125,4.699961185455322,545400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2001-01-04,8.96875,9.5,8.8125,9.03125,4.816626071929932,287600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
