Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1962-01-02,0.0,11.1875,11.0,11.125,1.951760411262512,32000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-03,0.0,11.09375,10.9375,10.9375,1.9188644886016848,28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-04,0.0,11.0625,10.78125,10.875,1.9078989028930664,29200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-05,0.0,11.09375,10.875,11.0,1.9298303127288816,28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-08,0.0,11.0,10.71875,10.78125,1.8914505243301392,43200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-09,0.0,11.4375,10.5625,10.6875,1.8750054836273191,46000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-10,0.0,10.84375,10.59375,10.75,1.885969638824463,16000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-11,0.0,10.875,10.65625,10.75,1.885969638824463,24800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-12,0.0,11.0625,10.75,10.75,1.885969638824463,32000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-15,0.0,10.75,10.5625,10.71875,1.8804872035980225,20800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-16,0.0,10.75,10.5625,10.71875,1.8804872035980225,14800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-17,0.0,10.71875,10.53125,10.59375,1.8585573434829712,22000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-18,0.0,10.46875,9.9375,10.34375,1.8146979808807373,56000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-19,0.0,10.34375,10.25,10.3125,1.809215426445007,72800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-22,0.0,10.5,10.25,10.375,1.8201792240142824,27600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-23,0.0,10.6875,10.34375,10.625,1.8640400171279907,38400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-24,0.0,10.6875,10.375,10.6875,1.8750054836273191,28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-25,0.0,10.78125,10.5,10.5,1.8421096801757812,35200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-26,0.0,10.59375,10.375,10.5625,1.853074073791504,27200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-29,0.0,10.59375,10.40625,10.5,1.8421096801757812,28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-30,0.0,10.75,10.40625,10.75,1.885969638824463,35600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-01-31,0.0,10.875,10.71875,10.84375,1.902417778968811,22800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-01,0.0,10.96875,10.75,10.84375,1.902417778968811,26000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-02,0.0,10.9375,10.71875,10.9375,1.9188644886016848,19600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-05,0.0,10.9375,10.71875,10.875,1.9078989028930664,25200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-06,0.0,11.0625,10.875,11.0625,1.9407939910888672,45600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-07,0.0,11.125,11.0,11.09375,1.9462767839431765,23200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-08,0.0,11.125,10.96875,11.0,1.9298303127288816,35200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-09,0.0,11.09375,10.9375,10.96875,1.9342381954193115,26400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-12,0.0,11.03125,10.875,10.875,1.91770601272583,16400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-13,0.0,10.875,10.5625,10.5625,1.862598657608032,16800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-14,0.0,10.78125,10.59375,10.78125,1.9011726379394531,20800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-15,0.0,10.875,10.71875,10.875,1.91770601272583,23600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-16,0.0,10.96875,10.84375,10.9375,1.928727149963379,18400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-19,0.0,10.9375,10.75,10.9375,1.928727149963379,22800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-20,0.0,10.9375,10.75,10.75,1.895662784576416,28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-21,0.0,10.90625,10.625,10.625,1.8736203908920288,29200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-23,0.0,10.8125,10.6875,10.59375,1.8681100606918335,19200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-26,0.0,10.875,10.5625,10.875,1.91770601272583,26800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-27,0.0,11.0,10.78125,10.90625,1.923215627670288,34800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-02-28,0.0,11.0625,10.875,10.96875,1.9342381954193115,31600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-01,0.0,11.0625,10.9375,10.9375,1.928727149963379,17200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-02,0.0,11.0625,10.875,10.875,1.91770601272583,28400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-05,0.0,10.875,10.75,10.75,1.895662784576416,4000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-06,0.0,10.84375,10.5,10.71875,1.890153169631958,28400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-07,0.0,10.75,10.5625,10.71875,1.890153169631958,15200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-08,0.0,10.71875,10.65625,10.71875,1.890153169631958,23200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-09,0.0,10.71875,10.53125,10.6875,1.884643316268921,31200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-12,0.0,10.71875,10.59375,10.71875,1.890153169631958,22000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-13,0.0,10.6875,10.53125,10.65625,1.8791321516036987,20000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-14,0.0,10.84375,10.59375,10.84375,1.9121958017349243,36400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-15,0.0,10.9375,10.8125,10.9375,1.928727149963379,17200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-16,0.0,11.0,10.875,10.9375,1.928727149963379,15600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-19,0.0,11.03125,10.8125,10.90625,1.923215627670288,31600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-20,0.0,10.96875,10.8125,10.8125,1.9066849946975708,16400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-21,0.0,11.0625,10.8125,11.0625,1.9507702589035032,29600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-22,0.0,11.0625,10.9375,11.0,1.9397491216659544,30400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-23,0.0,10.96875,10.8125,10.9375,1.928727149963379,25200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-26,0.0,11.0,10.78125,10.96875,1.9342381954193115,17200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-27,0.0,10.96875,10.78125,10.78125,1.9011726379394531,18400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-28,0.0,11.0,10.8125,11.0,1.9397491216659544,18400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-29,0.0,11.0,10.90625,11.0,1.9397491216659544,20800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-03-30,0.0,11.0625,10.84375,10.875,1.91770601272583,31200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-02,0.0,11.0,10.8125,10.84375,1.9121958017349243,25600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-03,0.0,10.90625,10.75,10.75,1.895662784576416,18000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-04,0.0,10.9375,10.75,10.8125,1.9066849946975708,24400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-05,0.0,10.9375,10.71875,10.875,1.91770601272583,27600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-06,0.0,11.03125,10.90625,10.96875,1.9342381954193115,20800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-09,0.0,10.96875,10.65625,10.65625,1.8791321516036987,22000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-10,0.0,11.0,10.65625,11.0,1.9397491216659544,21200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-11,0.0,11.09375,10.9375,10.9375,1.928727149963379,32400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-12,0.0,10.96875,10.5625,10.5625,1.862598657608032,32400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-13,0.0,10.8125,10.59375,10.59375,1.8681100606918335,17200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-16,0.0,10.9375,10.625,10.6875,1.884643316268921,28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-17,0.0,10.875,10.65625,10.6875,1.884643316268921,21200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-18,0.0,10.90625,10.65625,10.875,1.91770601272583,31600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-19,0.0,10.84375,10.71875,10.8125,1.9066849946975708,22400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-23,0.0,10.9375,10.6875,10.75,1.895662784576416,20800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1962-04-24,0.0,10.78125,10.65625,10.6875,1.884643316268921,21600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
