Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1980-03-17,0.0,1.9038909673690796,1.8277349472045896,1.8277349472045896,0.4573803246021271,15757.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-18,0.0,1.8658130168914795,1.7896579504013062,1.7896579504013062,0.4478513300418854,14444.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-19,0.0,1.8848520517349243,1.8086960315704343,1.8086960315704343,0.452615737915039,15757.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-20,1.8086960315704343,1.8086960315704343,1.8086960315704343,1.8086960315704343,0.452615737915039,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-21,0.0,1.8848520517349243,1.8086960315704343,1.8086960315704343,0.452615737915039,5252.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-24,0.0,1.8848520517349243,1.8086960315704343,1.8086960315704343,0.452615737915039,3939.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-25,0.0,1.8658130168914795,1.7896579504013062,1.7896579504013062,0.4478513300418854,17070.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-26,0.0,1.8658130168914795,1.7896579504013062,1.7896579504013062,0.4478513300418854,5252.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-27,0.0,1.8086960315704343,1.7325409650802612,1.7325409650802612,0.4335584044456482,17070.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-28,0.0,1.8086960315704343,1.7325409650802612,1.7325409650802612,0.4335584044456482,1313.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-31,0.0,1.9990860223770144,1.9229300022125244,1.9229300022125244,0.4812021255493164,61716.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-01,0.0,2.2085139751434326,2.1323580741882324,2.1323580741882324,0.5336102843284607,126058.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-02,0.0,2.170435905456543,2.0942800045013428,2.0942800045013428,0.524081289768219,32828.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-03,0.0,2.113318920135498,2.037163019180298,2.037163019180298,0.5097880363464355,40706.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-07,0.0,1.9610079526901243,1.8848520517349243,1.8848520517349243,0.4716733396053314,68281.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
