Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2006-09-06,4.949999809265137,5.335000038146973,4.887499809265137,5.277500152587891,3.933954954147339,30584000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-07,5.28000020980835,5.710000038146973,5.137499809265137,5.525000095367432,4.118444919586182,21539200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-08,5.477499961853027,5.679999828338623,5.402500152587891,5.514999866485596,4.110992431640625,15618000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-11,5.377500057220459,5.492499828338623,5.375,5.434999942779541,4.051357269287109,20751600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-12,5.422500133514404,5.512499809265137,5.362500190734863,5.482500076293945,4.086765766143799,9154000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-13,5.502500057220459,5.800000190734863,5.502500057220459,5.637499809265137,4.202304363250732,12278800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-14,5.5625,5.625,5.417500019073486,5.452499866485596,4.064401149749756,5515200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-15,5.427499771118164,5.460000038146973,5.300000190734863,5.317500114440918,3.96377158164978,8064000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-18,5.375,5.4375,5.317500114440918,5.414999961853027,4.036450386047363,3601600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-19,5.387499809265137,5.625,5.307499885559082,5.349999904632568,3.987996816635132,3788800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-20,5.34499979019165,5.565000057220459,5.340000152587891,5.550000190734863,4.137080669403076,2536800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-21,5.425000190734863,5.5,5.417500019073486,5.4375,4.053221225738525,2767600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-22,5.442500114440918,5.554999828338623,5.414999961853027,5.534999847412109,4.1259002685546875,1448800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-25,5.480000019073486,5.627500057220459,5.462500095367432,5.567500114440918,4.150125980377197,3204000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-26,5.599999904632568,5.625,5.574999809265137,5.59250020980835,4.16876220703125,1690000,0,0,0,0,0.0,0.0,0.0,0.015330769230769231,0.0,0,0
2006-09-27,5.465000152587891,5.672500133514404,5.449999809265137,5.650000095367432,4.211623668670654,4552400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-28,5.587500095367432,5.732500076293945,5.572500228881836,5.612500190734863,4.1836700439453125,2999600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-09-29,5.637499809265137,5.659999847412109,5.552499771118164,5.627500057220459,4.194853782653809,3173200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-02,5.59499979019165,5.652500152587891,5.574999809265137,5.622499942779541,4.191124439239502,2194000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-03,5.644999980926514,5.682499885559082,5.579999923706055,5.627500057220459,4.194853782653809,2680400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-04,5.599999904632568,5.772500038146973,5.5625,5.675000190734863,4.230258464813232,2998800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-05,5.650000095367432,5.817500114440918,5.650000095367432,5.787499904632568,4.3141188621521,4523200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-06,5.755000114440918,5.784999847412109,5.690000057220459,5.730000019073486,4.271255970001221,1599200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-09,5.699999809265137,5.78249979019165,5.662499904632568,5.744999885559082,4.2824387550354,993600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-10,5.632500171661377,5.712500095367432,5.597499847412109,5.670000076293945,4.226531505584717,3932000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-11,5.675000190734863,5.690000057220459,5.587500095367432,5.662499904632568,4.220941543579102,3731200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-12,5.835000038146973,5.872499942779541,5.71999979019165,5.75,4.2861647605896,6095200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-13,5.769999980926514,5.857500076293945,5.769999980926514,5.837500095367432,4.3513898849487305,4036400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-16,5.835000038146973,5.835000038146973,5.75,5.75,4.2861647605896,1898400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-17,5.75,5.762499809265137,5.697500228881836,5.699999809265137,4.248894214630127,2042800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-18,5.722499847412109,5.762499809265137,5.682499885559082,5.747499942779541,4.284303188323975,2838800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-19,5.75,5.775000095367432,5.6875,5.75,4.2861647605896,1372800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-20,5.752500057220459,5.84499979019165,5.752500057220459,5.809999942779541,4.330891132354736,722400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2006-10-23,5.809999942779541,5.920000076293945,5.809999942779541,5.887499809265137,4.388660430908203,2190800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
