Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1962-01-02,7.374124050140381,7.374124050140381,7.2912678718566895,7.2912678718566895,1.5133196115493774,407940.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-03,7.2912678718566895,7.3550028800964355,7.2912678718566895,7.3550028800964355,1.5265485048294067,305955.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-04,7.3550028800964355,7.3550028800964355,7.2785210609436035,7.281707763671875,1.511336088180542,274575.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-05,7.272148132324219,7.272148132324219,7.125557899475098,7.138305187225342,1.4815720319747925,384405.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-08,7.131930828094482,7.131930828094482,6.9471001625061035,7.00446081161499,1.4537917375564575,572685.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-09,7.0363287925720215,7.176546096801758,7.0363287925720215,7.087316989898682,1.470991134643555,517770.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-10,7.100063800811768,7.131930828094482,7.100063800811768,7.100063800811768,1.473635196685791,313800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-11,7.1191840171813965,7.176546096801758,7.1191840171813965,7.176546096801758,1.4895089864730835,337335.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-12,7.189292907714844,7.2402801513671875,7.189292907714844,7.189292907714844,1.4921554327011108,462855.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-15,7.214786052703857,7.237093925476074,7.214786052703857,7.221159934997559,1.4987694025039673,266730.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-16,7.214786052703857,7.214786052703857,7.144678115844727,7.144678115844727,1.4828962087631226,266730.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-17,7.112811088562012,7.112811088562012,7.01083517074585,7.02995491027832,1.45908522605896,439320.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-18,7.049076080322266,7.1191840171813965,7.049076080322266,7.049076080322266,1.463053584098816,392250.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-19,7.049076080322266,7.068195819854736,6.972593784332275,7.05544900894165,1.4643757343292236,423630.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-22,7.05544900894165,7.125557899475098,7.0363287925720215,7.0427021980285645,1.4617315530776978,290265.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
