Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1962-01-02,0.0,8.583595275878906,8.38331127166748,8.38331127166748,0.8726000189781189,51552,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-03,0.0,8.440534591674805,8.2688627243042,8.2688627243042,0.8606871366500854,53736,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-04,0.0,8.38331127166748,8.240250587463379,8.240250587463379,0.8577094674110413,48494,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-05,0.0,8.4119234085083,8.211639404296875,8.32608699798584,0.8666435480117798,76891,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-08,0.0,8.29747486114502,7.954132080078125,8.15441608428955,0.8487746715545654,93929,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-09,0.0,8.240250587463379,8.011356353759766,8.03996753692627,0.8368618488311768,90871,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-10,0.0,8.09719181060791,7.896907806396484,7.982744216918945,0.8309062123298645,56794,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-11,0.0,8.011356353759766,7.868296146392822,7.982744216918945,0.8309062123298645,51552,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-12,0.0,8.09719181060791,7.896907806396484,7.954132080078125,0.827927827835083,51552,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-15,0.0,7.982744216918945,7.725235939025879,7.811071872711182,0.8130367398262024,81260,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-16,0.0,7.868296146392822,7.753848075866699,7.78246021270752,0.8100587129592896,43251,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-17,0.0,7.839684009552002,7.696623802185059,7.725235939025879,0.8041024208068848,62037,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-18,0.0,7.839684009552002,7.610787868499756,7.753848075866699,0.8070809841156006,73833,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-19,0.0,7.811071872711182,7.6680121421813965,7.725235939025879,0.8041024208068848,64221,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-22,0.0,7.811071872711182,7.696623802185059,7.753848075866699,0.8070809841156006,69901,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-23,0.0,7.811071872711182,7.696623802185059,7.725235939025879,0.8041024208068848,37572,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-24,0.0,7.725235939025879,7.610787868499756,7.6680121421813965,0.7981462478637695,49804,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-25,0.0,7.753848075866699,7.639400005340576,7.6680121421813965,0.7981462478637695,49367,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-26,0.0,7.725235939025879,7.582176208496094,7.582176208496094,0.7892119884490967,32329,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-29,0.0,7.639400005340576,7.582176208496094,7.610787868499756,0.7921898365020752,23592,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-30,0.0,7.753848075866699,7.6680121421813965,7.696623802185059,0.8011245727539062,72522,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-31,0.0,7.78246021270752,7.696623802185059,7.753848075866699,0.8070809841156006,84318,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-01,0.0,7.78246021270752,7.696623802185059,7.696623802185059,0.8011245727539062,44562,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-02,0.0,7.811071872711182,7.725235939025879,7.78246021270752,0.8100587129592896,61600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-05,0.0,7.868296146392822,7.725235939025879,7.753848075866699,0.8070809841156006,96987,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
