,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2024-07-19,-0.006440453433829782,-0.025028658769583552,0.04117505449340944,-0.2541673866188922,-0.018878425346655184,-0.02021494243146772,-0.006068410895552144,-0.003952713182609729,0.05646342905210289,0.11675640159756262,0.0,0.0,IQV,224.57000732421875,1093500.0,2.54,2.48,0.06,2.4194,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,0.0015114993823173,0.5,0.5,16.520000457763672,548.989990234375,80.12999725341797,82.62999725341797,67480.0,3.87,3.71,3.87,3.97
2024-07-22,0.06756343015702736,0.8947043133172858,0.1324108873224652,0.6577385036989157,0.07185262505438662,1.2036416923158408,0.08412294766033364,1.2670622247112777,0.0013865008465663298,0.02577175481926197,0.0,0.0,IQV,245.22999572753903,2496300.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,0.0015114993823173,0.68,0.74,14.90999984741211,554.6500244140625,79.77999877929688,82.4000015258789,68340.0,3.87,3.71,3.87,3.97
2024-07-23,0.03016162849240668,0.3730838063097613,0.09878931418694128,0.26681680987510814,0.044410667688267194,0.6803999575590206,0.05465003391735589,0.739278058904872,0.03115709473005923,0.041961575250996086,0.0,0.0,IQV,238.7899932861328,1918100.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,0.0015114993823173,0.95,1.0,14.720000267028809,553.780029296875,76.95999908447266,81.01000213623047,65565.0,3.87,3.71,3.87,3.97
2024-07-24,0.021890001601125506,-0.0682019222168109,0.0947030847223838,-0.11007798639612477,0.04500360667124139,0.166458123459514,0.05346555372183162,0.21291310661000776,0.04025131145696981,0.04226176476603416,0.0,0.0,IQV,238.75,1339300.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,0.0015114993823173,0.5,0.7,18.040000915527344,541.22998046875,77.58999633789062,81.70999908447266,65700.0,3.87,3.71,3.87,3.97
2024-07-25,-0.005346339894589979,0.28565161796137795,0.06267438059256822,0.2866175127661382,0.017810846448560798,0.6946570582961185,0.023947725736043743,0.7789300122996906,0.04085412961149104,0.06823370167302789,0.0,0.0,IQV,232.2899932861328,1967800.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,0.0015114993823173,0.75,1.0,18.459999084472656,538.4099731445312,78.27999877929688,82.37000274658203,64695.0,3.87,3.71,3.87,3.97
2024-07-26,0.020399594569012594,-0.23132614248176256,0.09215436089636994,-0.22345740775632988,0.0508149846091297,0.02976484508724978,0.055350059563178594,0.07967479674796749,-0.02511788842347029,0.014186210961944168,0.0,0.0,IQV,239.6699981689453,1195200.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,0.0015114993823173,0.75,1.0,16.389999389648438,544.4400024414062,77.16000366210938,81.12999725341797,67414.7890625,3.87,3.71,3.87,3.97
2024-07-28,0.011284110851377928,-0.25335998714905317,0.08770665656279028,-0.229302662491053,0.05157777665299199,0.029045706665340072,0.05416380937228059,0.07736122218722313,-0.010055508326121676,0.0050068717712272726,0.0,0.0,IQV,239.6699981689453,1195200.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,2.7750978615919e-06,0.75,1.0,16.389999389648438,544.4400024414062,77.16000366210938,81.12999725341797,67414.7890625,3.87,3.71,3.87,3.97
2024-07-29,-0.006520490998108489,-0.3996473938791194,0.07284007649583929,-0.3874533185531173,0.04172968489176737,-0.18562757728639817,0.04258294116980266,-0.1429866374617853,-0.032160189179399334,-0.00864068725714573,0.0,0.0,IQV,237.25,948600.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,2.7750978615919e-06,0.55,0.675,16.600000381469727,544.760009765625,75.80999755859375,79.77999877929688,67860.0,3.87,3.71,3.87,3.97
2024-07-30,0.0281102526388737,-0.0717476072314782,0.10500978246986095,-0.15833840457354437,0.07843575928918609,0.11741501114219333,0.07809881812770118,0.18273903800639554,-0.03868550603355003,-0.033676768439976024,0.0,0.0,IQV,245.57000732421875,1309300.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,2.7750978615919e-06,0.5,0.6,17.690000534057617,542.0,74.7300033569336,78.62999725341797,66385.0,3.87,3.71,3.87,3.97
2024-07-31,0.026306531150251406,-0.024992426537412904,0.10268036602698609,-0.17791599085580007,0.08141381864837792,0.0945003872966692,0.07990481163021618,0.16288009185333566,-0.035576471830544576,-0.03179954500636373,0.0,0.0,IQV,246.22999572753903,1287400.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,2.7750978615919e-06,0.5,0.6,16.360000610351562,550.8099975585938,77.91000366210938,80.72000122070312,65685.0,3.87,3.71,3.87,3.97
2024-08-01,0.029294753933008816,-0.2312890690995101,0.10691338405274137,-0.3691362018764154,0.09099269184382423,-0.17287208973513052,0.0880913800050072,-0.12054585288511073,-0.06804635953838045,-0.03889516684800154,0.0,0.0,IQV,248.36000061035156,975000.0,2.64,2.57,0.07,2.7237,0.2262716308337703,0.1363398007341374,0.0951756685894074,6.679049090611014e-06,2.7750978615919e-06,0.5,0.6,18.59000015258789,543.010009765625,76.30999755859375,79.5199966430664,63790.0,3.87,3.71,3.87,3.97
