,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2024-07-26,1.4506571903064468e-05,-0.2063323134229081,0.05565499159423176,-0.48601163638869904,0.1714661840335726,-0.27341076365348777,0.28426890677045563,-0.23058294511881444,0.08071062891616454,0.12071065370201461,0.0,0.0,IRM,98.5,1193200.0,0.43,0.42,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0007841533276957,0.5666666666666667,0.8666666666666667,16.389999389648438,544.4400024414062,77.16000366210938,81.12999725341797,67414.7890625,3.87,3.71,3.87,3.97
2024-07-29,0.007567344173704933,-0.15711856455963413,0.06181092147147896,-0.4697102293431884,0.1802283365350901,-0.249184448112754,0.2932955168642467,-0.20661557927995192,0.06111775227675853,0.1475673483092279,0.0,0.0,IRM,99.4800033569336,1232100.0,0.43,0.42,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0007841533276957,0.5,0.3,16.600000381469727,544.760009765625,75.80999755859375,79.77999877929688,67860.0,3.87,3.71,3.87,3.97
2024-07-30,0.021451003024005075,0.11388345142584061,0.07614505304708127,-0.2570922695834739,0.19825391999480155,0.05153595708429623,0.31282606865096196,0.11334531923079261,0.06002568640635353,0.1292328583233724,0.0,0.0,IRM,101.29000091552734,1731500.0,0.43,0.42,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0007841533276957,0.5,0.3,17.690000534057617,542.0,74.7300033569336,78.62999725341797,66385.0,3.87,3.71,3.87,3.97
2024-07-31,0.03065015053971494,1.5401479857495204,0.08431566789968256,1.285384753417283,0.20940066333901275,2.2803372837334526,0.32540420104653817,2.5272155823655433,0.057332342265834724,0.1345554151741637,0.0,0.0,IRM,102.55999755859376,5561400.0,0.43,0.42,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0007841533276957,0.5,0.3,16.360000610351562,550.8099975585938,77.91000366210938,80.72000122070312,65685.0,3.87,3.71,3.87,3.97
2024-08-01,0.08736900336621856,0.8185877654746778,0.14972046805040565,0.9852308830425965,0.2863853620081125,1.8836478349470969,0.410812150868331,2.145715326358624,-0.007942329188521113,0.06865068997822554,0.0,0.0,IRM,109.54000091552734,5009300.0,0.42,0.44,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0008989533748704,0.72,0.72,18.59000015258789,543.010009765625,76.30999755859375,79.5199966430664,63790.0,3.87,3.71,3.87,3.97
2024-08-02,0.0445759344252819,0.15802337126708937,0.11286505944776902,0.7126788776523806,0.2485908013629704,0.96654458147941,0.3697288037508429,1.1619823161957363,0.011247510739361255,0.1077889187069403,0.0,0.0,IRM,106.69000244140624,3465600.0,0.42,0.44,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0008989533748704,0.72,0.72,23.38999938964844,532.9000244140625,73.5199966430664,76.80999755859375,62945.0,3.87,3.71,3.87,3.97
2024-08-05,0.010963614836010709,0.14824702476680604,0.08251221572445498,0.7215233416813212,0.2171542840583848,0.9977093783051264,0.33542022953123246,1.2080110506729709,0.04179047765581245,0.11108977412517218,0.0,0.0,IRM,104.33000183105467,3569900.0,0.42,0.44,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0008989533748704,0.72,0.72,38.56999969482422,517.3800048828125,72.94000244140625,76.30000305175781,53770.0,3.87,3.71,3.87,3.97
2024-08-06,0.020278191787333182,-0.3453463775780011,0.09770933385261052,0.018100524353912507,0.23767713474455968,0.18187004738667845,0.3583802601777224,0.30994744038047856,0.02000944052490783,0.09394081997824921,0.0,0.0,IRM,106.4499969482422,2122200.0,0.42,0.44,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0008989533748704,0.72,0.72,27.709999084472656,522.1500244140625,73.19999694824219,76.4800033569336,57145.0,3.87,3.71,3.87,3.97
2024-08-07,0.003394781167576804,-0.42124723755134846,0.08216717759420043,-0.08210963242307814,0.2232174714663226,0.07057987129277937,0.3429759401078367,0.19009708618389978,0.025956854457514833,0.08118605431065107,0.0,0.0,IRM,105.55999755859376,1934200.0,0.42,0.44,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0313661331078317,0.72,0.72,27.850000381469727,518.6599731445312,75.2300033569336,78.33000183105469,55000.0,3.87,3.71,3.87,3.97
2024-08-08,0.012242450136127047,-0.5849201627576743,0.0939341594066621,-0.35301429164817494,0.23962365979356792,-0.24423931960322492,0.3617608746029196,-0.1616467455869547,0.02114181414732852,0.07441555052045357,0.0,0.0,IRM,107.37000274658205,1365500.0,0.42,0.44,0.01,2.381,0.2387751266697374,0.1697238139106402,0.0263716259788116,0.0005103269856644,0.0313661331078317,0.72,0.72,23.790000915527344,530.6500244140625,76.19000244140625,79.16000366210938,59695.0,3.87,3.71,3.87,3.97
