,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1996-05-10,0.009192036233533644,-0.8708487084870848,-0.01596039530475549,-0.9345835150457915,-0.04361161549818338,-0.9288650015807778,-0.019736864468470974,-0.9801547926175829,0.036912765423890326,-0.010067088749702191,0.006711435169794333,0.469798669745904,IVZ,7.449999809265137,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.609999656677246,65.375,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-13,-0.009209868120664844,0.4466666666666667,-0.032685485463572854,-0.5968790637191157,-0.06219887817516118,-0.5584045584045584,-0.039824597738360286,-0.854308093994778,0.0684931488953382,0.013698616715036138,0.023972562921274143,0.5136986167150361,IVZ,7.300000190734863,15500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15999984741211,66.359375,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-14,-0.008248408196812562,0.1446540880503145,-0.030115119576916784,-0.6602787456445993,-0.0615290919899736,-0.6293362901948361,-0.04024538921384024,-0.8681281523852461,0.061643807877741486,0.00684927569743965,0.04794519116270535,0.49315059366224623,IVZ,7.300000190734863,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.899999618530272,66.765625,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-15,0.0043625768551466436,-0.41258741258741255,-0.014647123200467516,-0.8427260812581914,-0.048265496591213757,-0.8287888395688016,-0.0275952546164278,-0.9359867231722135,0.03716217457072579,-0.02702706534118826,0.0337837833483956,0.469594575655208,IVZ,7.400000095367432,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.59000015258789,66.6875,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-16,0.004849660460960262,-0.7543859649122807,-0.012016007790538767,-0.9474605954465849,-0.04799340750839512,-0.9426477616695874,-0.028074193225319812,-0.9780981931009308,0.03040539212606541,-0.05405406624492348,0.06418917547446101,0.483108140544529,IVZ,7.400000095367432,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.710000038146973,66.828125,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-17,0.023154816635388615,2.873786407766991,0.013039092705565488,0.45966709346991036,-0.025653871270637167,0.6127004086765168,-0.005724309179136129,-0.3542092840283242,0.009901028117592858,-0.06930688207914348,0.07590756749087202,0.4488449713287097,IVZ,7.574999809265137,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.130000114440918,67.1875,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-20,0.03405273217949082,1.2,0.030789803069061813,0.09316770186335403,-0.009929300196555784,0.31082423038728907,0.009964817918417761,-0.49600687263355503,-0.006493469498212501,-0.051948003693320643,0.05844153511843819,0.41883122874746026,IVZ,7.699999809265137,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.800000190734863,67.640625,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-21,0.03196563423687148,-0.5476190476190477,0.0347136855945751,-0.763681592039801,-0.0072112023207762405,-0.7160883280757098,0.012487702207864847,-0.8885158261890015,-0.009708713293337445,-0.025889943266562354,0.08090621159261824,0.43042075432367866,IVZ,7.724999904632568,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,67.546875,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-22,0.03213612923840968,-0.7189781021897811,0.044759487977953163,-0.8631840796019901,0.001819573449801595,-0.8354935194416749,0.0214809562576052,-0.9344240577598198,-0.019230780987109175,-0.03846156197421824,0.08012820316881508,0.413461454991525,IVZ,7.800000190734863,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,68.1875,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
1996-05-23,0.016869730027671073,-0.807843137254902,0.037367542642076486,-0.910941475826972,-0.00520572883746256,-0.8951921477291632,0.014102939079735475,-0.956135770234987,-0.012903213500976562,-0.032258064516129004,0.12258062055034014,0.4193548387096775,IVZ,7.75,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.170000076293945,67.90625,32.04999923706055,75.73999786376953,19100.0,6.91,6.69,6.91,6.3
