Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1983-11-22,0.0,1.5833330154418943,1.5416669845581057,1.5416669845581057,1.079050064086914,5736000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-11-23,0.0,1.6041669845581057,1.5625,1.5625,1.093631148338318,2424000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-11-25,0.0,1.6458330154418943,1.625,1.625,1.1373772621154783,741600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-11-28,0.0,1.5625,1.5208330154418943,1.5208330154418943,1.0644679069519043,1251600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-11-29,0.0,1.5833330154418943,1.5625,1.5625,1.093631148338318,1209600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-11-30,0.0,1.6041669845581057,1.5625,1.5625,1.093631148338318,632400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-01,0.0,1.6041669845581057,1.5625,1.5625,1.093631148338318,422400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-02,0.0,1.6041669845581057,1.5416669845581057,1.5416669845581057,1.079050064086914,985200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-05,0.0,1.5833330154418943,1.5208330154418943,1.5208330154418943,1.0644679069519043,229200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-06,0.0,1.5416669845581057,1.5,1.5,1.0498864650726318,220800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-07,0.0,1.5625,1.5,1.5,1.0498864650726318,85200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-08,0.0,1.5625,1.5208330154418943,1.5208330154418943,1.0644679069519043,264000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-09,0.0,1.5625,1.5208330154418943,1.5208330154418943,1.0644679069519043,246000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-12,0.0,1.5625,1.5208330154418943,1.5208330154418943,1.0644679069519043,164400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1983-12-13,0.0,1.5833330154418943,1.5416669845581057,1.5416669845581057,1.079050064086914,687600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
