Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1980-03-17,0.0,1.9375,1.84375,1.84375,0.8894858360290527,37600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-18,0.0,2.0,1.90625,1.90625,0.9196381568908693,100800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-19,0.0,2.0625,1.96875,1.96875,0.949790358543396,30400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-20,0.0,2.0625,1.96875,1.96875,0.949790358543396,27200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-21,0.0,2.0625,1.96875,1.96875,0.949790358543396,7200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-24,0.0,2.03125,1.9375,1.9375,0.934714376926422,50400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-25,0.0,2.03125,1.9375,1.9375,0.934714376926422,26400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-26,0.0,2.03125,1.9375,1.9375,0.934714376926422,80800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-27,0.0,2.0,1.90625,1.90625,0.9196381568908693,70400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-28,0.0,2.0625,1.96875,1.96875,0.949790358543396,63200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-03-31,0.0,2.0625,1.96875,1.96875,0.949790358543396,4800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-01,0.0,2.125,2.03125,2.03125,0.9799424409866332,27200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-02,0.0,2.21875,2.125,2.125,1.0251702070236206,38400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-03,0.0,2.21875,2.125,2.125,1.0251702070236206,7200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-07,0.0,2.21875,2.125,2.125,1.0251702070236206,9600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-08,0.0,2.21875,2.125,2.125,1.0251702070236206,27200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-09,0.0,2.375,2.28125,2.28125,1.100550651550293,48000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-10,0.0,2.375,2.28125,2.28125,1.100550651550293,23200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-11,0.0,2.40625,2.3125,2.3125,1.115626573562622,54400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-14,0.0,2.40625,2.3125,2.3125,1.115626573562622,32800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-15,0.0,2.4375,2.34375,2.34375,1.1307028532028198,44000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-16,0.0,2.40625,2.3125,2.3125,1.115626573562622,76000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-17,0.0,2.28125,2.1875,2.1875,1.0553221702575684,247200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-18,0.0,2.28125,2.1875,2.1875,1.0553221702575684,8000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-21,0.0,2.3125,2.21875,2.21875,1.0703986883163452,38400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-22,0.0,2.34375,2.25,2.25,1.0854743719100952,188800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-23,0.0,2.3125,2.21875,2.21875,1.0703986883163452,68800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-24,0.0,2.3125,2.21875,2.21875,1.0703986883163452,71200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-25,0.0,2.3125,2.21875,2.21875,1.0703986883163452,18400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-28,0.0,2.3125,2.21875,2.21875,1.0703986883163452,39200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-29,0.0,2.3125,2.21875,2.21875,1.0703986883163452,4000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-04-30,0.0,2.3125,2.21875,2.21875,1.0703986883163452,23200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-01,0.0,2.34375,2.25,2.25,1.0854743719100952,21600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-02,0.0,2.3125,2.21875,2.21875,1.0703986883163452,30400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-05,0.0,2.3125,2.21875,2.21875,1.0703986883163452,8800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-06,0.0,2.3125,2.21875,2.21875,1.0703986883163452,3200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-07,0.0,2.3125,2.21875,2.21875,1.0703986883163452,8800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-08,0.0,2.28125,2.1875,2.1875,1.0553221702575684,25600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-09,0.0,2.28125,2.1875,2.1875,1.0553221702575684,24800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-12,0.0,2.28125,2.1875,2.1875,1.0553221702575684,47200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-13,0.0,2.34375,2.25,2.25,1.0854743719100952,236800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-14,0.0,2.34375,2.25,2.25,1.0854743719100952,48800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-15,0.0,2.375,2.28125,2.28125,1.100550651550293,61600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-16,0.0,2.40625,2.3125,2.3125,1.115626573562622,16000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-19,0.0,2.4375,2.34375,2.34375,1.1307028532028198,35200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-20,0.0,2.375,2.28125,2.28125,1.100550651550293,120800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-21,0.0,2.34375,2.25,2.25,1.0854743719100952,22400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-22,0.0,2.34375,2.25,2.25,1.0854743719100952,18400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-23,0.0,2.34375,2.25,2.25,1.0854743719100952,28800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-27,0.0,2.375,2.28125,2.28125,1.100550651550293,12800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-28,0.0,2.34375,2.25,2.25,1.0854743719100952,64800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-29,0.0,2.34375,2.25,2.25,1.0854743719100952,64000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-05-30,0.0,2.3125,2.21875,2.21875,1.0703986883163452,75200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-06-02,0.0,2.3125,2.21875,2.21875,1.0703986883163452,4000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-06-03,0.0,2.28125,2.1875,2.1875,1.0553221702575684,20800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-06-04,0.0,2.28125,2.1875,2.1875,1.0553221702575684,46400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1980-06-05,0.0,2.3125,2.21875,2.21875,1.0703986883163452,42400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
