Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1994-03-10,17.938934326171875,18.1704044342041,17.938934326171875,18.054668426513672,2.8425090312957764,3188749,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-11,18.054668426513672,18.2861385345459,18.054668426513672,18.2861385345459,2.878950595855713,318184,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-14,18.2861385345459,18.2861385345459,18.054668426513672,18.2861385345459,2.878950595855713,374130,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-15,18.2861385345459,18.2861385345459,18.054668426513672,18.1704044342041,2.860731840133667,296043,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-16,18.1704044342041,18.2861385345459,18.054668426513672,18.1704044342041,2.860731840133667,235992,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-17,18.1704044342041,18.2861385345459,18.054668426513672,18.1704044342041,2.860731840133667,185229,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-18,18.1704044342041,18.517608642578125,18.1704044342041,18.401874542236328,2.8971750736236572,202510,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-21,18.401874542236328,18.517608642578125,18.2861385345459,18.517608642578125,2.9153945446014404,146455,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-22,18.401874542236328,18.517608642578125,18.401874542236328,18.517608642578125,2.9153945446014404,105413,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-23,18.517608642578125,18.749080657958984,18.401874542236328,18.749080657958984,2.951838493347168,230051,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-24,18.749080657958984,18.98055076599121,18.749080657958984,18.86481475830078,2.97005844116211,273253,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-25,18.749080657958984,18.98055076599121,18.749080657958984,18.86481475830078,2.97005844116211,137167,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-28,18.749080657958984,18.98055076599121,18.749080657958984,18.98055076599121,2.9882800579071045,175509,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-29,18.86481475830078,18.98055076599121,18.1704044342041,18.1704044342041,2.860731840133667,122154,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-30,18.054668426513672,18.1704044342041,17.823198318481445,18.054668426513672,2.8425090312957764,241068,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-03-31,17.938934326171875,18.054668426513672,17.59172821044922,18.054668426513672,2.8425090312957764,249924,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-04-04,17.1287899017334,17.59172821044922,16.781583786010742,17.59172821044922,2.7696263790130615,93749,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-04-05,17.70746421813965,18.054668426513672,17.70746421813965,18.054668426513672,2.8425090312957764,106817,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-04-06,18.054668426513672,18.1704044342041,17.938934326171875,18.1704044342041,2.860731840133667,131442,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-04-07,18.2861385345459,18.2861385345459,17.938934326171875,17.938934326171875,2.8242886066436768,44930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-04-08,18.054668426513672,18.054668426513672,17.938934326171875,17.938934326171875,2.8242886066436768,10585,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
