Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1994-10-31,8.1875,8.3125,8.1875,8.3125,6.529138565063477,1984200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-01,8.3125,8.3125,8.1875,8.25,6.480050086975098,2176400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-02,8.25,8.25,8.1875,8.1875,6.4309563636779785,2348200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-03,8.1875,8.25,8.125,8.1875,6.4309563636779785,2060800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-04,8.1875,8.25,8.125,8.125,6.381864070892334,2663800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-07,8.0625,8.0625,8.0,8.0625,6.332773208618164,1049400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-08,8.0625,8.0625,7.875,7.875,6.185500621795654,5761000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-09,7.9375,8.0625,7.9375,8.0,6.283680438995361,2480000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-10,8.0,8.0625,8.0,8.0625,6.332773208618164,1956000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-11,8.0625,8.0625,8.0,8.0,6.283680438995361,1300200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-14,7.9375,7.9375,7.875,7.9375,6.234591484069824,1419200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-15,7.9375,7.9375,7.875,7.875,6.185500621795654,3118800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-16,7.875,7.9375,7.875,7.875,6.185500621795654,813400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-17,7.875,7.875,7.75,7.8125,6.136409759521484,1477600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-18,7.8125,7.8125,7.6875,7.75,6.087316036224365,2452600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-21,7.75,7.75,7.5625,7.5625,5.940043926239014,3276000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-22,7.5625,7.625,7.4375,7.4375,5.841864109039307,2725000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-23,7.4375,7.5,7.3125,7.5,5.890951156616211,2634200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-25,7.5,7.5,7.5,7.5,5.890951156616211,640800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-28,7.5,7.5625,7.4375,7.5625,5.940043926239014,1583400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-29,7.5625,7.5625,7.4375,7.5,5.890951156616211,1056400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-30,7.5,7.5,7.4375,7.5,5.890951156616211,1086800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-01,7.5,7.5,7.4375,7.4375,5.841864109039307,979000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-02,7.4375,7.5,7.375,7.5,5.890951156616211,1257200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-05,7.5,7.5625,7.4375,7.4375,5.841864109039307,1071200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-06,7.4375,7.4375,7.375,7.4375,5.841864109039307,1819200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
