,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2005-07-25,-0.007079395969287961,-0.5044404973357016,-0.012869098808847644,-0.8046264092808292,-0.02172944884566139,-0.759113584036838,-0.18740549262373074,-0.7890124294449918,-0.01633396530841069,0.02450086142230057,0.06624314990132674,-0.07622505605216245,MKTX,11.020000457763672,55800.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469728,123.19000244140624,59.0,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-07-26,-0.016722422386688487,0.12408759124087584,-0.02276049575428759,-0.5855744852261687,-0.030578024895505172,-0.4983915452159822,-0.19260628249619527,-0.46961158424098454,-0.03296700129689212,0.027472544747149774,0.026556772877921908,-0.06776554633224019,MKTX,10.920000076293944,116600.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.989999771118164,123.33999633789062,59.20000076293945,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-07-27,-0.010928300650125535,0.004832291074474175,-0.015203589254198702,-0.6272191533076611,-0.024411924194961975,-0.5665711438421156,-0.1848491418464388,-0.5285098525361398,-0.038216568247590676,0.028207500097623628,0.010009154926522212,-0.07188352850826762,MKTX,10.989999771118164,101000.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.359999656677246,123.79000091552734,59.11000061035156,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-07-28,-0.02124376736638506,-0.14790018259281806,-0.02595076728227541,-0.7037037037037037,-0.036104219280726935,-0.6570759052957958,-0.19192423129572211,-0.6222158092189837,-0.05893180569807255,0.04419894208887176,0.03499080354088924,-0.04419885427355441,MKTX,10.859999656677246,80000.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.520000457763672,124.56999969482422,59.939998626708984,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-07-29,-0.006995749002014906,-0.2573913043478261,-0.016113596834962135,-0.7717720713867029,-0.028144871475054112,-0.7389133277850434,-0.18211696940337904,-0.7069538412266304,-0.01004563092176236,0.11415525312998964,0.013698682631726689,-0.08219174741617397,MKTX,10.949999809265137,61000.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56999969482422,123.73999786376952,60.56999969482422,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-01,-0.02041876361216907,0.4691499835904168,-0.03144501814081517,-0.5172370407649722,-0.04525287171191825,-0.4548915797299793,-0.1928789179942321,-0.35763254304632064,-0.04460971056694163,0.09293680099706836,0.04089215344087638,-0.07899631630008408,MKTX,10.760000228881836,127900.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.079999923706056,123.6500015258789,61.56999969482422,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-02,-0.012326234249773535,0.2812594154865923,-0.02978568707391145,-0.5453638336617856,-0.04558220877996422,-0.48341836734693877,-0.18928420565341844,-0.3818524077230292,-0.07063199002931753,0.04089215344087638,0.06226766375855086,-0.07063199002931753,MKTX,10.760000228881836,121500.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,124.38999938964844,61.88999938964844,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-03,-0.0026287967375313737,-0.030891313589343872,-0.020776870212246657,-0.6305632932931672,-0.03903548456179087,-0.5849323798059902,-0.1795578984225206,-0.49521652644903513,-0.07380075456400015,0.036900333293332865,0.0562730302666663,-0.07656825756666663,MKTX,10.84000015258789,97700.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.829999923706056,124.72000122070312,60.86000061035156,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-04,-0.023771755459114818,-0.3053516819571866,-0.042929190300868635,-0.7442566103164283,-0.06448403009471729,-0.7245123193600724,-0.1968190232576325,-0.6608614618200609,-0.01893946543486147,0.11174235839133573,0.13541659987484822,-0.05208334932574055,MKTX,10.5600004196167,64900.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.520000457763672,123.72000122070312,61.380001068115234,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-05,-0.017397109211780597,-0.13470681458003173,-0.03932383890774464,-0.6376867693736936,-0.06445461984031266,-0.6673616376042456,-0.1921568226840496,-0.5880475095065959,-0.05392617892915652,0.1400189724352925,0.18543047253887046,-0.0690633456303491,MKTX,10.56999969482422,78000.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479999542236328,122.87999725341795,62.310001373291016,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-08,-0.04178943073142011,0.486061472480343,-0.06729129896628491,-0.15405502914759894,-0.09458699667235455,-0.3578902864390656,-0.21536845581125194,-0.21280944275272265,-0.022504940303441967,0.1898238287372671,0.2641878413619736,-0.08512718814360754,MKTX,10.220000267028809,148500.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.210000038146973,122.6500015258789,63.939998626708984,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-09,0.017840374289595843,0.4581525108493491,-0.008687698195389129,-0.022004889975550123,-0.03768001056450629,-0.26737796900892524,-0.1639672907788255,-0.09803769510452803,-0.0784133182200003,0.1263837515013333,0.1900368484266659,-0.0802582908959999,MKTX,10.84000015258789,168000.0,0.09,0.1,-0.01,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.399999618530272,123.38999938964844,63.06999969482422,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-10,-0.028486600502587847,0.3890857547838412,-0.056390207564967196,-0.007189993105486007,-0.08515606495033522,-0.2699989861097029,-0.20308020710733526,-0.09473274558816928,-0.021400711971702235,0.24124519069358574,0.22665369496392218,-0.018482449933720613,MKTX,10.279999732971191,168000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.380000114440918,123.33000183105467,64.9000015258789,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-11,-0.04515073524308687,0.058644504272503784,-0.07822775011197962,-0.17701764443595133,-0.10818685177684267,-0.43910898014113925,-0.2210321356394316,-0.2973360042783463,0.006000041961669922,0.31300001144409184,0.23999996185302708,-0.03299999237060569,MKTX,10.0,129200.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420000076293944,123.81999969482422,65.80000305175781,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
2005-08-12,-0.030754385448510932,-0.4235294117647059,-0.0709438757287898,-0.5477855477855478,-0.1028772368671081,-0.7049123332254903,-0.21417204333109685,-0.6294364839216304,0.007968119921316186,0.3276892404734444,0.24800794627280043,-0.04581673704130884,MKTX,10.039999961853027,67900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.739999771118164,123.05999755859376,66.86000061035156,75.73999786376953,19100.0,4.26,4.12,4.26,4.04
