Date,Open,High,Low,Close,Adj Close,Volume
1988-01-26,11.5,11.75,11.25,11.5,7.15351676940918,7244600
1988-01-27,11.5625,12.375,11.4375,12.375,7.697813987731934,3652400
1988-01-28,12.25,12.5625,12.125,12.5625,7.8144426345825195,2180000
1988-01-29,12.4375,12.5625,11.875,12.25,7.62005615234375,1335400
1988-02-01,12.125,12.25,11.9375,12.0,7.464544296264648,488800
1988-02-02,12.0,12.0,11.8125,12.0,7.464544296264648,476800
1988-02-03,12.0,12.625,12.0,12.125,7.542302131652832,1284600
1988-02-04,12.125,12.3125,12.0625,12.3125,7.658932209014893,328000
1988-02-05,12.25,12.4375,12.25,12.375,7.697813987731934,403600
1988-02-08,12.125,12.125,11.875,12.0,7.464544296264648,143400
1988-02-09,12.125,12.125,11.875,11.875,7.386786460876465,157000
1988-02-10,12.0,12.3125,12.0,12.25,7.62005615234375,456400
1988-02-11,12.375,12.5625,12.375,12.375,7.697813987731934,484000
1988-02-12,12.5,12.8125,12.5,12.75,7.931074142456055,222600
1988-02-16,12.8125,13.25,12.8125,13.25,8.24209976196289,838000
1988-02-17,13.25,13.4375,12.875,13.0625,8.125465393066406,642400
1988-02-18,13.0,13.3125,12.9375,13.25,8.24209976196289,516000
1988-02-19,13.25,14.625,13.25,14.25,8.864141464233398,1103400
1988-02-22,14.125,14.25,14.0,14.1875,8.825268745422363,326600
1988-02-23,14.125,14.125,13.8125,14.0,8.70863151550293,245000
1988-02-24,13.9375,13.9375,13.75,13.875,8.630878448486328,271600
1988-02-25,13.875,14.25,13.875,14.0625,8.74751091003418,948000
1988-02-26,14.0625,14.125,14.0,14.125,8.78638744354248,256000
1988-02-29,14.25,15.1875,14.1875,15.125,9.408432006835938,647800
1988-03-01,15.1875,15.375,14.875,14.875,9.252921104431152,587200
1988-03-02,14.8125,15.1875,14.8125,15.1875,9.447315216064453,192000
1988-03-03,15.3125,15.3125,15.0,15.0,9.330679893493652,232800
1988-03-04,14.875,15.5,14.875,15.5,9.641704559326172,426000
1988-03-07,15.25,16.0625,15.25,15.9375,9.913844108581543,463400
1988-03-08,15.875,16.0625,15.8125,15.9375,9.913844108581543,494800
1988-03-09,16.0,16.0,15.8125,15.875,9.87496566772461,205400
1988-03-10,15.9375,15.9375,14.5625,14.5625,9.05853271484375,414200
1988-03-11,14.5,14.6875,14.0,14.5,9.063220024108887,223400
1988-03-14,14.625,15.125,14.5625,15.0625,9.41480827331543,144800
1988-03-15,15.25,15.9375,15.25,15.9375,9.961732864379883,673200
1988-03-16,16.0,16.125,15.5625,15.6875,9.805465698242188,202800
1988-03-17,15.875,15.875,15.5,15.75,9.844531059265137,146600
1988-03-18,15.8125,15.8125,15.4375,15.4375,9.64920425415039,166800
1988-03-21,15.375,15.375,14.9375,15.0,9.375744819641113,254400
1988-03-22,15.0,15.25,14.8125,14.875,9.297613143920898,515000
1988-03-23,14.9375,15.0,14.875,15.0,9.375744819641113,27600
1988-03-24,14.5,14.5,14.0,14.375,8.985088348388672,699200
1988-03-25,14.5,14.6875,14.1875,14.1875,8.867892265319824,152800
1988-03-28,13.8125,14.25,13.8125,14.25,8.90695858001709,137000
1988-03-29,14.375,15.125,14.375,15.0625,9.41480827331543,186000
1988-03-30,15.0625,15.125,14.875,14.9375,9.336682319641113,125000
1988-03-31,14.75,15.0625,14.75,15.0625,9.41480827331543,294400
1988-04-04,15.0,15.0,15.0,15.0,9.375744819641113,148200
1988-04-05,14.9375,15.25,14.9375,15.125,9.453876495361328,219600
1988-04-06,15.125,16.0,15.125,15.8125,9.883596420288086,125200
1988-04-07,15.875,16.0,15.75,16.0,10.000798225402832,165400
1988-04-08,15.9375,16.0,15.8125,16.0,10.000798225402832,182400
1988-04-11,15.9375,16.0,15.6875,15.75,9.844531059265137,85400
1988-04-12,15.6875,15.6875,15.375,15.4375,9.64920425415039,419000
1988-04-13,15.375,15.5625,15.375,15.4375,9.64920425415039,208000
1988-04-14,15.25,15.25,14.75,14.75,9.219489097595215,167000
1988-04-15,14.625,14.75,14.375,14.75,9.219489097595215,102800
1988-04-18,14.75,15.125,14.0,14.375,8.985088348388672,807000
1988-04-19,14.3125,14.75,14.3125,14.4375,9.02415657043457,442200
1988-04-20,14.4375,14.625,14.4375,14.5625,9.10228443145752,68000
1988-04-21,14.625,14.875,14.625,14.75,9.219489097595215,44800
1988-04-22,14.75,14.875,14.75,14.875,9.297613143920898,1800
1988-04-25,15.0,15.25,14.875,15.25,9.532008171081543,204000
1988-04-26,15.4375,15.625,15.4375,15.625,9.766401290893555,150000
1988-04-27,15.5625,15.5625,15.3125,15.3125,9.57107925415039,86200
1988-04-28,15.1875,15.1875,15.0625,15.125,9.453876495361328,103400
1988-04-29,15.0,15.0,14.5,14.75,9.219489097595215,89800
1988-05-02,14.6875,14.875,14.6875,14.875,9.297613143920898,142400
1988-05-03,14.875,15.0,14.875,15.0,9.375744819641113,313000
1988-05-04,15.0625,15.0625,14.75,14.75,9.219489097595215,141600
1988-05-05,14.8125,14.8125,14.5,14.625,9.141348838806152,369800
1988-05-06,14.6875,14.6875,14.5,14.5,9.063220024108887,89400
1988-05-09,14.625,14.625,14.0,14.125,8.82883071899414,169200
1988-05-10,14.0,14.125,14.0,14.0625,8.789762496948242,215000
1988-05-11,13.9375,13.9375,13.25,13.3125,8.320980072021484,93800
1988-05-12,13.375,13.8125,13.375,13.8125,8.633496284484863,226400
1988-05-13,14.0,14.5,14.0,14.5,9.063220024108887,119600
1988-05-16,14.4375,14.625,14.4375,14.5,9.063220024108887,70600
1988-05-17,14.6875,14.75,14.625,14.6875,9.180418014526367,79200
1988-05-18,14.625,14.625,14.25,14.3125,8.946024894714355,29000
1988-05-19,14.3125,14.375,14.125,14.125,8.82883071899414,138000
1988-05-20,14.25,14.625,14.1875,14.5,9.063220024108887,135400
1988-05-23,14.375,14.375,14.125,14.125,8.82883071899414,144800
1988-05-24,14.0625,14.1875,14.0625,14.1875,8.867892265319824,92600
1988-05-25,14.1875,14.4375,14.0625,14.25,8.90695858001709,219000
1988-05-26,14.25,14.375,14.25,14.3125,8.946024894714355,217400
1988-05-27,14.3125,14.375,14.25,14.25,8.90695858001709,148800
1988-05-31,14.125,14.4375,14.0,14.4375,9.02415657043457,220400
1988-06-01,14.4375,14.8125,14.4375,14.75,9.219489097595215,366400
1988-06-02,14.8125,15.0,14.6875,15.0,9.375744819641113,211600
1988-06-03,15.875,16.0,15.625,15.625,9.766401290893555,283000
1988-06-06,15.5,16.25,15.5,16.0,10.000798225402832,364400
1988-06-07,16.0,16.8125,15.75,16.0625,10.039860725402832,554200
1988-06-08,16.0625,16.75,16.0625,16.625,10.391453742980957,237600
1988-06-09,16.4375,17.3125,16.4375,17.0625,10.664908409118652,268200
1988-06-10,17.0625,17.25,17.0,17.0625,10.664908409118652,188200
1988-06-13,17.0,17.5,17.0,17.1875,10.81594181060791,57600
1988-06-14,17.3125,19.5,17.3125,18.5,11.641883850097656,760000
1988-06-15,18.375,19.75,18.375,19.5,12.271180152893066,621400
1988-06-16,19.375,20.0,18.875,19.125,12.03519058227539,505600
1988-06-17,19.25,19.5,18.5,18.625,11.72054386138916,139800
1988-06-20,18.625,18.9375,18.5,18.9375,11.91720199584961,285400
1988-06-21,19.0,19.75,19.0,19.625,12.349838256835938,531000
1988-06-22,20.0,21.0,20.0,20.25,12.743143081665039,772800
1988-06-23,20.75,21.625,20.625,20.8125,13.09712028503418,820800
1988-06-24,20.875,21.125,20.6875,20.6875,13.018462181091309,251400
1988-06-27,20.6875,20.6875,20.4375,20.5625,12.939805030822754,276000
1988-06-28,20.5,20.625,19.3125,20.0,12.585821151733398,510000
1988-06-29,19.875,19.875,19.5625,19.5625,12.310507774353027,208200
1988-06-30,19.625,19.75,19.5625,19.6875,12.38916301727295,299600
1988-07-01,19.8125,19.9375,19.8125,19.875,12.507161140441895,212600
1988-07-05,19.9375,20.875,19.9375,20.4375,12.861140251159668,205200
1988-07-06,20.5,21.25,20.4375,20.75,13.057793617248535,642800
1988-07-07,20.75,21.25,20.75,21.125,13.293766021728516,551200
1988-07-08,20.5,20.9375,20.5,20.625,12.979129791259766,536000
1988-07-11,20.5625,20.6875,20.25,20.25,12.743143081665039,117400
1988-07-12,20.25,20.3125,19.625,19.9375,12.546483039855957,109600
1988-07-13,20.0,20.125,19.875,19.875,12.507161140441895,45800
1988-07-14,19.75,21.0,19.75,20.8125,13.09712028503418,356800
1988-07-15,20.875,21.25,20.5625,20.8125,13.09712028503418,362400
1988-07-18,20.625,20.75,20.0,20.0,12.585821151733398,158400
1988-07-19,19.9375,19.9375,19.0,19.5,12.271180152893066,2492400
1988-07-20,19.5,19.5,18.75,19.0,11.95653247833252,528400
1988-07-21,18.9375,19.375,18.9375,19.3125,12.153185844421387,478200
1988-07-22,19.3125,19.3125,18.6875,18.75,11.799210548400879,247400
1988-07-25,18.8125,18.875,17.75,18.1875,11.445230484008789,388400
1988-07-26,18.1875,18.6875,18.1875,18.625,11.72054386138916,272400
1988-07-27,18.75,18.9375,18.1875,18.1875,11.445230484008789,286600
1988-07-28,18.25,18.6875,18.25,18.5,11.641883850097656,200200
1988-07-29,18.5,18.875,18.25,18.6875,11.75987720489502,174200
1988-08-01,18.8125,20.0,18.6875,18.875,11.877867698669434,376200
1988-08-02,18.9375,19.0,18.3125,19.0,11.95653247833252,471400
1988-08-03,19.0,19.0,18.875,18.9375,11.91720199584961,532800
1988-08-04,19.0,19.5,18.9375,19.375,12.19251537322998,397000
1988-08-05,19.375,19.625,19.3125,19.625,12.349838256835938,189400
1988-08-08,19.5,19.625,19.375,19.5625,12.310507774353027,135600
1988-08-09,19.75,20.0,19.125,19.4375,12.23183822631836,391200
1988-08-10,19.125,19.125,18.625,18.9375,11.91720199584961,269000
1988-08-11,18.9375,19.25,18.5,19.25,12.113850593566895,146800
1988-08-12,19.375,19.375,19.0,19.1875,12.074519157409668,68000
1988-08-15,19.0,19.0,18.5625,18.6875,11.75987720489502,169600
1988-08-16,18.625,19.0625,18.25,18.9375,11.91720199584961,291400
1988-08-17,18.9375,19.125,18.75,18.9375,11.91720199584961,234600
1988-08-18,19.0,19.625,19.0,19.25,12.113850593566895,324800
1988-08-19,19.3125,19.4375,19.25,19.25,12.113850593566895,137800
1988-08-22,19.1875,19.1875,18.8125,18.9375,11.91720199584961,194200
1988-08-23,18.9375,19.3125,18.9375,19.1875,12.074519157409668,219600
1988-08-24,19.25,19.5,19.25,19.5,12.271180152893066,95600
1988-08-25,19.375,19.75,19.375,19.75,12.428495407104492,120800
1988-08-26,19.6875,20.3125,19.6875,20.125,12.664481163024902,352800
1988-08-29,20.1875,20.625,20.125,20.5,12.900468826293945,187600
1988-08-30,20.375,20.625,20.25,20.5,12.900468826293945,122000
1988-08-31,20.5625,20.75,20.375,20.4375,12.861140251159668,97400
1988-09-01,20.3125,20.3125,19.875,19.9375,12.546483039855957,77400
1988-09-02,20.125,20.4375,20.125,20.375,12.821809768676758,89200
1988-09-06,20.375,20.5,20.25,20.4375,12.861140251159668,159200
1988-09-07,20.375,20.75,20.3125,20.5,12.900468826293945,289200
1988-09-08,20.5625,21.1875,20.5,20.8125,13.09712028503418,285600
