,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2012-03-02,-0.0067949295322962166,-0.3986098817476136,0.0062423074720569256,-0.3830873146095417,0.14630987807891527,-0.30674544868554054,0.18350354067930555,-0.2871698827095981,0.044096742458376026,-0.013276466790881014,0.17472733235092974,0.9177334946515556,MPC,21.09000015258789,5396600.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,17.290000915527344,137.30999755859375,106.6999969482422,123.6500015258789,19100.0,2.05,0.89,2.05,0.29
2012-03-05,0.00981980105930258,-0.4664209664209664,0.0153349241872971,-0.4533856729900492,0.15837962575199427,-0.38525206045956256,0.19155644437134575,-0.3825236157965674,0.02713449935466916,-0.06409360651384322,0.14432744254842844,0.9104093138934577,MPC,21.375,4690800.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,18.049999237060547,136.75,106.72000122070312,123.8000030517578,19100.0,2.05,0.89,2.05,0.29
2012-03-06,-0.005211999407971151,-0.36725412166003407,-0.005957742865256349,-0.3555385420532882,0.13530471456878426,-0.2727938618818271,0.1628125724350957,-0.2745692068184563,0.045487015267055675,-0.04763038628373373,0.17289826223694238,0.9804715488914895,MPC,20.9950008392334,5533200.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,20.8700008392334,134.75,104.6999969482422,121.9800033569336,19100.0,2.05,0.89,2.05,0.29
2012-03-07,0.008259689290383043,-0.277765687341313,0.0045169652789391335,-0.3003098489486376,0.14864437458146146,-0.21290174477370183,0.17065698107373548,-0.22022327944421338,0.0385428770635563,-0.06321971033940765,0.15252648166475358,0.9403055003273646,MPC,21.274999618530273,5973600.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,19.06999969482422,135.69000244140625,106.16000366210938,124.12000274658205,19100.0,2.05,0.89,2.05,0.29
2012-03-08,0.0272378594065863,0.5260464877095546,0.026308348998041756,0.3820363910712872,0.1758401179670106,0.5535650248278281,0.1926900685319135,0.5362772759040199,0.020852425759381843,-0.0893675015061236,0.11709442442301388,0.9296517017011592,MPC,21.81999969482422,11870200.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,17.950000762939453,137.0399932861328,106.58000183105467,125.44000244140624,19100.0,2.05,0.89,2.05,0.29
2012-03-09,0.02525608794393532,-0.18845896864485107,0.027277086426695542,-0.3242183279085369,0.18001945683026513,-0.24063359878870821,0.19185165306369856,-0.2530542751689588,-0.0025057085769510934,-0.09111616995370753,0.12984047266791232,0.8275626553142208,MPC,21.950000762939453,5795400.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,17.110000610351562,137.57000732421875,107.4000015258789,125.9800033569336,19100.0,2.05,0.89,2.05,0.29
2012-03-12,0.01885032920739663,-0.06875245670675417,0.019498836226854742,-0.2971542704609727,0.17406575642271255,-0.20230782200181316,0.1874241592134,-0.2259498031453909,-0.0022841132231458117,-0.0863407694082533,0.13819102833366892,0.8407948511867209,MPC,21.88999938964844,6024400.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,15.640000343322754,137.5800018310547,106.33999633789062,125.33999633789062,19100.0,2.05,0.89,2.05,0.29
2012-03-13,0.018602361983900632,0.20156500502562646,0.02035774568114224,-0.05250270912206111,0.1790323147868211,0.09591043017088983,0.1933270794549726,0.05645462041259883,-0.015213487050731445,-0.08583111978686198,0.12897366455714931,0.8512715050955311,MPC,22.020000457763672,8265600.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,14.800000190734863,140.05999755859375,106.70999908447266,126.22000122070312,19100.0,2.05,0.89,2.05,0.29
2012-03-14,0.01171784188309049,-0.22069552131383519,0.01289473737239456,-0.3638231678914218,0.17372244437423714,-0.2755744688903205,0.18887209192500584,-0.3047198352889531,0.002049650487375043,-0.08654063425792757,0.15713963903112083,0.80551125153259,MPC,21.954999923706055,5444800.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,15.3100004196167,139.91000366210938,105.43000030517578,124.97000122070312,19100.0,2.05,0.89,2.05,0.29
2012-03-15,0.005168158622728089,-0.20662163930136718,0.011093656819895024,-0.3069736783993213,0.17161788941688685,-0.262199314239076,0.18791702588698517,-0.29292887785213023,0.029840490046942447,-0.07403188808738737,0.17881544877609046,0.8348519419589051,MPC,21.950000762939453,5544400.0,-0.1,-0.03,-0.07,-233.3333,1.0,-0.0199279093717816,-0.0038619979402677,0.0,0.0,0.0,0.0,15.420000076293944,140.72000122070312,105.11000061035156,123.5500030517578,19100.0,2.05,0.89,2.05,0.29
