Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1992-02-05,9.125,9.125,8.25,8.625,4.687569618225098,11325800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-06,8.625,8.625,8.375,8.4375,4.585666656494141,5696400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-07,8.4375,8.4375,7.8125,7.8125,4.2459869384765625,1698000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-10,7.875,7.875,7.5,7.5625,4.110115051269531,1104400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-11,7.5625,7.6875,7.5625,7.6875,4.178051471710205,656200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-12,7.6875,8.0,7.625,7.9375,4.31392240524292,629600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-13,8.0,8.1875,7.9375,8.0,4.347890377044678,808200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-14,8.0,8.0,7.8125,7.8125,4.2459869384765625,418000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-18,7.875,7.875,7.75,7.8125,4.2459869384765625,687200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-19,7.8125,8.0,7.8125,8.0,4.347890377044678,638000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-20,8.0,8.0,7.8125,7.8125,4.2459869384765625,139000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-21,7.9375,7.9375,7.875,7.9375,4.31392240524292,410600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-24,7.9375,8.0,7.875,7.9375,4.31392240524292,353800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-25,7.9375,7.9375,7.625,7.6875,4.178051471710205,590400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-26,7.75,7.8125,7.5625,7.625,4.144082546234131,155200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-27,7.625,7.875,7.625,7.6875,4.178051471710205,438000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-02-28,7.875,7.875,7.75,7.75,4.2120208740234375,266600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-02,7.625,7.9375,7.625,7.8125,4.2459869384765625,83800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-03,7.75,7.875,7.75,7.875,4.2799553871154785,177400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-04,7.875,7.875,7.75,7.75,4.2120208740234375,247800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-05,7.8125,7.875,7.6875,7.6875,4.178051471710205,131200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-06,7.6875,7.8125,7.6875,7.8125,4.2459869384765625,453400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-09,7.75,7.8125,7.75,7.8125,4.2459869384765625,114000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-10,7.75,7.8125,7.75,7.75,4.2120208740234375,57800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-11,7.75,7.8125,7.6875,7.6875,4.178051471710205,104200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-12,7.75,7.75,7.6875,7.6875,4.178051471710205,70800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-13,7.6875,7.75,7.6875,7.6875,4.178051471710205,124800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-16,7.75,7.75,7.625,7.75,4.2120208740234375,34600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-17,7.6875,7.75,7.6875,7.6875,4.178051471710205,206200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-18,7.6875,7.6875,7.5625,7.6875,4.178051471710205,53000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-19,7.6875,7.6875,7.5,7.5625,4.110115051269531,155600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-20,7.5,7.5,7.125,7.25,3.940275907516479,218800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-23,7.125,7.1875,6.875,7.0,3.8044047355651855,131600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-24,7.0,7.0625,6.75,7.0,3.8044047355651855,231200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-25,7.0,7.9375,7.0,7.875,4.2799553871154785,662000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-26,7.8125,7.9375,7.625,7.625,4.144082546234131,162600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-27,7.625,7.625,7.3125,7.3125,3.9742438793182377,120600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-30,7.375,7.375,7.1875,7.1875,3.906309127807617,96200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-03-31,7.125,7.1875,7.0625,7.125,3.8723411560058594,96400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-04-01,7.0625,7.25,7.0625,7.0625,3.838371515274048,503600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1992-04-02,7.125,7.5625,7.125,7.5,4.07614803314209,1363800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
