Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
2002-07-01,5.0,5.0,5.0,5.0,4.0788774490356445,3900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-02,5.1666669845581055,5.5,5.0,5.043333053588867,4.114227294921875,21000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-03,4.6666669845581055,5.3333330154418945,4.6666669845581055,5.0,4.0788774490356445,30600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-05,5.0,5.0,5.0,5.0,4.0788774490356445,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-08,4.6666669845581055,4.6666669845581055,4.6666669845581055,4.6666669845581055,3.806952953338623,900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-09,4.6666669845581055,5.1666669845581055,4.6666669845581055,5.1666669845581055,4.214839458465576,6900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-10,4.5833330154418945,5.1666669845581055,4.5833330154418945,5.1666669845581055,4.214839458465576,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-11,5.1666669845581055,5.1666669845581055,5.1666669845581055,5.1666669845581055,4.214839458465576,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-12,5.0,5.0,5.0,5.0,4.0788774490356445,300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-15,4.9166669845581055,4.9166669845581055,4.1666669845581055,4.25,3.467045545578003,128100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-16,4.25,4.25,4.1666669845581055,4.1666669845581055,3.3990650177001953,17700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-17,4.1666669845581055,4.1666669845581055,4.0833330154418945,4.1666669845581055,3.3990650177001953,7200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-18,4.099999904632568,4.099999904632568,3.9166669845581055,3.9166669845581055,3.1951210498809814,4200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-19,3.8666670322418217,3.8666670322418217,3.3499999046325684,3.5,2.8552141189575195,32100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-22,3.5,3.5,3.3333330154418945,3.4000000953674316,2.7736358642578125,13800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-23,3.4000000953674316,3.4000000953674316,3.4000000953674316,3.4000000953674316,2.7736358642578125,300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-24,3.4000000953674316,3.5,3.4000000953674316,3.5,2.8552141189575195,6600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-25,3.5,3.5,3.3833329677581787,3.3833329677581787,2.760039806365967,3900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-26,3.3833329677581787,3.3833329677581787,3.3833329677581787,3.3833329677581787,2.760039806365967,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-29,3.5,3.700000047683716,3.483333110809326,3.700000047683716,3.018369197845459,12300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-30,3.75,3.950000047683716,3.75,3.8333330154418945,3.1271393299102783,26700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-07-31,3.9666669368743896,4.0,3.9166669845581055,4.0,3.2631020545959473,15000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-01,3.933332920074463,3.9666669368743896,3.933332920074463,3.933332920074463,3.20871639251709,12900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-02,3.933332920074463,3.933332920074463,3.933332920074463,3.933332920074463,3.20871639251709,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-05,3.9666669368743896,4.0,3.950000047683716,3.950000047683716,3.222313404083252,85800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-06,4.0,4.0,4.0,4.0,3.2631020545959473,30000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-07,3.993333101272583,4.016666889190674,3.983333110809326,4.016666889190674,3.276698350906372,13200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-08,4.033332824707031,4.033332824707031,4.016666889190674,4.033332824707031,3.2902936935424805,36900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-09,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,3.3038904666900635,10200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-12,4.050000190734863,4.050000190734863,4.033332824707031,4.050000190734863,3.3038904666900635,73200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-13,4.066667079925537,4.066667079925537,4.033332824707031,4.066667079925537,3.3174872398376465,11700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-14,4.050000190734863,4.066667079925537,4.050000190734863,4.066667079925537,3.3174872398376465,11100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-15,4.050000190734863,4.050000190734863,4.033332824707031,4.033332824707031,3.2902936935424805,2100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-16,4.0,4.050000190734863,4.0,4.050000190734863,3.3038904666900635,25800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-19,4.050000190734863,4.050000190734863,3.8833329677581783,3.8833329677581783,3.1679277420043945,26100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-20,3.8666670322418217,3.8666670322418217,3.8666670322418217,3.8666670322418217,3.154332399368286,300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-21,3.9666669368743896,4.0,3.9166669845581055,3.9166669845581055,3.1951210498809814,49200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-22,3.9166669845581055,3.9166669845581055,3.6666669845581055,3.6666669845581055,2.9911773204803467,106500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-23,3.6666669845581055,3.700000047683716,3.6666669845581055,3.700000047683716,3.018369197845459,11100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-26,3.6666669845581055,3.6666669845581055,3.6166670322418217,3.623332977294922,2.9558260440826416,35700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-27,3.6166670322418217,3.6666669845581055,3.50333309173584,3.50333309173584,2.857932806015014,71700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-28,3.5,3.5,3.3333330154418945,3.3666670322418213,2.7464447021484375,74100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-29,3.4000000953674316,3.4000000953674316,3.3666670322418213,3.4000000953674316,2.7736358642578125,25500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-08-30,3.433332920074463,3.433332920074463,3.3333330154418945,3.3333330154418945,2.7192506790161133,12600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-09-03,3.316667079925537,3.3333330154418945,3.0999999046325684,3.299999952316284,2.692058563232422,24000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-09-04,3.1166670322418213,3.1666669845581055,2.9666669368743896,3.0999999046325684,2.5289037227630615,267300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-09-05,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,2.5289037227630615,9300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2002-09-06,3.0999999046325684,3.233333110809326,3.0999999046325684,3.233333110809326,2.6376736164093018,91200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
