,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2021-08-03,-0.004238660064487518,-0.36786280729579696,-0.05150697516209208,-0.607665805340224,1.1640368892585864,-0.05595854922279793,3.3280737785171732,0.8880829015544042,-0.007223469533527926,0.28577878251566635,0.12415350100951694,0.15169303242518573,NE,22.149999618530273,91100.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.040000915527344,441.1499938964844,70.55999755859375,72.41000366210938,37965.0,1.37,0.86,1.37,0.24
2021-08-04,-0.03066490826114811,-0.6933580948219358,-0.07712162386471318,-0.823836928348636,1.0479608588820748,-0.5863657723120652,3.09592171776415,-0.17273154462413043,-0.008857833440542029,0.29230761433109675,0.19067599100762966,0.19860131328729258,NE,21.450000762939453,40100.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.969999313354492,438.9800109863281,68.1500015258789,70.37999725341797,39840.0,1.37,0.86,1.37,0.24
2021-08-05,-0.06697159071181898,0.28778248587570626,-0.11685127669174042,-0.2992183646933987,0.9064529299108594,0.5838719120859325,2.8129058598217185,2.1677438241718647,0.034313763530839037,0.3147058919776822,0.27352941313966883,0.3049020263242166,NE,20.399999618530273,156300.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.280000686645508,441.760009765625,69.08999633789062,71.29000091552734,40755.0,1.37,0.86,1.37,0.24
2021-08-06,-0.03548580582737833,-0.42394533571004156,-0.09024927645860611,-0.751231121555479,0.9107968945553104,-0.44208217706561637,2.821593789110621,0.11583564586876731,0.05313550228735742,0.25897558666722165,0.21732891566177037,0.29296318899205054,NE,20.88999938964844,55400.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.149999618530273,442.489990234375,68.27999877929688,70.69999694824219,42970.0,1.37,0.86,1.37,0.24
2021-08-09,-0.029268639688447673,1.182118211821182,-0.08827916039528709,-0.07182419153117742,0.8631777833938858,1.045141394921593,2.7263555667877717,3.0902827898431857,0.10673083183328314,0.2649038668743966,0.19999999999999996,0.2769230980844901,NE,20.799999237060547,207800.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.719999313354492,442.1300048828125,66.4800033569336,69.04000091552734,46045.0,1.37,0.86,1.37,0.24
2021-08-10,-0.0048927839937344874,0.6166261047777635,-0.06499349966122714,-0.20349290962906247,0.8606259771921079,0.7401795193514139,2.7212519543842157,2.480359038702828,0.028760048877047417,0.23243755388867138,0.16407362563879535,0.24281007770759877,NE,21.209999084472656,180300.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.790000915527344,442.6799926757813,68.29000091552734,70.62999725341797,45495.0,1.37,0.86,1.37,0.24
2021-08-11,0.015360819465755488,-0.6653640745082714,-0.04599429642920889,-0.835352175863616,0.8498771436954807,-0.6471756964621432,2.6997542873909617,-0.29435139292428647,-0.00046447879994904184,0.21458424452120095,0.22062238033026627,0.28378999108870473,NE,21.530000686645508,36700.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.170000076293945,443.7799987792969,69.25,71.44000244140625,46455.0,1.37,0.86,1.37,0.24
2021-08-12,0.038173601556268866,-0.7227821149751597,-0.021652092718426278,-0.8727286550596822,0.8505514244208676,-0.7325736194685553,2.701102848841735,-0.46514723893711063,0.0,0.17371531307796717,0.18008190236647414,0.25329694191902163,NE,21.989999771118164,27900.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.59000015258789,445.1099853515625,69.08999633789062,71.30999755859375,44360.0,1.37,0.86,1.37,0.24
2021-08-13,0.004997323039764536,-0.5458128078817734,-0.048286965781791015,-0.7839636346595436,0.7542460472898058,-0.5602823349866464,2.5084920945796116,-0.12056466997329264,0.04797744340463339,0.3085606488860986,0.20272810063695212,0.3560677146437812,NE,21.260000228881836,46100.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.449999809265137,445.9200134277344,68.44000244140625,70.58999633789062,46505.0,1.37,0.86,1.37,0.24
2021-08-16,-0.007259014100483127,-0.42923433874709976,-0.04929258398031803,-0.7632756491475677,0.7080026380313205,-0.5331477732793523,2.416005276062641,-0.0662955465587045,0.04691941958387802,0.31706163095299544,0.27962082994613224,0.3796208570648325,NE,21.100000381469727,49200.0,-0.32,-0.4323,0.1123,25.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1200008392334,446.9700012207031,67.29000091552734,69.51000213623047,46095.0,1.37,0.86,1.37,0.24
