Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1995-11-21,1.078125,1.328125,1.078125,1.28125,0.9692544937133788,51412800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-11-22,1.28125,1.609375,1.265625,1.5625,1.182017207145691,11921600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-11-24,1.5625,1.703125,1.5625,1.6875,1.2765783071517944,2419200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-11-27,1.78125,1.8125,1.53125,1.578125,1.1938371658325195,6720000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-11-28,1.578125,1.609375,1.5625,1.59375,1.2056576013565063,3451200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-11-29,1.5625,1.8125,1.5625,1.796875,1.3593196868896484,3628800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-11-30,1.796875,1.984375,1.765625,1.890625,1.4302408695220947,8254400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-01,1.921875,1.96875,1.859375,1.875,1.418420433998108,2616000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-04,1.875,2.40625,1.875,2.34375,1.773025393486023,5961600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-05,2.34375,2.375,2.203125,2.210937976837158,1.6725541353225708,2907200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-06,2.234375,2.265625,2.078125,2.09375,1.5839030742645264,3456000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-07,2.09375,2.09375,1.984375,1.984375,1.501162052154541,2665600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-08,1.984375,2.265625,1.984375,2.203125,1.6666446924209597,3099200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-11,2.21875,2.234375,2.171875,2.234375,1.6902843713760376,564800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-12,2.25,2.359375,2.171875,2.296875,1.7375653982162476,2086400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-13,2.335937976837158,2.335937976837158,2.28125,2.3125,1.749385118484497,1510400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-14,2.296875,2.328125,2.296875,2.296875,1.7375653982162476,668800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-15,2.296875,2.34375,2.234375,2.234375,1.6902843713760376,2635200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-18,2.25,2.296875,1.96875,2.015625,1.524802327156067,1246400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-19,1.953125,2.0625,1.910156011581421,2.03125,1.5366216897964478,4568000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-20,2.09375,2.15625,2.0,2.125,1.607542872428894,2275200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1995-12-21,2.15625,2.171875,2.09375,2.109375,1.5957231521606443,321600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
