,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1996-08-07,0.07386363636363638,-0.6317131557035803,0.025316455696202576,0.27603180613404016,-0.10000001525878885,0.14899420388680532,-0.13330845507011627,-0.21934185859955127,0.0,-0.05555555555555558,0.9814814814814814,0.4259259259259258,NTAP,1.6875,1617600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.239999771118164,66.546875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-08,0.11805555555555551,-0.160881236693511,0.09211775878442548,1.9811233885819521,-0.041311613147562654,1.8765348306287408,-0.0784897617956791,1.290143834001415,-0.07826086956521738,-0.060869565217391286,0.791304347826087,0.3869567871093751,NTAP,1.796875,4144000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.040000915527344,66.4375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-09,0.11717195896251109,-0.2457560031665054,0.12375561284433206,1.6075850569411427,-0.012454045500304909,1.655698611328572,-0.0512249393005834,1.2209128405021983,-0.11392427882603429,-0.04641374768897022,0.7215185439951335,0.34177180634914817,NTAP,1.8515629768371584,3920000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.770000457763672,66.21875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-12,0.08317210437680292,-0.5233160621761658,0.13762046619768642,-0.1114290824539438,-0.0004165128913017653,-0.1110262803154115,-0.03972793952246537,-0.2468276708964388,-0.12083307902018225,-0.050000000000000044,0.7083333333333333,0.3208335876464843,NTAP,1.875,1324800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56999969482422,66.703125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-13,0.01720837343182159,-0.34701757951427703,0.08176497453333949,-0.037197594741994175,-0.05074711595339721,-0.013457198466810717,-0.08826847005066009,-0.1508779502674704,-0.03508771929824561,0.09649122807017552,0.8771929824561404,0.4035087719298245,NTAP,1.78125,1468800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.40999984741211,66.171875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-14,-0.01333337156911224,-0.3319984371947647,0.05496593309203066,-0.00832318311002842,-0.07598392428350642,0.041614840612672746,-0.11261625405824781,-0.0907915893310447,-0.018018018018018056,0.12837824091181016,0.9189189189189189,0.4414414414414414,NTAP,1.734375,1563200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.960000038146973,66.40625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-15,-0.01063168254299556,0.3236598890942698,0.07499602574717763,0.9542169441879715,-0.05972634727896158,1.1374347069065585,-0.09654710654249272,0.9062210466927882,-0.026548672566371723,0.08407106652724017,0.8053097345132743,0.4070796460176991,NTAP,1.765625,3273600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.460000038146973,66.28125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-16,-0.05440904172250903,-0.8766149223835753,0.03004290846147987,-0.8328320405255659,-0.10133137616042345,-0.8143895008202484,-0.13602401427392782,-0.8316827474816169,0.0092592592592593,0.11111111111111116,0.9317132455331307,0.5879632455331307,NTAP,1.6875,281600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8100004196167,66.84375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-19,-0.061353609924370056,-0.8873070782331027,0.014192303954491238,-0.8849408856065168,-0.11772867488659058,-0.8718144900241304,-0.15149562596220226,-0.8833435099784683,0.05188708035451062,0.05660377358490565,1.0754716981132075,0.64622670299602,NTAP,1.65625,193600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.270000457763672,66.875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-20,-0.05405405405405406,-0.701058201058201,0.006550557367795024,-0.7850553213074216,-0.1258094505151776,-0.7495875704823579,-0.1578150124018844,-0.7779500223796684,0.02857142857142847,0.09523809523809534,0.8095238095238095,0.6666666666666667,NTAP,1.640625,361600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.729999542236328,66.828125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-21,-0.03147516843801354,0.8495137629800562,0.01215249560296074,0.4606366176649252,-0.12144320528317815,0.7524871542582268,-0.15244474709448816,0.5768247098170372,0.06161106731944366,0.14218005365885422,0.7061606439062489,0.7156393141501725,NTAP,1.6484379768371582,2564800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.520000457763672,66.59375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-22,0.015161462122255465,-0.03129183400267731,0.05263155845373785,-0.261211363230302,-0.08413896994764085,-0.10077200952024262,-0.11534575099967904,-0.18053452974044198,0.036363636363636376,0.10000000000000009,0.7454545454545454,0.6363636363636365,NTAP,1.71875,1323200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.710000038146973,67.21875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-23,0.008592160238215461,-0.5776315789473684,0.042064989291714636,-0.7151982965131755,-0.09254892871305326,-0.6519780272731653,-0.12268249630207398,-0.6795518828683933,0.05504587155963292,0.10091743119266061,0.6146788990825689,0.6903668324881738,NTAP,1.703125,513600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.18000030517578,66.859375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-26,0.021897768830995302,-0.8188039274025588,0.04828460483411228,-0.9222543266509785,-0.08405423469187451,-0.9057069569720252,-0.11340473164141877,-0.9122492435279614,0.009090909090909038,0.10000000000000009,0.6363636363636365,0.6363636363636365,NTAP,1.71875,139200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.380000114440918,66.53125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-27,0.01126569799684565,-0.637392080976481,0.0357934547925831,-0.8449750534568781,-0.09208701214658331,-0.8094264539447263,-0.12012513517575794,-0.8243222777525367,0.05504587155963292,0.08256880733944949,0.6513761467889909,0.6238532110091743,NTAP,1.703125,278400.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.109999656677246,66.78125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-28,0.026973882817809793,1.1578722495193337,0.05570485052064955,0.2407566638005159,-0.07113411874347468,0.5590074787222549,-0.09850907656120075,0.45577850016814264,0.004484030005203143,0.03138985223748536,0.5874435117046513,0.560537689472369,NTAP,1.7421879768371582,2308800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.100000381469728,66.671875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-29,-0.009174391186364211,-0.4995831596498541,0.021276566272446878,-0.70664538016364,-0.09962486150163315,-0.6286628494442573,-0.1252355538235856,-0.652793008621126,0.03703703703703698,0.15740740740740744,0.5833333333333333,0.5555555555555556,NTAP,1.6875,548800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.219999313354492,66.015625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-08-30,0.018843364402037745,-0.4901334881021474,0.05643763662324968,-0.7862920391656024,-0.06562849194369048,-0.7262315942555899,-0.09140589307394208,-0.7456825704185711,-0.0714285714285714,0.1339285714285714,0.5133931296212333,0.5558034351893835,NTAP,1.75,401600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.010000228881836,65.328125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-01,0.018843364402037745,-0.4901334881021474,0.05643763662324968,-0.7862920391656024,-0.06562849194369048,-0.7262315942555899,-0.09140589307394208,-0.7456825704185711,-0.0714285714285714,0.1339285714285714,0.5133931296212333,0.5558034351893835,NTAP,1.75,401600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.010000228881836,65.328125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-03,0.03167416744124502,0.03416856492027335,0.07193226825314837,-0.6177378613527926,-0.0477958398472194,-0.5004340330843247,-0.07397067296553318,-0.5368895890830164,-0.052631578947368474,0.22368447822436943,0.5087719298245614,0.5043862326103343,NTAP,1.78125,726400.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.469999313354492,65.75,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-04,0.032713237311216295,0.5643340857787811,0.07526878652211383,-0.3450576106731353,-0.03747792953064774,-0.1277426302328712,-0.06525704380687641,-0.19216646266829865,-0.06956521739130439,0.22391317616338324,0.4521739130434783,0.5043478260869565,NTAP,1.796875,1267200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63999938964844,65.8125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-05,-0.004484343857433418,1.1553553553553555,0.033359163814784536,0.2226727084823913,-0.06887875575481334,0.6686155144355374,-0.09699508517266092,0.5805429476749165,-0.036036036036036,0.265766040698902,0.4234234234234233,0.6396396396396395,NTAP,1.734375,2460800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.510000228881836,65.015625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-06,0.02352189289839882,-0.5681198910081744,0.06465048681633598,-0.7493476713845181,-0.03415455177786336,-0.6554056502361311,-0.06356559363240487,-0.6721631715024418,-0.09565217391304348,0.15652173913043477,0.34782608695652173,0.5391304347826087,NTAP,1.796875,507200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.100000381469727,65.9375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-09,-0.003811944091486676,-0.8954945347907225,0.03209949485746246,-0.9556166120680545,-0.05811999368934598,-0.9390546210866174,-0.08704440279599067,-0.9420373192260142,-0.125,0.1964285714285714,0.4285714285714286,0.5848217010498047,NTAP,1.75,89600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.360000610351562,66.71875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-10,-0.008849557522123894,0.9745102169791449,0.027994464091875698,0.027549689202670556,-0.05688624370221614,0.43623297221924273,-0.08605107566976934,0.38351855253490086,-0.0892857142857143,0.1339285714285714,0.4017857142857142,0.5848217010498047,NTAP,1.75,2142400.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,66.6875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-11,-0.07024265644955303,-0.2655783396376667,-0.04689173278132516,-0.5989345509893456,-0.12228058521335565,-0.4366247371984463,-0.14975276548495495,-0.4526444554718244,0.03846153846153855,0.21153846153846145,0.4326923076923077,0.7019230769230769,NTAP,1.625,843200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.059999465942383,67.0625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-12,-0.02702702702702703,-0.6437474034067303,-0.013848756744739883,-0.8083292043706157,-0.08680948583335002,-0.7360166650703955,-0.1154036651680583,-0.7434629591925773,0.04629629629629628,0.22222222222222232,0.4259259259259258,0.6944444444444444,NTAP,1.6875,392000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.970000267028809,67.53125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-13,-0.026007802340702248,0.07533670033670027,-0.028891268766498234,-0.20852909288037583,-0.09313496243073242,-0.21833172716564941,-0.12159583002436856,-0.23170924229224282,0.06542056074766345,0.19626168224299056,0.47663551401869153,0.7476635514018692,NTAP,1.671875,1168000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.199999809265137,68.5625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-16,-0.020915032679738616,0.3201211815198183,-0.029478484914255046,-0.11004328660498,-0.0909949184862943,-0.19379789185883373,-0.11944726993775523,-0.21172966888659595,0.16822429906542058,0.17757009345794383,0.514018691588785,0.7570093457943925,NTAP,1.671875,1195200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.43000030517578,68.8125,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-17,-0.0344827586206896,-0.8166755745590594,-0.05554717313977257,-0.8809668407627839,-0.11313247701253495,-0.8920400993916545,-0.14225331861365223,-0.8959236773633998,0.2043267763577974,0.23076923076923084,0.5865384615384615,0.7980769230769231,NTAP,1.625,156800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.739999771118164,68.65625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-18,-0.07297297297297292,-0.5189489641232946,-0.10922589957667161,-0.6528693580635555,-0.16027991889666457,-0.6921141994717646,-0.1903289433329989,-0.7080117844917043,0.2500003114038585,0.346938775510204,0.653061224489796,0.9285714285714286,NTAP,1.53125,435200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.859999656677246,68.484375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-19,-0.021917808219178138,3.4065638704201437,-0.07117926393567403,3.9543531507459364,-0.12165719121891369,3.885159118353805,-0.15658431932068742,3.7578882341760123,0.17647058823529416,0.37254901960784315,0.5098039215686274,0.8431372549019607,NTAP,1.59375,7120000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.030000686645508,68.75,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-20,0.02997275204359669,3.1196930624567587,-0.014448696647883386,7.326461602349243,-0.06614787361238665,8.401395478649176,-0.106314771101517,8.58801796621941,0.03703703703703698,0.2592592592592593,0.38888888888888884,0.6435188010886863,NTAP,1.6875,14971200.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.649999618530272,68.640625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-23,0.07036535859269284,-0.453356890459364,0.032906744959285646,0.22065727699530516,-0.018955303110552366,0.33203857487275645,-0.06442433757224862,0.34935127342623745,0.017699115044247815,0.20353982300884965,0.32743362831858414,0.5575221238938053,NTAP,1.765625,2121600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.459999084472656,68.625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-24,0.06970509383378018,-0.5115347186444559,0.04395602450609923,0.10885385081867803,-0.0072088781738742485,0.2535420475319928,-0.056405321154517525,0.24288408924838994,0.05701781155770291,0.1929824561403508,0.3070175438596492,0.5701754385964912,NTAP,1.78125,1950400.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.450000762939453,68.609375,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-25,0.1452879581151833,0.25022104332449163,0.14085790397552767,2.0556333688161805,0.0903804054878754,2.6994245791740616,0.03364513114359454,2.6708321180984003,-0.03200000000000003,0.1359999999999999,0.08199987792968755,0.4159999999999999,NTAP,1.953125,5817600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.219999313354492,68.65625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-26,0.11652328586471802,0.18007222586999336,0.1382050708469322,2.173916402688712,0.09401901991685896,3.173665673259279,0.03522482640795647,3.105354327211353,-0.0419160509445039,0.20558896922816583,-0.01796395221811653,0.40918205205580693,NTAP,1.957031011581421,6572800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.110000610351562,68.625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-27,0.05896906139482735,-0.7720721082426627,0.11002063908162503,-0.3528222588710964,0.07171523650131846,-0.17540331691445613,0.012007783230769295,-0.1909372557930732,-0.012245144031722499,0.2612244247188833,0.04489769887553319,0.5795916923450222,NTAP,1.9140629768371584,1297600.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.100000381469727,68.6875,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-09-30,0.014799135627174947,-0.48252602987777277,0.08343989687460562,0.25451332872397636,0.051785827522824304,0.6402901785714284,-0.009145922791808703,0.61820243770851,-0.01666666666666672,0.30000000000000004,0.125,0.5916666666666666,NTAP,1.875,2612800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.950000762939453,68.625,32.04999923706055,75.73999786376953,19100.0,6.83,6.6,6.83,6.23
1996-10-01,-0.05740909453897899,-0.42478195055143086,0.009387885239148595,-0.1464936361367606,-0.015745164428551738,0.14264076977904488,-0.07537252255123042,0.13792644514440358,0.02678571428571419,0.3214285714285714,0.1964285714285714,0.8035714285714286,NTAP,1.75,1824000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.049999237060547,69.0,32.04999923706055,75.73999786376953,19100.0,6.53,6.27,6.53,5.91
1996-10-02,-0.034482776291002895,-0.2529545778157483,0.033320830000412506,0.08772948262099993,0.012794464369284652,0.48016896154479133,-0.05095393498824736,0.4918639175941746,0.08695652173913038,0.33043478260869574,0.17173926311990484,0.7739130434782608,NTAP,1.796875,2398400.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.780000686645508,69.46875,32.04999923706055,75.73999786376953,19100.0,6.53,6.27,6.53,5.91
1996-10-03,0.0038680960066793265,-0.8073540561031084,0.07789812397770968,-0.7284492431987631,0.06274063899382874,-0.641964755391899,-0.0061341049215069285,-0.6354526992345289,0.053941641794635675,0.2738588518049052,0.16182543189959842,0.7012443824244119,NTAP,1.8828129768371584,580800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.770000457763672,69.40625,32.04999923706055,75.73999786376953,19100.0,6.53,6.27,6.53,5.91
1996-10-04,0.012854952030110245,-0.2171609184716929,0.07883198385961855,-0.10842659156599718,0.06840644458721627,0.18366677599212863,-0.002187602548904863,0.22047310664344538,0.15289281419486045,0.22314049586776852,0.165289256198347,0.6590910351966037,NTAP,1.890625,1924800.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.800000190734863,70.34375,32.04999923706055,75.73999786376953,19100.0,6.53,6.27,6.53,5.91
