,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2014-03-06,0.0037653228073066015,-0.26718231068839576,0.06254362877044477,-0.5596786693830953,0.050058439539573174,-0.5150843343937362,0.0935558264146837,-0.6852688425386847,-0.048687158838416345,-0.0765865138561882,-0.03610502311929742,-0.07221015057932578,NWSA,18.280000686645508,1897600.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,14.210000038146973,188.17999267578125,101.55999755859376,108.0999984741211,19100.0,2.71,1.7,2.71,0.42
2014-03-07,-0.01562501310403619,-0.045952146122702556,0.03826085689282679,-0.41698419308921614,0.028305669148921197,-0.3540595099233422,0.0706706305699203,-0.573573805670225,-0.011166988533969913,-0.05360128937194664,-0.01284196226665868,-0.04857615518128966,NWSA,17.90999984741211,2501200.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,14.109999656677246,188.2599945068359,102.58000183105467,109.0,19100.0,2.71,1.7,2.71,0.42
2014-03-10,-0.021872531636138292,-0.2433086766855217,0.02641161407869977,-0.5298328930959016,0.01938776823939118,-0.49638827325820634,0.06083685716152321,-0.6673153688236109,-0.011824380017731007,-0.0422297291854945,-0.005067576093919723,-0.03490995671414099,NWSA,17.760000228881836,1937800.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,14.199999809265137,188.16000366210935,101.12000274658205,108.08000183105467,19100.0,2.71,1.7,2.71,0.42
2014-03-11,-0.019845081910279113,-0.20625240908750953,0.020925752277433658,-0.5046718168064778,0.016355758075905627,-0.48084642606707584,0.057117032588997044,-0.6595527933550325,-0.011292990735734754,-0.027103307004525456,-0.004517217834087539,-0.022021423478805868,NWSA,17.709999084472656,1971000.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,14.800000190734863,187.22999572753903,100.02999877929688,108.5500030517578,19100.0,2.71,1.7,2.71,0.42
2014-03-12,-0.010935883792572673,0.175227187699883,0.024712635549228826,-0.2907681496958517,0.022929371913461775,-0.25572015384523933,0.06346881222946445,-0.5187268913922464,-0.014021312454836843,-0.030846844610991297,-0.022434078532914015,-0.03028597927590282,NWSA,17.829999923706055,2782300.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,14.470000267028809,187.27999877929688,97.98999786376952,108.0199966430664,19100.0,2.71,1.7,2.71,0.42
2014-03-13,-0.02996881737235041,0.10545746791571446,-0.005581889726284904,-0.34174357345932704,-0.005017619453282354,-0.3227772570576196,0.033687930006626954,-0.5644844587088679,0.007497068028987197,-0.01211078373548613,0.014994246055011207,0.005767034636086965,NWSA,17.34000015258789,2515200.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,16.219999313354492,185.17999267578125,98.1999969482422,107.38999938964844,19100.0,2.71,1.7,2.71,0.42
2014-03-14,-0.018107179208972823,0.03934933092993863,-0.002765315394708924,-0.3383683862636765,0.0003635083222429176,-0.35867914462918155,0.03835501377282795,-0.5842760643546813,-0.00401604667806188,-0.01721176931477708,0.009753303116320833,-0.005737256438259064,NWSA,17.43000030517578,2372300.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,17.81999969482422,184.66000366210935,98.88999938964844,108.56999969482422,19100.0,2.71,1.7,2.71,0.42
2014-03-17,-0.013293371310242056,-0.24306228581925524,-0.007759937498835957,-0.5179172534283197,-0.0016967222381115493,-0.5368886394402598,0.03532443391339252,-0.6977820353816058,-0.020701478760098313,-0.010350794220437276,0.020701588440874552,-0.006900456359773988,NWSA,17.389999389648438,1707100.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,15.640000343322754,186.3300018310547,98.08000183105467,108.54000091552734,19100.0,2.71,1.7,2.71,0.42
2014-03-18,0.0064950510209959515,0.3177713419849939,0.006307124013611843,-0.11618411994186495,0.016653965486443767,-0.16227612783476747,0.053518616058122186,-0.4469703919683777,-0.03896096343189226,-0.03896096343189226,-0.005081775826751178,-0.015245542878190355,NWSA,17.709999084472656,3081100.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,14.520000457763672,187.66000366210935,99.6999969482422,106.79000091552734,19100.0,2.71,1.7,2.71,0.42
2014-03-19,-0.0008946203661808527,0.00027324676558986065,-0.006603814982655004,-0.2700873148238987,0.007379114418926742,-0.3429271281711526,0.043049265924385405,-0.5578854121422231,-0.029629548320261545,-0.014245014864278316,-0.014814719819711497,-0.019373228909885576,NWSA,17.549999237060547,2405600.0,0.31,0.2,0.11,55.0,0.6376228775692583,-0.2162645218945487,0.0674709562109025,0.0,0.0,0.0,0.0,15.119999885559082,186.66000366210935,100.37000274658205,105.8499984741211,19100.0,2.71,1.7,2.71,0.42
