Date,Dividend
2020-05-21 00:00:00-04:00,0.2
2020-08-20 00:00:00-04:00,0.2
2020-11-19 00:00:00-05:00,0.2
2021-02-11 00:00:00-05:00,0.2
2021-05-20 00:00:00-04:00,0.24
2021-08-19 00:00:00-04:00,0.24
2021-11-18 00:00:00-05:00,0.24
2022-02-17 00:00:00-05:00,0.24
2022-05-19 00:00:00-04:00,0.29
2022-08-18 00:00:00-04:00,0.29
2022-11-17 00:00:00-05:00,0.29
2023-02-16 00:00:00-05:00,0.29
2023-05-18 00:00:00-04:00,0.34
2023-08-17 00:00:00-04:00,0.34
2023-11-16 00:00:00-05:00,0.34
2024-02-15 00:00:00-05:00,0.34
2024-05-16 00:00:00-04:00,0.39
2024-08-16 00:00:00-04:00,0.39
2024-11-15 00:00:00-05:00,0.39
