Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1981-12-31,11.347040176391602,11.496736526489258,11.197342872619627,11.496736526489258,1.6947005987167358,431705.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-04,11.496736526489258,11.556615829467772,11.376978874206545,11.496736526489258,1.6947005987167358,329624.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-05,11.376978874206545,11.43685817718506,11.317100524902344,11.317100524902344,1.6682215929031372,383274.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-06,11.317100524902344,11.376978874206545,11.257222175598145,11.376978874206545,1.677048921585083,281819.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-07,11.317100524902344,11.376978874206545,11.257222175598145,11.376978874206545,1.677048921585083,168674.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-08,11.556615829467772,11.85601043701172,11.257222175598145,11.257222175598145,1.6593945026397705,158027.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-11,11.197342872619627,11.317100524902344,11.017705917358398,11.017705917358398,1.624088168144226,284742.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-12,11.017705917358398,11.077585220336914,10.957826614379885,11.077585220336914,1.632914662361145,242156.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-13,10.957826614379885,11.077585220336914,10.838069915771484,10.957826614379885,1.6152616739273071,197482.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-14,10.838069915771484,10.957826614379885,10.71831226348877,10.71831226348877,1.5799560546875,295806.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-15,10.89794921875,11.017705917358398,10.71831226348877,10.89794921875,1.606434941291809,204580.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-18,10.89794921875,10.957826614379885,10.838069915771484,10.957826614379885,1.6152616739273071,239233.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-19,11.017705917358398,11.137463569641112,10.89794921875,11.077585220336914,1.632914662361145,198317.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-20,11.077585220336914,11.077585220336914,11.017705917358398,11.077585220336914,1.632914662361145,171805.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-21,10.957826614379885,11.017705917358398,10.838069915771484,10.957826614379885,1.6152616739273071,182034.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-22,10.838069915771484,10.957826614379885,10.658432960510254,10.71831226348877,1.5799560546875,458634.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-25,10.538676261901855,10.658432960510254,10.359039306640623,10.538676261901855,1.5534753799438477,398931.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-26,10.538676261901855,10.658432960510254,10.418917655944824,10.47879695892334,1.5446484088897705,442560.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-27,10.418917655944824,10.47879695892334,10.359039306640623,10.47879695892334,1.5446484088897705,228795.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-28,10.71831226348877,11.077585220336914,10.359039306640623,11.077585220336914,1.632914662361145,289126.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-29,10.89794921875,11.077585220336914,10.71831226348877,10.778190612792969,1.5887809991836548,224411.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-01,10.658432960510254,10.778190612792969,10.47879695892334,10.47879695892334,1.5446484088897705,198526.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-02,10.538676261901855,10.598553657531738,10.418917655944824,10.47879695892334,1.5446484088897705,133812.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-03,10.47879695892334,10.538676261901855,10.418917655944824,10.538676261901855,1.5534753799438477,108970.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-04,10.598553657531738,10.658432960510254,10.47879695892334,10.538676261901855,1.5534753799438477,141536.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-05,10.598553657531738,10.658432960510254,10.47879695892334,10.538676261901855,1.5534753799438477,154479.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-08,10.538676261901855,10.598553657531738,10.418917655944824,10.418917655944824,1.5358222723007202,184539.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-09,10.29916000366211,10.359039306640623,10.239280700683594,10.29916000366211,1.5181699991226196,265327.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-02-10,10.418917655944824,10.598553657531738,10.239280700683594,10.47879695892334,1.5446484088897705,222741.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
